,created_at,id,id_str,full_text,truncated,display_text_range,entities,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,user_id,user_id_str,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,reply_count,quote_count,conversation_id,conversation_id_str,favorited,retweeted,lang,supplemental_language,possibly_sensitive,possibly_sensitive_editable,extended_entities,quoted_status_id,quoted_status_id_str,quoted_status_permalink,self_thread,card
1217142006666821632,Tue Jan 14 17:50:42 +0000 2020,1217142006666821632,1217142006666821632,@123Mgsbaduwa1 @wela_katha @bu_jayasinghe @Senura63897332 @shasha5599 @sudunona1234 @naughtgirls96 @Shagnu1 @IncestSrilanka ආසයි හුකන්න,False,"[124, 135]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': '123Mgsbaduwa1', 'name': '💋hot my wife 💋', 'id': 1118477120328617984, 'id_str': '1118477120328617984', 'indices': [0, 14]}, {'screen_name': 'wela_katha', 'name': 'Sinhala wal katha', 'id': 1190525255355420672, 'id_str': '1190525255355420672', 'indices': [15, 26]}, {'screen_name': 'shasha5599', 'name': 'sha shan😘', 'id': 877252049259331584, 'id_str': '877252049259331584', 'indices': [58, 69]}, {'screen_name': 'Shagnu1', 'name': 'SL', 'id': 1113990116698025984, 'id_str': '1113990116698025984', 'indices': [99, 107]}], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.2171107454201405e+18,1217110745420140545,1.118477120328618e+18,1118477120328617984,123Mgsbaduwa1,767436013673205761,767436013673205761,,,,,False,0,1,0,0,1217110745420140545,1217110745420140545,False,False,si,,,,,,,,,
1067806092472844288,Wed Nov 28 15:43:05 +0000 2018,1067806092472844288,1067806092472844288,I liked a @YouTube video https://t.co/aPQtOTFfLT මට හොඳට හුකන්න පුළුවන්,False,"[0, 71]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'YouTube', 'name': 'YouTube', 'id': 10228272, 'id_str': '10228272', 'indices': [10, 18]}], 'urls': [{'url': 'https://t.co/aPQtOTFfLT', 'expanded_url': 'http://youtu.be/tVQD9iU8czM?a', 'display_url': 'youtu.be/tVQD9iU8czM?a', 'indices': [25, 48]}]}","<a href=""https://www.google.com/"" rel=""nofollow"">Google</a>",,,,,,625484901,625484901,,,,,False,0,0,0,0,1067806092472844288,1067806092472844288,False,False,si,,False,True,,,,,,
1025442052920635395,Fri Aug 03 18:03:31 +0000 2018,1025442052920635395,1025442052920635395,@DeV_DaZ හුරතල් හුත්තෝ හුකන්න වරෙව් 😂😂😂😂😂,False,"[9, 41]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'dev_daz', 'name': 'Dev Daz', 'id': 1288314690666237953, 'id_str': '1288314690666237953', 'indices': [0, 8]}], 'urls': []}","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",,,,,,407621077,407621077,,,,,False,0,2,1,0,1025346002272673793,1025346002272673793,False,False,si,,,,,,,,,
1255151989819768834,Tue Apr 28 15:08:48 +0000 2020,1255151989819768834,1255151989819768834,@Madurangakalpa1 ණයට හුකන්න බැරිද 😂🍆,False,"[17, 36]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.2551315593817006e+18,1255131559381700608,9.96060592354902e+17,996060592354902017,Maduranga__,1235635467640549376,1235635467640549376,,,,,False,0,1,1,0,1255131559381700608,1255131559381700608,False,False,si,,,,,,,,,
1221678551490945024,Mon Jan 27 06:17:19 +0000 2020,1221678551490945024,1221678551490945024,@noc_neha for take a fuck 😂😂 රවට්ටලා හුකන්න 😂,False,"[10, 45]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.221678084614697e+18,1221678084614696960,1.1899217184684114e+18,1189921718468411393,Sanskari_ladki_,1205386025746358274,1205386025746358274,,,,,False,0,1,0,0,1221678084614696960,1221678084614696960,False,False,und,,,,,,,,,
1319272409619288067,Thu Oct 22 13:40:28 +0000 2020,1319272409619288067,1319272409619288067,Come hangout with me &gt; කිඹ් අස්සෙ රිංගන් කික් කරන පොන්න චම්පික වර බොගෙ අම්මට හුකන්න 🤨 on #BIGOLIVE https://t.co/wFrXLkrqCr https://t.co/HDsKxHCAIH,False,"[0, 125]","{'hashtags': [{'text': 'BIGOLIVE', 'indices': [92, 101]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/wFrXLkrqCr', 'expanded_url': 'http://www.bigo.tv/sid/2449531269_1603374026_cfjdijbedb_1341983952?c=3&p=1&t=0&b=378225654', 'display_url': 'bigo.tv/sid/2449531269…', 'indices': [102, 125]}], 'media': [{'id': 1319272405840261120, 'id_str': '1319272405840261120', 'indices': [126, 149], 'media_url': 'http://pbs.twimg.com/media/Ek7_Q2gVcAAWipb.png', 'media_url_https': 'https://pbs.twimg.com/media/Ek7_Q2gVcAAWipb.png', 'url': 'https://t.co/HDsKxHCAIH', 'display_url': 'pic.twitter.com/HDsKxHCAIH', 'expanded_url': 'https://twitter.com/spenderlvl37kwa/status/1319272409619288067/photo/1', 'type': 'photo', 'original_info': {'width': 748, 'height': 748, 'focus_rects': [{'x': 0, 'y': 329, 'h': 419, 'w': 748}, {'x': 0, 'y': 0, 'h': 748, 'w': 748}, {'x': 64, 'y': 0, 'h': 748, 'w': 656}, {'x': 205, 'y': 0, 'h': 748, 'w': 374}, {'x': 0, 'y': 0, 'h': 748, 'w': 748}]}, 'sizes': {'large': {'w': 748, 'h': 748, 'resize': 'fit'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 748, 'h': 748, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}}, 'features': {'orig': {'faces': []}, 'large': {'faces': []}, 'small': {'faces': []}, 'medium': {'faces': []}}}]}","<a href=""http://www.bigo.tv"" rel=""nofollow"">BIGO LIVE</a>",,,,,,1315113105412685824,1315113105412685824,,,,,False,0,0,0,0,1319272409619288067,1319272409619288067,False,False,si,,False,True,"{'media': [{'id': 1319272405840261120, 'id_str': '1319272405840261120', 'indices': [126, 149], 'media_url': 'http://pbs.twimg.com/media/Ek7_Q2gVcAAWipb.png', 'media_url_https': 'https://pbs.twimg.com/media/Ek7_Q2gVcAAWipb.png', 'url': 'https://t.co/HDsKxHCAIH', 'display_url': 'pic.twitter.com/HDsKxHCAIH', 'expanded_url': 'https://twitter.com/spenderlvl37kwa/status/1319272409619288067/photo/1', 'type': 'photo', 'original_info': {'width': 748, 'height': 748, 'focus_rects': [{'x': 0, 'y': 329, 'h': 419, 'w': 748}, {'x': 0, 'y': 0, 'h': 748, 'w': 748}, {'x': 64, 'y': 0, 'h': 748, 'w': 656}, {'x': 205, 'y': 0, 'h': 748, 'w': 374}, {'x': 0, 'y': 0, 'h': 748, 'w': 748}]}, 'sizes': {'large': {'w': 748, 'h': 748, 'resize': 'fit'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 748, 'h': 748, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}}, 'features': {'orig': {'faces': []}, 'large': {'faces': []}, 'small': {'faces': []}, 'medium': {'faces': []}}, 'media_key': '3_1319272405840261120', 'ext_alt_text': None, 'ext_media_availability': {'status': 'available'}, 'ext_media_color': {'palette': [{'rgb': {'red': 219, 'green': 222, 'blue': 245}, 'percentage': 37.07}, {'rgb': {'red': 127, 'green': 58, 'blue': 11}, 'percentage': 16.12}, {'rgb': {'red': 37, 'green': 14, 'blue': 1}, 'percentage': 10.51}, {'rgb': {'red': 168, 'green': 129, 'blue': 65}, 'percentage': 7.15}, {'rgb': {'red': 181, 'green': 162, 'blue': 137}, 'percentage': 6.7}]}, 'ext': {'mediaStats': {'r': 'Missing', 'ttl': -1}}}]}",,,,,
1247414639211597824,Tue Apr 07 06:43:20 +0000 2020,1247414639211597824,1247414639211597824,@SLBoy14's account is temporarily unavailable because it violates the Twitter Media Policy. Learn more.,False,"[0, 103]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://support.twitter.com/articles/20169199', 'expanded_url': 'https://support.twitter.com/articles/20169199', 'display_url': 'Learn more', 'indices': [92, 102]}]}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,1246853681858805761,1246853681858805761,,,,,False,0,1,0,0,1247414639211597824,1247414639211597824,False,False,si,,False,True,,,,,,
1214068016469680128,Mon Jan 06 06:15:46 +0000 2020,1214068016469680128,1214068016469680128,ඔයාලා ඔක්කොම රෙකෝඩින් දාගෙන දාගෙන යන්න. ඊට පස්සේ අපි දාන්නම් දින 52 ඩීල් වලට රන්ජන්ට කතා කරපු අයගේ රෙකෝඩින්. එව්වා ගොඩක් රසවත් ඈ,False,"[0, 128]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>",,,,,,329826075,329826075,,,,,False,0,0,1,0,1214068016469680128,1214068016469680128,False,False,si,,,,,,,,,
1147562304424370178,Sat Jul 06 17:45:48 +0000 2019,1147562304424370178,1147562304424370178,@KolithaBee @duliponline @satans_feed @iamharshana1 ඒක හරියන්නේ නෑ එතකොට හුකන්න වෙන්නේ නෑ නිදාගනින් යි වෙන්නෙ.,False,"[52, 110]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'KolithaBee', 'name': '𝐊𝐨𝐥𝐢𝐭𝐡𝐚𝐁𝐞𝐞', 'id': 100980318, 'id_str': '100980318', 'indices': [0, 11]}, {'screen_name': 'duliponline', 'name': 'ආර්. බැද්දගේ', 'id': 799677397, 'id_str': '799677397', 'indices': [12, 24]}, {'screen_name': 'satans_feed', 'name': 'Satan🔱', 'id': 1120737878970118145, 'id_str': '1120737878970118145', 'indices': [25, 37]}, {'screen_name': 'iamharshana1', 'name': 'Harshana Kavshalya', 'id': 1072765984468021248, 'id_str': '1072765984468021248', 'indices': [38, 51]}], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.1474445851965071e+18,1147444585196507137,100980318.0,100980318,KolithaBee,4531982057,4531982057,,,,,False,0,1,1,0,1147279364712779776,1147279364712779776,False,False,si,,,,,,,,,
876788085350047744,Mon Jun 19 13:05:44 +0000 2017,876788085350047744,876788085350047744,ට හුකන්න ෂිප් එකට දිව අහුවෙලා වගේ😃😃😂😂😂 https://t.co/bOcBRbmbRu,False,"[0, 62]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/bOcBRbmbRu', 'expanded_url': 'http://fb.me/RD4bLdZC', 'display_url': 'fb.me/RD4bLdZC', 'indices': [39, 62]}]}","<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>",,,,,,2547990481,2547990481,,,,,False,0,0,0,0,876788085350047744,876788085350047744,False,False,si,,False,True,,,,,,
1116556819663425536,Fri Apr 12 04:21:05 +0000 2019,1116556819663425536,1116556819663425536,@iam_prasha හුකන්න ඔයා,False,"[12, 22]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.1163636355786424e+18,1116363635578642434,9.727268950905119e+17,972726895090511872,iam_prasha_,3089536357,3089536357,,,,,False,0,1,0,0,1116363635578642434,1116363635578642434,False,False,si,,,,,,,,,
1142129847403077632,Fri Jun 21 17:59:10 +0000 2019,1142129847403077632,1142129847403077632,"@akshaypasu @MichaelVaughan පල කැරි පොන්නය අම්මට හුකගන්නෙ නැතුව. ගොන වේස බල්ල. 

 Hi there. Love from sri lanka 
 
ගොන් හුකන්න",False,"[28, 126]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'MichaelVaughan', 'name': 'Michael Vaughan', 'id': 97893963, 'id_str': '97893963', 'indices': [12, 27]}], 'urls': []}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.141997944498901e+18,1141997944498900993,3242017600.0,3242017600,Kohlify,623929922,623929922,,,,,False,0,31,0,0,1141997344080007168,1141997344080007168,False,False,si,,,,,,,,,
1330882263471439872,Mon Nov 23 14:33:52 +0000 2020,1330882263471439872,1330882263471439872,සරලව අහල තියෙන්නේ හුකා ගන්න ඕනේ. හුකන්න එකෙක් නැද්ද කියල. ඉන්නව නම් මෙන්න චාන්ස් එක.,False,"[0, 84]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,190986031,190986031,,,,,True,0,2,0,0,1330882263471439872,1330882263471439872,False,False,si,,,,,1.3308584248426086e+18,1330858424842608640,"{'url': 'https://t.co/ZWndZzJGyt', 'expanded': 'https://twitter.com/iamnishui/status/1330858424842608640', 'display': 'twitter.com/iamnishui/stat…'}",,
1248935521394421760,Sat Apr 11 11:26:47 +0000 2020,1248935521394421760,1248935521394421760,@maalupaan අනේ පොන්න පකෝ මට කොහෙවත් නැති එකියක්ට හුකන්න ඕන නෑ.... තොට මුනට කිව්වා වගේ තාමා මේම දැම්මාම... එක පුක ඉරාගෙන දගලන්නේ ගෝතයා...,False,"[11, 136]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'maalupaan', 'name': 'Jerry 🇱🇰', 'id': 4632654077, 'id_str': '4632654077', 'indices': [0, 10]}], 'urls': []}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2489273301074043e+18,1248927330107404289,4632654077.0,4632654077,maalupaan,708916415122657281,708916415122657281,,,,,False,0,2,1,0,1248927330107404289,1248927330107404289,False,False,si,,,,,,,,,
1165339365192687616,Sat Aug 24 19:05:30 +0000 2019,1165339365192687616,1165339365192687616,@Anonymous__LK @puka_sl @BasnayakageGopi @rasiikalink @MalindaOnline ඒකියන්නෙ රසික අයියද මේ ෆේක් එකින් රිප්ලයි කලේ ☺️😊🤔🤨🙄 කොහොමද රසික අයියේ ඔයා බර ඇක් තොගයක් එකපාර නඩත්තු කරන්නෙ ඔයානම් පට්ට චරිතයක් මටත් ඔයාගෙන් ට්‍රික්ස් ටිකක් දැන ගන්න ඕන😃😊 ඔයා ඔය විදියට අක්කලත් බර ගානක් නඩත්තු කරනව ඇති නේද 😃😌මට ඒ ට්‍රික්ස් ටිකකුත් ඕන please 😋😉,False,"[69, 329]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Anonymous__LK', 'name': 'ඇනෝනිමස් ආතල්', 'id': 1138064372670984193, 'id_str': '1138064372670984193', 'indices': [0, 14]}, {'screen_name': 'puka_sl', 'name': 'පුක 🍑 | PUKA | All Fart No Shit', 'id': 1089477743773868032, 'id_str': '1089477743773868032', 'indices': [15, 23]}, {'screen_name': 'BasnayakageGopi', 'name': 'ගෝප්ස්', 'id': 982608810928844801, 'id_str': '982608810928844801', 'indices': [24, 40]}, {'screen_name': 'MalindaOnline', 'name': 'Malinda Alahakoon ☕', 'id': 74673651, 'id_str': '74673651', 'indices': [54, 68]}], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.165316047668314e+18,1165316047668314112,1.1380643726709842e+18,1138064372670984193,Anonymous__LK,874190738455752704,874190738455752704,,,,,False,0,3,2,1,1165121967315439616,1165121967315439616,False,False,si,,,,,,,,,
1281266164086132737,Thu Jul 09 16:37:12 +0000 2020,1281266164086132737,1281266164086132737,@devinda_hemal ඒ හුකන්න එක පාරකුත් වැරද්දක් කරලා ආයෙත් කරනවා ඌ දන්නවා උට බේරෙන්න පුලුවන් කියලා නීතිය තදටම තියෙන්න ඕන නැත්නම් ආයෙත් ඕකම කරයි,False,"[15, 139]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.2812633833464668e+18,1281263383346466818,1.0673992874771292e+18,1067399287477129217,hemal_devinda,914051095558631424,914051095558631424,,,,,False,0,2,0,0,1281263383346466818,1281263383346466818,False,False,si,,,,,,,,,
1273096098966618116,Wed Jun 17 03:32:17 +0000 2020,1273096098966618116,1273096098966618116,@qAzithen දෙමල දන්නෑ 😁,False,"[10, 22]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'qAzithen', 'name': 'SAHAN™ 🇱🇰', 'id': 1117021610618310656, 'id_str': '1117021610618310656', 'indices': [0, 9]}], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.273088913930883e+18,1273088913930883075,1.1170216106183107e+18,1117021610618310656,qAzithen,3033137011,3033137011,,,,,False,0,1,1,0,1273086821338017794,1273086821338017794,False,False,si,,,,,,,,,
1214068586437840896,Mon Jan 06 06:18:01 +0000 2020,1214068586437840896,1214068586437840896,@nirodhanews උඹේ අම්මට හුකන්න ගොන් වේසිගේ පුතා දින 52 ඩීල් එකක් තමයි පකෝ. නමුත් ඒක රට වෙනුවෙන් කරපු ඩීල් එකක් පකෝ. එදා ඒ සිදුවීම නොවුනා නම් සක්කිලි බල්ලෝ මේ වෙනකොටත් අපේ රට ෆෙඩරල් වෙලා ඉවරයි කැරි බල්ලෝ.,False,"[13, 202]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'nirodhanews', 'name': 'Nuwan Nirodha Alwis', 'id': 329826075, 'id_str': '329826075', 'indices': [0, 12]}], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.21406801646968e+18,1214068016469680128,329826075.0,329826075,nirodhanews,1135511371095957505,1135511371095957505,,,,,False,0,0,0,0,1214068016469680128,1214068016469680128,False,False,si,,,,,,,,,
1046828198183546880,Mon Oct 01 18:24:26 +0000 2018,1046828198183546880,1046828198183546880,@Pahankolla මටත් මේ හුකන්න කෙනෙක් නැතිව උන්නෙ. වරෙන් හුකාගමු.,False,"[12, 61]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Pahankolla', 'name': 'පහන්', 'id': 192923931, 'id_str': '192923931', 'indices': [0, 11]}], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.0468111053168067e+18,1046811105316806656,192923931.0,192923931,Pahankolla,233860469,233860469,,,,,False,0,1,1,0,1046811105316806656,1046811105316806656,False,False,si,,,,,,,,,
