,created_at,id,id_str,full_text,truncated,display_text_range,entities,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,user_id,user_id_str,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,reply_count,quote_count,conversation_id,conversation_id_str,favorited,retweeted,lang,supplemental_language,extended_entities,possibly_sensitive,possibly_sensitive_editable,self_thread,card,quoted_status_id,quoted_status_id_str,quoted_status_permalink
1367396139746488328,Thu Mar 04 08:46:59 +0000 2021,1367396139746488328,1367396139746488328,@yunesh_k කාන්තාවන්ට හිරමන ලබාදීමේ ව්‍යාපාරයක් පටන්ගමුද,False,"[10, 55]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'yunesh_k', 'name': 'Beauty of the Sri Lanka ❤️🇱🇰🙏', 'id': 333357644, 'id_str': '333357644', 'indices': [0, 9]}], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.3673797899678556e+18,1367379789967855617,333357644.0,333357644,yunesh_k,2533578847,2533578847,,,,,False,0,20,8,0,1367379789967855617,1367379789967855617,False,False,si,,,,,,,,,
527436291173269504,Wed Oct 29 12:26:25 +0000 2014,527436291173269504,527436291173269504,"හිත මගෙත් එක්ක තරහවෙලා
රැප් සෙල්ලමත් එක්ක යාලුවෙලා
සිංහලත් එක්ක දීග ගිහින්
ඒ කිම්බ නිසා මං ගෙම්බ වේලා
#Kesara_sinhala",False,"[0, 117]","{'hashtags': [{'text': 'Kesara_sinhala', 'indices': [102, 117]}], 'symbols': [], 'user_mentions': [], 'urls': []}","<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>",,,,,,92488452,92488452,,,,,False,0,0,0,0,527436291173269504,527436291173269504,False,False,si,,,,,,,,,
1253967614704971777,Sat Apr 25 08:42:31 +0000 2020,1253967614704971777,1253967614704971777,@sudunona1234 ඒ වේස කිම්බ,False,"[14, 25]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.2539175626493501e+18,1253917562649350145,1.1628748620518154e+18,1162874862051815431,sonayabigass,1181545300508307461,1181545300508307461,,,,,False,0,1,0,0,1253917562649350145,1253917562649350145,False,False,si,,,,,,,,,
650736985724686337,Sun Oct 04 18:19:22 +0000 2015,650736985724686337,650736985724686337,@ExcuzeMi @CrazyHesH @NightWingzzz ඕක ඔන්නම් කිම්බ+උල්ලු කියලත් ගත්තෑකි 😋😈,False,"[0, 74]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'ExcuzeMi', 'name': 'Oli', 'id': 582633677, 'id_str': '582633677', 'indices': [0, 9]}, {'screen_name': 'CrazyHesH', 'name': 'Avinath', 'id': 906057763, 'id_str': '906057763', 'indices': [10, 20]}, {'screen_name': 'NightWingzzz', 'name': 'Nightwing®🇱🇰', 'id': 2369956382, 'id_str': '2369956382', 'indices': [21, 34]}], 'urls': []}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",6.507360527605023e+17,650736052760502276,582633677.0,582633677,ExcuzeMi,911573887,911573887,,,,,False,1,1,0,0,650726199644151808,650726199644151808,False,False,si,,,,,,,,,
832604051564933120,Fri Feb 17 14:54:09 +0000 2017,832604051564933120,832604051564933120,කරුමෙට තමා අපිට කිම්බක් නැත්තේ. තිබ්බ නම් පුප දෙන්න තිබ්බා මේම මේම!,False,"[0, 67]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,246224922,246224922,,,,,False,0,4,2,0,832604051564933120,832604051564933120,False,False,si,,,,,,,,,
998503997429506050,Mon May 21 10:01:18 +0000 2018,998503997429506050,998503997429506050,නිලුෂි කිම්බ පුටුවෙත් අතුල්ලනවා,False,"[0, 31]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","<a href=""http://hornyagent.net"" rel=""nofollow"">hukanawa.com</a>",,,,,,996787115072610305,996787115072610305,,,,,False,0,0,0,0,998503997429506050,998503997429506050,False,False,si,,,,,,,,,
1238672512772214784,Sat Mar 14 03:45:15 +0000 2020,1238672512772214784,1238672512772214784,@indika27 බෙලාජියෝ එකට ෆොරින් අයට විතරයි නේද කොහොමත් යන්න පුලුවන්.මරිනා එකෙත් චීන්නු වැහි වැහැල චීන්නුද මන්දා තායි එහෙම හම්මෝ 😅,False,"[10, 127]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'indika27', 'name': 'Amila Chathuranga', 'id': 150624162, 'id_str': '150624162', 'indices': [0, 9]}], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.2386595481871852e+18,1238659548187185164,150624162.0,150624162,indika27,742572263497564160,742572263497564160,,,"{'id': '173c2bb9d42baaa5', 'url': 'https://api.twitter.com/1.1/geo/id/173c2bb9d42baaa5.json', 'place_type': 'country', 'name': 'Sri Lanka', 'full_name': 'Sri Lanka', 'country_code': 'LK', 'country': 'Sri Lanka', 'contained_within': [], 'bounding_box': {'type': 'Polygon', 'coordinates': [[[79.6505263, 5.9213829], [81.8787816, 5.9213829], [81.8787816, 9.8359375], [79.6505263, 9.8359375]]]}, 'attributes': {}}",,False,0,2,1,0,1238659548187185164,1238659548187185164,False,False,si,,,,,,,,,
931530486245089280,Fri Nov 17 14:32:29 +0000 2017,931530486245089280,931530486245089280,"”ස්කර්ට් එක හෙමීට උස්සන්න කෙල්ලෙ”
පියුමි කාමුක හිනාවක් දාලා හෙමිහිට ස්කර්ට් එක උඩට ඉස්සුව​. ජංගිය පේන්න ගත්ත ගමන් මගේ පයිය නළියන්න ගත්තා. පියුමිගෙ කිම්බ පොඩි බනිස් ගෙඩියක් වගේ &gt;&gt;https://t.co/G9W3vxIoMK https://t.co/YY52Jk2eFz",False,"[0, 207]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/G9W3vxIoMK', 'expanded_url': 'http://walkathasinhala.com/wela-katha-pdf-download-dammi/', 'display_url': 'walkathasinhala.com/wela-katha-pdf…', 'indices': [184, 207]}], 'media': [{'id': 931530442754244608, 'id_str': '931530442754244608', 'indices': [208, 231], 'media_url': 'http://pbs.twimg.com/media/DO12AJHUQAAuR3f.jpg', 'media_url_https': 'https://pbs.twimg.com/media/DO12AJHUQAAuR3f.jpg', 'url': 'https://t.co/YY52Jk2eFz', 'display_url': 'pic.twitter.com/YY52Jk2eFz', 'expanded_url': 'https://twitter.com/xxxwalkatha/status/931530486245089280/photo/1', 'type': 'photo', 'original_info': {'width': 600, 'height': 836, 'focus_rects': [{'x': 0, 'y': 145, 'h': 336, 'w': 600}, {'x': 0, 'y': 13, 'h': 600, 'w': 600}, {'x': 0, 'y': 0, 'h': 684, 'w': 600}, {'x': 182, 'y': 0, 'h': 836, 'w': 418}, {'x': 0, 'y': 0, 'h': 836, 'w': 600}]}, 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 488, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 600, 'h': 836, 'resize': 'fit'}, 'large': {'w': 600, 'h': 836, 'resize': 'fit'}}, 'features': {'orig': {'faces': []}, 'small': {'faces': []}, 'medium': {'faces': []}, 'large': {'faces': []}}}]}","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,,,,,4118571078,4118571078,,,,,False,0,1,0,0,931530486245089280,931530486245089280,False,False,si,,"{'media': [{'id': 931530442754244608, 'id_str': '931530442754244608', 'indices': [208, 231], 'media_url': 'http://pbs.twimg.com/media/DO12AJHUQAAuR3f.jpg', 'media_url_https': 'https://pbs.twimg.com/media/DO12AJHUQAAuR3f.jpg', 'url': 'https://t.co/YY52Jk2eFz', 'display_url': 'pic.twitter.com/YY52Jk2eFz', 'expanded_url': 'https://twitter.com/xxxwalkatha/status/931530486245089280/photo/1', 'type': 'photo', 'original_info': {'width': 600, 'height': 836, 'focus_rects': [{'x': 0, 'y': 145, 'h': 336, 'w': 600}, {'x': 0, 'y': 13, 'h': 600, 'w': 600}, {'x': 0, 'y': 0, 'h': 684, 'w': 600}, {'x': 182, 'y': 0, 'h': 836, 'w': 418}, {'x': 0, 'y': 0, 'h': 836, 'w': 600}]}, 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 488, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 600, 'h': 836, 'resize': 'fit'}, 'large': {'w': 600, 'h': 836, 'resize': 'fit'}}, 'features': {'orig': {'faces': []}, 'small': {'faces': []}, 'medium': {'faces': []}, 'large': {'faces': []}}, 'media_key': '3_931530442754244608', 'ext_alt_text': None, 'ext_media_color': {'palette': [{'rgb': {'red': 213, 'green': 155, 'blue': 57}, 'percentage': 23.03}, {'rgb': {'red': 138, 'green': 77, 'blue': 28}, 'percentage': 21.78}, {'rgb': {'red': 200, 'green': 215, 'blue': 207}, 'percentage': 21.01}, {'rgb': {'red': 1, 'green': 1, 'blue': 0}, 'percentage': 20.85}, {'rgb': {'red': 182, 'green': 134, 'blue': 92}, 'percentage': 6.28}]}, 'ext_media_availability': {'status': 'available'}, 'ext': {'mediaStats': {'r': 'Missing', 'ttl': -1}}}]}",False,True,,,,,
1280124523547783169,Mon Jul 06 13:00:44 +0000 2020,1280124523547783169,1280124523547783169,"@sonamakapoor සෝනම් තෝ පට්ට හුත්ති, වේස බැල්ලි..  පොන්න හුකන්නි..  ලැගැටු හුතු පිත්තලමු...             ටහුකන්ඩ හුත්ති.....       අහුවුනොත් තොගෙ කිම්බ කපලා කපලා අරන් ඩෙවල් දාලා කනවා පක්කියෝ...😡😡😡",False,"[14, 194]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'sonamakapoor', 'name': 'Sonam K Ahuja', 'id': 51376979, 'id_str': '51376979', 'indices': [0, 13]}], 'urls': []}","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.272533134911787e+18,1272533134911787009,51376979.0,51376979,sonamakapoor,814025796822044672,814025796822044672,,,,,False,0,1,0,0,1272533134911787009,1272533134911787009,False,False,si,,,,,,,,,
653649772117495808,Mon Oct 12 19:13:44 +0000 2015,653649772117495808,653649772117495808,"And of course, if you're a guy and you try to point this out, you get labeled a white knight or මෝඩයට කිම්බ රත්තරං or some such horseshit.",False,"[0, 140]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",6.536488441445745e+17,653648844144574464,31069427.0,31069427,himalkk,31069427,31069427,,,,,False,1,0,1,0,653646574879309824,653646574879309824,False,False,en,,,,,,,,,
