,created_at,id,id_str,full_text,truncated,display_text_range,entities,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,user_id,user_id_str,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,reply_count,quote_count,conversation_id,conversation_id_str,favorited,retweeted,lang,supplemental_language,extended_entities,possibly_sensitive,possibly_sensitive_editable,quoted_status_id,quoted_status_id_str,quoted_status_permalink,self_thread,card
1293804579428032514,Thu Aug 13 07:00:24 +0000 2020,1293804579428032514,1293804579428032514,"@MaheshNegombo අතිං පයිං වේවැල් වලින් ගහන්ඩ කතා කරල, අන්තිමට ඒකත් කයිය විතරක් වෙන උන්ගෙ උදාන වාක්‍ය තමා බං "" උබ වගේ එහෙකුට ගහල වැඩක් තියෙනවද "" වගේ ඒව.😂😂

පටං ගත්තෙ පොලිටික්ස් සම්බන්ද දේකින්. දැන් ගෑණු ගැනත් කියනව නේහ්. ඉතිං බං මම පොර උනත් නැතත් උබට මොකද. බලාගෙන ඉන්න අමාරුනම් බ්ලොක් කරපං.😂",False,"[15, 289]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'MaheshNegombo', 'name': 'Mahesh Madusanka', 'id': 189878124, 'id_str': '189878124', 'indices': [0, 14]}], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.2938019650218762e+18,1293801965021876224,189878124.0,189878124,MaheshNegombo,233860469,233860469,,,,,False,0,2,1,0,1293801965021876224,1293801965021876224,False,False,si,,,,,,,,,
1044070180610088960,Mon Sep 24 03:45:03 +0000 2018,1044070180610088960,1044070180610088960,ඇන්ටි හොදට පයිය උඩ නටනවා – Sri Lankan Aunty Riding Cock,False,"[0, 55]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","<a href=""http://hornyagent.net"" rel=""nofollow"">hukanawa.com</a>",,,,,,996787115072610305,996787115072610305,,,,,False,0,1,0,0,1044070180610088960,1044070180610088960,False,False,und,,,,,,,,,
1304453605353611264,Fri Sep 11 16:15:49 +0000 2020,1304453605353611264,1304453605353611264,@devinda_hemal අන්න මටත් එකක් දාලා තිබුණා 😂,False,"[15, 43]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.3044434028476867e+18,1304443402847686659,1.0673992874771292e+18,1067399287477129217,hemal_devinda,4695571118,4695571118,,,,,False,0,2,1,0,1304443402847686659,1304443402847686659,False,False,si,,,,,,,,,
1264542118355316736,Sun May 24 13:01:49 +0000 2020,1264542118355316736,1264542118355316736,හුත්තට හුප්ත කිව්වම පොස් ද ඒයි 😂,False,"[0, 32]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,1117021610618310656,1117021610618310656,,,,,False,0,36,5,0,1264542118355316736,1264542118355316736,False,False,si,,,,,,,,,
1147536906223329281,Sat Jul 06 16:04:53 +0000 2019,1147536906223329281,1147536906223329281,@arshadwazhar @CMNNow @irajonline @facebook ම්ලේච්ඡයා ම්ලේච්ඡයාමයි..තම්බියා තම්බියාමයි රට කෑවා ...අනත්වාදී උම්මත්තකයෝ,False,"[44, 117]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'arshadwazhar', 'name': 'Arshad Wazhar🇱🇰', 'id': 286118033, 'id_str': '286118033', 'indices': [0, 13]}, {'screen_name': 'CMNNow', 'name': 'CMN', 'id': 2509158060, 'id_str': '2509158060', 'indices': [14, 21]}, {'screen_name': 'irajonline', 'name': 'IRAJ', 'id': 124982587, 'id_str': '124982587', 'indices': [22, 33]}, {'screen_name': 'Facebook', 'name': 'Facebook', 'id': 2425151, 'id_str': '2425151', 'indices': [34, 43]}], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.1475332642041283e+18,1147533264204128256,286118033.0,286118033,arshadwazhar,1059653431676276737,1059653431676276737,,,,,False,0,0,1,0,1147353419545362432,1147353419545362432,False,False,si,,,,,,,,,
1174214025632210946,Wed Sep 18 06:50:14 +0000 2019,1174214025632210946,1174214025632210946,"ටිකිරි මැණිකෙ රෙද්ද උස්සලා 
ගොවිරාල පයිය නග්ගලා
ගලන ගඟෙන් ගල සෝදාලා
ගොවියා හුකයි මරහඬ දීලා
#සාජ්ජෙ",False,"[0, 98]","{'hashtags': [{'text': 'සාජ්ජෙ', 'indices': [91, 98]}], 'symbols': [], 'user_mentions': [], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,1022393959555915777,1022393959555915777,,,,,False,0,0,0,0,1174214025632210946,1174214025632210946,False,False,si,,,,,,,,,
1342694082552991751,Sat Dec 26 04:49:49 +0000 2020,1342694082552991751,1342694082552991751,@SriLankaMirror නගිනවා තොගේ පයිය.,False,"[16, 33]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'SriLankaMirror', 'name': 'Srilankamirror', 'id': 213423172, 'id_str': '213423172', 'indices': [0, 15]}], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.3426592625149338e+18,1342659262514933760,213423172.0,213423172,SriLankaMirror,1103985146,1103985146,,,,,False,0,0,0,0,1342659262514933760,1342659262514933760,False,False,si,,,,,,,,,
1296762323663609856,Fri Aug 21 10:53:25 +0000 2020,1296762323663609856,1296762323663609856,"@k0i9r1i3 パイヤみたいなんもありますか？😂
階段の一段のපඩිය っていうのを言い間違って、ざわつきました（笑）",False,"[10, 61]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'k0i9r1i3', 'name': 'きり@永遠にきりとーらー', 'id': 206456057, 'id_str': '206456057', 'indices': [0, 9]}], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.2967557292071076e+18,1296755729207107584,206456057.0,206456057,k0i9r1i3,1535624089,1535624089,,,,,False,0,1,1,0,1296753408825798656,1296753408825798656,False,False,ja,,,,,,,,,
1308122973954428928,Mon Sep 21 19:16:35 +0000 2020,1308122973954428928,1308122973954428928,@thilinixxx එන්න බබා... ඔයාගේ කිම්බට හුකන්නම් හොඳට... පයිය උඩට කෙල දාලා ගන්න..,False,"[12, 78]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,1069460508703625216,1069460508703625216,,,,,False,0,0,0,0,1308120785655984128,1308120785655984128,False,False,si,,,,,,,,,
939387172930560000,Sat Dec 09 06:52:09 +0000 2017,939387172930560000,939387172930560000,අරූ වගේ ශී සෙඩ් යෙස් කියලා වැඩේ ගූ කරගන්නෙ නෑ. සද්ද නැතිව ඉන්නෝනෙ..........😂,False,"[0, 76]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,395035548,395035548,,,,,False,0,19,7,1,939387172930560000,939387172930560000,False,False,si,,,,,,,,,
