,created_at,id,id_str,full_text,truncated,display_text_range,entities,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,user_id,user_id_str,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,reply_count,quote_count,conversation_id,conversation_id_str,favorited,retweeted,lang,supplemental_language,quoted_status_id,quoted_status_id_str,quoted_status_permalink,possibly_sensitive,possibly_sensitive_editable,extended_entities,card,self_thread
1383649110687772679,Sun Apr 18 05:10:29 +0000 2021,1383649110687772679,1383649110687772679,"@AshWarunasuriya @duliponline ඔයාගෙන් ආයෙත් මම අහනවා ..""බොහීමියානු ආදරය කියලා ඔයා මේ කියලා තියෙන දේ මොකද්ද ?""",False,"[30, 109]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'AshWarunasuriya', 'name': 'Ashanthi', 'id': 3185439146, 'id_str': '3185439146', 'indices': [0, 16]}, {'screen_name': 'duliponline', 'name': 'ආර්. බැද්දගේ', 'id': 799677397, 'id_str': '799677397', 'indices': [17, 29]}], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.3836453129720627e+18,1383645312972062727,3185439146.0,3185439146,AshWarunasuriya,973212683007819776,973212683007819776,,,,,False,0,2,1,0,1383377079824109573,1383377079824109573,False,False,si,,,,,,,,,
1292737698621399041,Mon Aug 10 08:20:59 +0000 2020,1292737698621399041,1292737698621399041,"සමහර කොල්ලෝ හිතනවා කෙල්ලෙක් ""hey beautiful"" කියලා කමෙන්ට් කලාම මෙහෙම  👇 වෙයි කියලා. 🤣🤣🤣🤣🤣😉😉😉😉😉",False,"[0, 94]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,1057885194630311936,1057885194630311936,,,,,True,0,6,2,0,1292737698621399041,1292737698621399041,False,False,si,,1.292710295509508e+18,1292710295509508096,"{'url': 'https://t.co/mYAtOSDGWQ', 'expanded': 'https://twitter.com/Yama_Rajano/status/1292710295509508096', 'display': 'twitter.com/Yama_Rajano/st…'}",,,,,
1217142006666821632,Tue Jan 14 17:50:42 +0000 2020,1217142006666821632,1217142006666821632,@123Mgsbaduwa1 @wela_katha @bu_jayasinghe @Senura63897332 @shasha5599 @sudunona1234 @naughtgirls96 @Shagnu1 @IncestSrilanka ආසයි හුකන්න,False,"[124, 135]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': '123Mgsbaduwa1', 'name': '💋hot my wife 💋', 'id': 1118477120328617984, 'id_str': '1118477120328617984', 'indices': [0, 14]}, {'screen_name': 'wela_katha', 'name': 'Sinhala wal katha', 'id': 1190525255355420672, 'id_str': '1190525255355420672', 'indices': [15, 26]}, {'screen_name': 'shasha5599', 'name': 'sha shan😘', 'id': 877252049259331584, 'id_str': '877252049259331584', 'indices': [58, 69]}, {'screen_name': 'Shagnu1', 'name': 'SL', 'id': 1113990116698025984, 'id_str': '1113990116698025984', 'indices': [99, 107]}], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.2171107454201405e+18,1217110745420140545,1.118477120328618e+18,1118477120328617984,123Mgsbaduwa1,767436013673205761,767436013673205761,,,,,False,0,1,0,0,1217110745420140545,1217110745420140545,False,False,si,,,,,,,,,
1067806092472844288,Wed Nov 28 15:43:05 +0000 2018,1067806092472844288,1067806092472844288,I liked a @YouTube video https://t.co/aPQtOTFfLT මට හොඳට හුකන්න පුළුවන්,False,"[0, 71]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'YouTube', 'name': 'YouTube', 'id': 10228272, 'id_str': '10228272', 'indices': [10, 18]}], 'urls': [{'url': 'https://t.co/aPQtOTFfLT', 'expanded_url': 'http://youtu.be/tVQD9iU8czM?a', 'display_url': 'youtu.be/tVQD9iU8czM?a', 'indices': [25, 48]}]}","<a href=""https://www.google.com/"" rel=""nofollow"">Google</a>",,,,,,625484901,625484901,,,,,False,0,0,0,0,1067806092472844288,1067806092472844288,False,False,si,,,,,False,True,,,
1255151989819768834,Tue Apr 28 15:08:48 +0000 2020,1255151989819768834,1255151989819768834,@Madurangakalpa1 ණයට හුකන්න බැරිද 😂🍆,False,"[17, 36]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.2551315593817006e+18,1255131559381700608,9.96060592354902e+17,996060592354902017,Maduranga__,1235635467640549376,1235635467640549376,,,,,False,0,1,1,0,1255131559381700608,1255131559381700608,False,False,si,,,,,,,,,
1292710295509508096,Mon Aug 10 06:32:06 +0000 2020,1292710295509508096,1292710295509508096,"සමහර කොල්ලෝ හිතනවා කෙල්ලෙක්ට ""hey beautiful"" කියලා DM කලාම මෙහෙම  👇 වෙයි කියලා. 🤣🤣🤣🤣🤣😉😉😉😉😉 https://t.co/2btvHD8x7H",False,"[0, 90]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1292710280061833216, 'id_str': '1292710280061833216', 'indices': [91, 114], 'media_url': 'http://pbs.twimg.com/media/EfChJpCU0AAypZv.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EfChJpCU0AAypZv.jpg', 'url': 'https://t.co/2btvHD8x7H', 'display_url': 'pic.twitter.com/2btvHD8x7H', 'expanded_url': 'https://twitter.com/Yama_Rajano/status/1292710295509508096/photo/1', 'type': 'photo', 'original_info': {'width': 1280, 'height': 787, 'focus_rects': [{'x': 0, 'y': 70, 'h': 717, 'w': 1280}, {'x': 0, 'y': 0, 'h': 787, 'w': 787}, {'x': 0, 'y': 0, 'h': 787, 'w': 690}, {'x': 90, 'y': 0, 'h': 787, 'w': 394}, {'x': 0, 'y': 0, 'h': 787, 'w': 1280}]}, 'sizes': {'large': {'w': 1280, 'h': 787, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 418, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 738, 'resize': 'fit'}}, 'features': {'large': {'faces': []}, 'small': {'faces': []}, 'orig': {'faces': []}, 'medium': {'faces': []}}}]}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,1173489334831308800,1173489334831308800,,,,,False,0,35,1,2,1292710295509508096,1292710295509508096,False,False,si,,,,,False,True,"{'media': [{'id': 1292710280061833216, 'id_str': '1292710280061833216', 'indices': [91, 114], 'media_url': 'http://pbs.twimg.com/media/EfChJpCU0AAypZv.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EfChJpCU0AAypZv.jpg', 'url': 'https://t.co/2btvHD8x7H', 'display_url': 'pic.twitter.com/2btvHD8x7H', 'expanded_url': 'https://twitter.com/Yama_Rajano/status/1292710295509508096/photo/1', 'type': 'photo', 'original_info': {'width': 1280, 'height': 787, 'focus_rects': [{'x': 0, 'y': 70, 'h': 717, 'w': 1280}, {'x': 0, 'y': 0, 'h': 787, 'w': 787}, {'x': 0, 'y': 0, 'h': 787, 'w': 690}, {'x': 90, 'y': 0, 'h': 787, 'w': 394}, {'x': 0, 'y': 0, 'h': 787, 'w': 1280}]}, 'sizes': {'large': {'w': 1280, 'h': 787, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 680, 'h': 418, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 738, 'resize': 'fit'}}, 'features': {'large': {'faces': []}, 'small': {'faces': []}, 'orig': {'faces': []}, 'medium': {'faces': []}}, 'media_key': '3_1292710280061833216', 'ext_alt_text': None, 'ext_media_availability': {'status': 'available'}, 'ext_media_color': {'palette': [{'rgb': {'red': 195, 'green': 191, 'blue': 213}, 'percentage': 48.02}, {'rgb': {'red': 193, 'green': 169, 'blue': 149}, 'percentage': 16.98}, {'rgb': {'red': 48, 'green': 35, 'blue': 33}, 'percentage': 13.52}, {'rgb': {'red': 178, 'green': 117, 'blue': 72}, 'percentage': 5.92}, {'rgb': {'red': 89, 'green': 45, 'blue': 18}, 'percentage': 2.09}]}, 'ext': {'mediaStats': {'r': 'Missing', 'ttl': -1}}}]}",,
1319272409619288067,Thu Oct 22 13:40:28 +0000 2020,1319272409619288067,1319272409619288067,Come hangout with me &gt; කිඹ් අස්සෙ රිංගන් කික් කරන පොන්න චම්පික වර බොගෙ අම්මට හුකන්න 🤨 on #BIGOLIVE https://t.co/wFrXLkrqCr https://t.co/HDsKxHCAIH,False,"[0, 125]","{'hashtags': [{'text': 'BIGOLIVE', 'indices': [92, 101]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/wFrXLkrqCr', 'expanded_url': 'http://www.bigo.tv/sid/2449531269_1603374026_cfjdijbedb_1341983952?c=3&p=1&t=0&b=378225654', 'display_url': 'bigo.tv/sid/2449531269…', 'indices': [102, 125]}], 'media': [{'id': 1319272405840261120, 'id_str': '1319272405840261120', 'indices': [126, 149], 'media_url': 'http://pbs.twimg.com/media/Ek7_Q2gVcAAWipb.png', 'media_url_https': 'https://pbs.twimg.com/media/Ek7_Q2gVcAAWipb.png', 'url': 'https://t.co/HDsKxHCAIH', 'display_url': 'pic.twitter.com/HDsKxHCAIH', 'expanded_url': 'https://twitter.com/spenderlvl37kwa/status/1319272409619288067/photo/1', 'type': 'photo', 'original_info': {'width': 748, 'height': 748, 'focus_rects': [{'x': 0, 'y': 329, 'h': 419, 'w': 748}, {'x': 0, 'y': 0, 'h': 748, 'w': 748}, {'x': 64, 'y': 0, 'h': 748, 'w': 656}, {'x': 205, 'y': 0, 'h': 748, 'w': 374}, {'x': 0, 'y': 0, 'h': 748, 'w': 748}]}, 'sizes': {'large': {'w': 748, 'h': 748, 'resize': 'fit'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 748, 'h': 748, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}}, 'features': {'orig': {'faces': []}, 'large': {'faces': []}, 'small': {'faces': []}, 'medium': {'faces': []}}}]}","<a href=""http://www.bigo.tv"" rel=""nofollow"">BIGO LIVE</a>",,,,,,1315113105412685824,1315113105412685824,,,,,False,0,0,0,0,1319272409619288067,1319272409619288067,False,False,si,,,,,False,True,"{'media': [{'id': 1319272405840261120, 'id_str': '1319272405840261120', 'indices': [126, 149], 'media_url': 'http://pbs.twimg.com/media/Ek7_Q2gVcAAWipb.png', 'media_url_https': 'https://pbs.twimg.com/media/Ek7_Q2gVcAAWipb.png', 'url': 'https://t.co/HDsKxHCAIH', 'display_url': 'pic.twitter.com/HDsKxHCAIH', 'expanded_url': 'https://twitter.com/spenderlvl37kwa/status/1319272409619288067/photo/1', 'type': 'photo', 'original_info': {'width': 748, 'height': 748, 'focus_rects': [{'x': 0, 'y': 329, 'h': 419, 'w': 748}, {'x': 0, 'y': 0, 'h': 748, 'w': 748}, {'x': 64, 'y': 0, 'h': 748, 'w': 656}, {'x': 205, 'y': 0, 'h': 748, 'w': 374}, {'x': 0, 'y': 0, 'h': 748, 'w': 748}]}, 'sizes': {'large': {'w': 748, 'h': 748, 'resize': 'fit'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 748, 'h': 748, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}}, 'features': {'orig': {'faces': []}, 'large': {'faces': []}, 'small': {'faces': []}, 'medium': {'faces': []}}, 'media_key': '3_1319272405840261120', 'ext_alt_text': None, 'ext_media_availability': {'status': 'available'}, 'ext_media_color': {'palette': [{'rgb': {'red': 219, 'green': 222, 'blue': 245}, 'percentage': 37.07}, {'rgb': {'red': 127, 'green': 58, 'blue': 11}, 'percentage': 16.12}, {'rgb': {'red': 37, 'green': 14, 'blue': 1}, 'percentage': 10.51}, {'rgb': {'red': 168, 'green': 129, 'blue': 65}, 'percentage': 7.15}, {'rgb': {'red': 181, 'green': 162, 'blue': 137}, 'percentage': 6.7}]}, 'ext': {'mediaStats': {'r': 'Missing', 'ttl': -1}}}]}",,
1383506582592315392,Sat Apr 17 19:44:08 +0000 2021,1383506582592315392,1383506582592315392,මොකද්ද බං නිදහස් බොහීමියානු ආදරය? වෙනත් ආදර වර්ග තියේද හොයන්න?,False,"[0, 62]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,1153839330579738627,1153839330579738627,,,,,False,0,9,2,0,1383506582592315392,1383506582592315392,False,False,si,,,,,,,,,
1075040872436326400,Tue Dec 18 14:51:31 +0000 2018,1075040872436326400,1075040872436326400,@dead_mans_creed Fuck is better than හුකන්න😂😂 සමාජ තියරි🙏🙏,False,"[17, 58]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'dead_mans_creed', 'name': '🇱🇰 ☠️ මහසොහොන් ☠️ 🇱🇰', 'id': 233860469, 'id_str': '233860469', 'indices': [0, 16]}], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.0750119620886241e+18,1075011962088624128,233860469.0,233860469,dead_mans_creed,1321435356,1321435356,,,,,False,1,3,0,0,1075011962088624128,1075011962088624128,False,False,und,,,,,,,,,
1147562304424370178,Sat Jul 06 17:45:48 +0000 2019,1147562304424370178,1147562304424370178,@KolithaBee @duliponline @satans_feed @iamharshana1 ඒක හරියන්නේ නෑ එතකොට හුකන්න වෙන්නේ නෑ නිදාගනින් යි වෙන්නෙ.,False,"[52, 110]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'KolithaBee', 'name': '𝐊𝐨𝐥𝐢𝐭𝐡𝐚𝐁𝐞𝐞', 'id': 100980318, 'id_str': '100980318', 'indices': [0, 11]}, {'screen_name': 'duliponline', 'name': 'ආර්. බැද්දගේ', 'id': 799677397, 'id_str': '799677397', 'indices': [12, 24]}, {'screen_name': 'satans_feed', 'name': 'Satan🔱', 'id': 1120737878970118145, 'id_str': '1120737878970118145', 'indices': [25, 37]}, {'screen_name': 'iamharshana1', 'name': 'Harshana Kavshalya', 'id': 1072765984468021248, 'id_str': '1072765984468021248', 'indices': [38, 51]}], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.1474445851965071e+18,1147444585196507137,100980318.0,100980318,KolithaBee,4531982057,4531982057,,,,,False,0,1,1,0,1147279364712779776,1147279364712779776,False,False,si,,,,,,,,,
