,created_at,id,id_str,full_text,truncated,display_text_range,entities,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,user_id,user_id_str,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,reply_count,quote_count,conversation_id,conversation_id_str,favorited,retweeted,lang,supplemental_language,extended_entities,possibly_sensitive,possibly_sensitive_editable,quoted_status_id,quoted_status_id_str,quoted_status_permalink,self_thread,card
1347508753520680962,Fri Jan 08 11:41:36 +0000 2021,1347508753520680962,1347508753520680962,@ItsMeKande අඩෝ Nazi Naran Hybrid ද ? 😂,False,"[12, 39]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'ItsMeKande', 'name': 'Darshana K', 'id': 1257356014380126208, 'id_str': '1257356014380126208', 'indices': [0, 11]}], 'urls': []}","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.347507390996861e+18,1347507390996860930,1.2573560143801262e+18,1257356014380126208,ItsMeKande,1279756807016116224,1279756807016116224,,,,,False,0,1,1,0,1347507390996860930,1347507390996860930,False,False,cs,,,,,,,,,
1360929538717274115,Sun Feb 14 12:31:01 +0000 2021,1360929538717274115,1360929538717274115,@Jude_H_Fernando අඩෝ කොලුකාර ජුඩා bro many happy returns of the day cosine stay safe stay happy 😊,False,"[0, 97]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Jude_H_Fernando', 'name': 'Dr. John H. Watson', 'id': 911206472956223488, 'id_str': '911206472956223488', 'indices': [0, 16]}], 'urls': []}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,9.112064729562235e+17,911206472956223488,Jude_H_Fernando,996060592354902017,996060592354902017,,,,,False,1,2,1,0,1360929538717274115,1360929538717274115,False,False,en,,,,,,,,,
1368467258196914176,Sun Mar 07 07:43:13 +0000 2021,1368467258196914176,1368467258196914176,"අපිට අද දවසේ මේ වගේ ආතල් එකක් දුන්නට Ex ලට ගොඩක් පිං 
#Exගේරසකතා",False,"[0, 64]","{'hashtags': [{'text': 'Exගේරසකතා', 'indices': [54, 64]}], 'symbols': [], 'user_mentions': [], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,1015323417392771072,1015323417392771072,,,,,False,0,6,1,1,1368467258196914176,1368467258196914176,False,False,si,,,,,,,,,
1366583603610591237,Tue Mar 02 02:58:15 +0000 2021,1366583603610591237,1366583603610591237,"@EnThunga මන් පාවිච්චි කරන්නෙ Sony WF-1000XM3. 
ඇක්ටිව් නොයිස් කැන්සලින් තියෙනව, සවුන්ඩ් කොලිටි එක පට්ට!!

එකම අවුල හිමින් කෝල් එකක කතාකරද්දි මයික් සෙන්සිටිවිටි එක මදිකම තමයි.",False,"[10, 175]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'EnThunga', 'name': 'N1pun4', 'id': 812297402656899077, 'id_str': '812297402656899077', 'indices': [0, 9]}], 'urls': []}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.3665730827442217e+18,1366573082744221698,8.122974026568991e+17,812297402656899077,EnThunga,955051442183684096,955051442183684096,,,,,False,0,4,1,0,1366573082744221698,1366573082744221698,False,False,si,,,,,,,,,
1366256111167307779,Mon Mar 01 05:16:55 +0000 2021,1366256111167307779,1366256111167307779,@gim_Rathnayaka_ @sasini0211 අඩෝ අඩෝ එපා 😅,False,"[29, 42]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'gim_Rathnayaka_', 'name': '✨_ගිම්සි_Гим _✍🏻_\U0001f90e\U0001f90d_✨', 'id': 1256116522415796224, 'id_str': '1256116522415796224', 'indices': [0, 16]}, {'screen_name': 'sasini0211', 'name': 'Sasini Nilanka', 'id': 1217778551048392709, 'id_str': '1217778551048392709', 'indices': [17, 28]}], 'urls': []}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.3662557650786058e+18,1366255765078605825,1.2561165224157962e+18,1256116522415796224,gim_Rathnayaka_,1251532423407403008,1251532423407403008,,,,,False,0,2,1,0,1366244442097606657,1366244442097606657,False,False,si,,,,,,,,,
1367576871295098882,Thu Mar 04 20:45:09 +0000 2021,1367576871295098882,1367576871295098882,These jets are super fast. I managed to capture a few good ones. #Nikon #nikonphotography #SriLanka #airshow https://t.co/36AzB06zS7,False,"[0, 108]","{'hashtags': [{'text': 'Nikon', 'indices': [65, 71]}, {'text': 'nikonphotography', 'indices': [72, 89]}, {'text': 'SriLanka', 'indices': [90, 99]}, {'text': 'airshow', 'indices': [100, 108]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1367576868509999104, 'id_str': '1367576868509999104', 'indices': [109, 132], 'media_url': 'http://pbs.twimg.com/media/Evqb6oqUYAAOyNY.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Evqb6oqUYAAOyNY.jpg', 'url': 'https://t.co/36AzB06zS7', 'display_url': 'pic.twitter.com/36AzB06zS7', 'expanded_url': 'https://twitter.com/lordryanjohnson/status/1367576871295098882/photo/1', 'type': 'photo', 'original_info': {'width': 2048, 'height': 1073, 'focus_rects': [{'x': 132, 'y': 0, 'h': 1073, 'w': 1916}, {'x': 975, 'y': 0, 'h': 1073, 'w': 1073}, {'x': 1107, 'y': 0, 'h': 1073, 'w': 941}, {'x': 1315, 'y': 0, 'h': 1073, 'w': 537}, {'x': 0, 'y': 0, 'h': 1073, 'w': 2048}]}, 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 2048, 'h': 1073, 'resize': 'fit'}, 'small': {'w': 680, 'h': 356, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 629, 'resize': 'fit'}}, 'features': {'large': {'faces': []}, 'small': {'faces': []}, 'orig': {'faces': []}, 'medium': {'faces': []}}}]}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,3168455894,3168455894,,,,,False,0,3,0,0,1367576871295098882,1367576871295098882,False,False,en,,"{'media': [{'id': 1367576868509999104, 'id_str': '1367576868509999104', 'indices': [109, 132], 'media_url': 'http://pbs.twimg.com/media/Evqb6oqUYAAOyNY.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Evqb6oqUYAAOyNY.jpg', 'url': 'https://t.co/36AzB06zS7', 'display_url': 'pic.twitter.com/36AzB06zS7', 'expanded_url': 'https://twitter.com/lordryanjohnson/status/1367576871295098882/photo/1', 'type': 'photo', 'original_info': {'width': 2048, 'height': 1073, 'focus_rects': [{'x': 132, 'y': 0, 'h': 1073, 'w': 1916}, {'x': 975, 'y': 0, 'h': 1073, 'w': 1073}, {'x': 1107, 'y': 0, 'h': 1073, 'w': 941}, {'x': 1315, 'y': 0, 'h': 1073, 'w': 537}, {'x': 0, 'y': 0, 'h': 1073, 'w': 2048}]}, 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 2048, 'h': 1073, 'resize': 'fit'}, 'small': {'w': 680, 'h': 356, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 629, 'resize': 'fit'}}, 'features': {'large': {'faces': []}, 'small': {'faces': []}, 'orig': {'faces': []}, 'medium': {'faces': []}}, 'media_key': '3_1367576868509999104', 'ext_media_color': {'palette': [{'rgb': {'red': 217, 'green': 188, 'blue': 144}, 'percentage': 98.41}, {'rgb': {'red': 76, 'green': 63, 'blue': 51}, 'percentage': 0.99}, {'rgb': {'red': 143, 'green': 127, 'blue': 119}, 'percentage': 0.58}]}, 'ext_alt_text': None, 'ext_media_availability': {'status': 'available'}, 'ext': {'mediaStats': {'r': 'Missing', 'ttl': -1}}}]}",False,True,,,,,
1366748403716132865,Tue Mar 02 13:53:07 +0000 2021,1366748403716132865,1366748403716132865,@Danuka96 අඩෝ සසිනි උබව මතක් කරා,False,"[10, 32]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Danuka96', 'name': 'Danuka💰🎖️️', 'id': 4056724218, 'id_str': '4056724218', 'indices': [0, 9]}], 'urls': []}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.366747804819878e+18,1366747804819877888,4056724218.0,4056724218,Danuka96,1251532423407403008,1251532423407403008,,,,,False,0,2,1,0,1366747804819877888,1366747804819877888,False,False,si,,,,,,,,,
1350311029662576642,Sat Jan 16 05:16:51 +0000 2021,1350311029662576642,1350311029662576642,@tellmeaboutit30 @pradeeban @Doritos @SKYYVodka @7UP Ow ow machan. 😁😁Once had this parking the car in front of Nuwara Eliya lake in December.... After coming to the room 🤪😜,False,"[53, 172]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'tellmeaboutit30', 'name': 'Janaka', 'id': 1384336298, 'id_str': '1384336298', 'indices': [0, 16]}, {'screen_name': 'pradeeban', 'name': 'Pradeeban', 'id': 26684663, 'id_str': '26684663', 'indices': [17, 27]}, {'screen_name': 'Doritos', 'name': 'Doritos', 'id': 31143489, 'id_str': '31143489', 'indices': [28, 36]}, {'screen_name': 'SKYYVodka', 'name': 'SKYY Vodka', 'id': 74584446, 'id_str': '74584446', 'indices': [37, 47]}, {'screen_name': '7UP', 'name': '7UP', 'id': 259370909, 'id_str': '259370909', 'indices': [48, 52]}], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.3503101610432143e+18,1350310161043214336,1384336298.0,1384336298,tellmeaboutit30,2568259196,2568259196,,,"{'id': '173c2bb9d42baaa5', 'url': 'https://api.twitter.com/1.1/geo/id/173c2bb9d42baaa5.json', 'place_type': 'country', 'name': 'Sri Lanka', 'full_name': 'Sri Lanka', 'country_code': 'LK', 'country': 'Sri Lanka', 'contained_within': [], 'bounding_box': {'type': 'Polygon', 'coordinates': [[[79.6505263, 5.9213829], [81.8787816, 5.9213829], [81.8787816, 9.8359375], [79.6505263, 9.8359375]]]}, 'attributes': {}}",,False,0,1,1,0,1350232700360290307,1350232700360290307,False,False,en,,,,,,,,,
1368130635483598849,Sat Mar 06 09:25:36 +0000 2021,1368130635483598849,1368130635483598849,@ItsmeSuppa අඩෝ 🤣,False,"[12, 17]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'ItsmeSuppa', 'name': 'The Notch', 'id': 3797363534, 'id_str': '3797363534', 'indices': [0, 11]}], 'urls': []}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.3681302552531722e+18,1368130255253172228,3797363534.0,3797363534,ItsmeSuppa,1251532423407403008,1251532423407403008,,,,,False,0,1,1,0,1368093145909522432,1368093145909522432,False,False,si,,,,,,,,,
1367003096581251073,Wed Mar 03 06:45:10 +0000 2021,1367003096581251073,1367003096581251073,@nipuna__d අඩෝ අලුත් නෑදෑයො🌚😂,False,"[11, 29]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'nipuna__d', 'name': 'සැන්ඩි 🍀🦇🇱🇰', 'id': 247162345, 'id_str': '247162345', 'indices': [0, 10]}], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.367002413324931e+18,1367002413324931075,247162345.0,247162345,nipuna__d,1049692331224354816,1049692331224354816,,,,,False,0,2,1,0,1367002413324931075,1367002413324931075,False,False,si,,,,,,,,,
1367416215912648705,Thu Mar 04 10:06:45 +0000 2021,1367416215912648705,1367416215912648705,"@HemalDevinda අඩෝ ඕක සබ්ස්ක්‍රයිබ් කරපන් බන්,
අරුන් අර අඬ අඬා කියන්නේ සබ්ස්ක්‍රයිබ් කරලා බෙල් එක ගහන්න කියලා 🙃🙃🙃",False,"[14, 112]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'HemalDevinda', 'name': 'D E V', 'id': 1354618945999757313, 'id_str': '1354618945999757313', 'indices': [0, 13]}], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.3673030467961037e+18,1367303046796103682,1.3546189459997573e+18,1354618945999757313,HemalDevinda,1187034942384926720,1187034942384926720,,,,,False,0,0,0,0,1367303046796103682,1367303046796103682,False,False,si,,,,,,,,,
1366459833428242434,Mon Mar 01 18:46:26 +0000 2021,1366459833428242434,1366459833428242434,@Iam_paala මැන්ඩලෝරියන් බලනෝ 😁,False,"[11, 30]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Iam_paala', 'name': 'පාල', 'id': 1251532423407403008, 'id_str': '1251532423407403008', 'indices': [0, 10]}], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.366459554104402e+18,1366459554104401920,1.251532423407403e+18,1251532423407403008,Iam_paala,1049692331224354816,1049692331224354816,,,,,False,0,1,1,0,1366458911281143808,1366458911281143808,False,False,si,,,,,,,,,
1363069052713791493,Sat Feb 20 10:12:41 +0000 2021,1363069052713791493,1363069052713791493,"Everyone : අඩෝ උඹ නම් කිසි 
අවුලක් නැතුව ආතල් එකේ ජීවිත 
ගමන යනව නෙහ් ?

මගෙ ජීවිතගමන 😂👇 https://t.co/7gfwsIZmzL",False,"[0, 88]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1363069049773518852, 'id_str': '1363069049773518852', 'indices': [89, 112], 'media_url': 'http://pbs.twimg.com/media/EuqYFDQUcAQZD_V.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EuqYFDQUcAQZD_V.jpg', 'url': 'https://t.co/7gfwsIZmzL', 'display_url': 'pic.twitter.com/7gfwsIZmzL', 'expanded_url': 'https://twitter.com/LadyBossHippo/status/1363069052713791493/photo/1', 'type': 'photo', 'original_info': {'width': 608, 'height': 474, 'focus_rects': [{'x': 0, 'y': 27, 'h': 340, 'w': 608}, {'x': 82, 'y': 0, 'h': 474, 'w': 474}, {'x': 111, 'y': 0, 'h': 474, 'w': 416}, {'x': 201, 'y': 0, 'h': 474, 'w': 237}, {'x': 0, 'y': 0, 'h': 474, 'w': 608}]}, 'sizes': {'medium': {'w': 608, 'h': 474, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 608, 'h': 474, 'resize': 'fit'}, 'large': {'w': 608, 'h': 474, 'resize': 'fit'}}, 'features': {'orig': {'faces': []}, 'medium': {'faces': []}, 'small': {'faces': []}, 'large': {'faces': []}}}]}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,965080511205949440,965080511205949440,,,,,False,12,132,21,1,1363069052713791493,1363069052713791493,False,False,si,,"{'media': [{'id': 1363069049773518852, 'id_str': '1363069049773518852', 'indices': [89, 112], 'media_url': 'http://pbs.twimg.com/media/EuqYFDQUcAQZD_V.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EuqYFDQUcAQZD_V.jpg', 'url': 'https://t.co/7gfwsIZmzL', 'display_url': 'pic.twitter.com/7gfwsIZmzL', 'expanded_url': 'https://twitter.com/LadyBossHippo/status/1363069052713791493/photo/1', 'type': 'photo', 'original_info': {'width': 608, 'height': 474, 'focus_rects': [{'x': 0, 'y': 27, 'h': 340, 'w': 608}, {'x': 82, 'y': 0, 'h': 474, 'w': 474}, {'x': 111, 'y': 0, 'h': 474, 'w': 416}, {'x': 201, 'y': 0, 'h': 474, 'w': 237}, {'x': 0, 'y': 0, 'h': 474, 'w': 608}]}, 'sizes': {'medium': {'w': 608, 'h': 474, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 608, 'h': 474, 'resize': 'fit'}, 'large': {'w': 608, 'h': 474, 'resize': 'fit'}}, 'features': {'orig': {'faces': []}, 'medium': {'faces': []}, 'small': {'faces': []}, 'large': {'faces': []}}, 'media_key': '3_1363069049773518852', 'ext_media_color': {'palette': [{'rgb': {'red': 61, 'green': 55, 'blue': 64}, 'percentage': 48.48}, {'rgb': {'red': 166, 'green': 164, 'blue': 174}, 'percentage': 21.05}, {'rgb': {'red': 110, 'green': 131, 'blue': 99}, 'percentage': 6.91}, {'rgb': {'red': 71, 'green': 67, 'blue': 101}, 'percentage': 5.4}, {'rgb': {'red': 131, 'green': 148, 'blue': 192}, 'percentage': 3.49}]}, 'ext_alt_text': None, 'ext_media_availability': {'status': 'available'}, 'ext': {'mediaStats': {'r': 'Missing', 'ttl': -1}}}]}",False,True,,,,,
1366373500068319232,Mon Mar 01 13:03:23 +0000 2021,1366373500068319232,1366373500068319232,@bebaalka @SamadhiDilruks2 අඩෝ සිරාවට😂😂,False,"[27, 39]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'bebaalka', 'name': 'B E B A A', 'id': 1049692331224354816, 'id_str': '1049692331224354816', 'indices': [0, 9]}, {'screen_name': 'SamadhiDilruks2', 'name': 'නර්ස් නෝනා💉', 'id': 1295998676238647296, 'id_str': '1295998676238647296', 'indices': [10, 26]}], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.366022678696534e+18,1366022678696534019,1.0496923312243548e+18,1049692331224354816,bebaalka,1230303531317501952,1230303531317501952,,,,,False,0,1,1,0,1366022678696534019,1366022678696534019,False,False,si,,,,,,,,,
