,created_at,id,id_str,full_text,truncated,display_text_range,entities,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,user_id,user_id_str,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,reply_count,quote_count,conversation_id,conversation_id_str,favorited,retweeted,lang,supplemental_language,possibly_sensitive,possibly_sensitive_editable,quoted_status_id,quoted_status_id_str,quoted_status_permalink,self_thread,extended_entities
293739868608147458,Tue Jan 22 15:20:16 +0000 2013,293739868608147458,293739868608147458,"පුංචි පවුල රත්තරන්? බැල්ලි, කරුණාකරළ.",False,"[0, 37]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","<a href=""https://dabr.co.uk"" rel=""nofollow"">Dabr</a>",,,,,,31069427,31069427,,,,,False,4,3,0,0,293739868608147458,293739868608147458,False,False,si,,,,,,,,
1202023525994967040,Wed Dec 04 00:35:15 +0000 2019,1202023525994967040,1202023525994967040,@lankacnews අනේ ඔය බැල්ලි නිට්ටබුව පාර හදද්දි තප්පය කැඩුනා කියලා වන්දි ගත්තා පාරට දිපු ඉඩම් වලින් දැනට වැඩිම වටිනාකමක් ගත්තේ ඔය බැල්ලි,False,"[12, 134]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'lankacnews', 'name': 'lanka C news', 'id': 230640891, 'id_str': '230640891', 'indices': [0, 11]}], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.2017309210842276e+18,1201730921084227584,230640891.0,230640891,lankacnews,1196038951003230209,1196038951003230209,,,,,False,0,0,0,0,1201730921084227584,1201730921084227584,False,False,si,,,,,,,,
1323289468783218690,Mon Nov 02 15:42:49 +0000 2020,1323289468783218690,1323289468783218690,"සොන්ගුල් මෙරාල්ගේ කනට ගහපු එක හොදයි.

මෙරාල් කලේ අහස පොළව නුහුලන අපරාදයක්..පරට්ට බැල්ලි.. 

ලැජ්ජ නැතිකම තමා  ඉතින්...ගෑනුනේ 😖",False,"[0, 126]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,3089536357,3089536357,,,,,False,0,9,1,1,1323289468783218690,1323289468783218690,False,False,si,,,,,,,,
570783589702492161,Thu Feb 26 03:13:07 +0000 2015,570783589702492161,570783589702492161,"&lt;fg=b0bf00ff&gt;ගෑණි :- අනේ බලන්නකෝ අපේ පුතා අද මට බැල්ලි කියල කිව්වනේ
&lt;fg=b06f00ff&gt;මිනිහා :- ආ..ඔයා ඒක ගණන් ගන්න... http://t.co/Hg75qhQHxT",False,"[0, 148]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'http://t.co/Hg75qhQHxT', 'expanded_url': 'http://fb.me/4u80hNOJG', 'display_url': 'fb.me/4u80hNOJG', 'indices': [126, 148]}]}","<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>",,,,,,2552695412,2552695412,,,,,False,0,0,0,0,570783589702492161,570783589702492161,False,False,si,,False,True,,,,,
154984096592953344,Thu Jan 05 17:54:22 +0000 2012,154984096592953344,154984096592953344,@PhuckYou_ බැල්ලි :P,False,"[0, 20]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'PhuckYou_', 'name': 'Sav', 'id': 212221864, 'id_str': '212221864', 'indices': [0, 10]}], 'urls': []}","<a href=""https://chrome.google.com/extensions/detail/encaiiljifbdbjlphpgpiimidegddhic"" rel=""nofollow"">Silver Bird</a>",1.5498377345120666e+17,154983773451206656,212221864.0,212221864,PhuckYou_,71809949,71809949,,,,,False,0,0,1,0,154983773451206656,154983773451206656,False,False,si,,,,,,,,
1308628330233491457,Wed Sep 23 04:44:41 +0000 2020,1308628330233491457,1308628330233491457,@Nikshazz අපේ කාඩිනල් හිමි පානන්ට මගේ ජේසුට අපහස කරන්න එපා කැරි හුත්ති බැල්ලි පට්ට වෙසියේ. හෙන ගහපිය.,False,"[10, 101]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Nikshazz', 'name': 'Shanika Somatilake', 'id': 873393660833837057, 'id_str': '873393660833837057', 'indices': [0, 9]}], 'urls': []}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.3086026952891965e+18,1308602695289196544,8.73393660833837e+17,873393660833837057,Nikshazz,1253289109147156480,1253289109147156480,,,,,False,0,0,0,0,1308602695289196544,1308602695289196544,False,False,si,,,,,,,,
1156087909436366848,Tue Jul 30 06:23:31 +0000 2019,1156087909436366848,1156087909436366848,"අපේ අම්මා - චතූ, කඩේ යවාගන්න ඕන්නම් ආච්චියේ
තාත්තා- චූටිකුකූ
හස්බන්ඩා- ගෝප්ස්, අක්කෙ, නැන්දේ තංගච්චි 
එයාගෙ අම්ම- බබා
මම්ම- චූටි බබ
ලොකු මාමා- සුදු හාමිනෙ.😍",False,"[0, 156]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,982608810928844801,982608810928844801,,,,,True,0,10,0,1,1156087909436366848,1156087909436366848,False,False,si,,,,1.1558678526094746e+18,1155867852609474560,"{'url': 'https://t.co/Bn0zjrBiVx', 'expanded': 'https://twitter.com/Navo_D/status/1155867852609474560', 'display': 'twitter.com/Navo_D/status/…'}",,
1259732812598513671,Mon May 11 06:31:21 +0000 2020,1259732812598513671,1259732812598513671,@Hkrish92 ඔව් බැල්ලි පිට යනවද නැද්ද කියලා අවදානයෙන් ඉන්නවාට වඩා ලෙහෙසියි නේද වද සැත්කම.,False,"[10, 87]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Hkrish92', 'name': 'Mahesh®️', 'id': 4358023575, 'id_str': '4358023575', 'indices': [0, 9]}], 'urls': []}","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.2596758397104579e+18,1259675839710457856,4358023575.0,4358023575,Hkrish92,150624162,150624162,,,,,False,0,6,1,0,1259675839710457856,1259675839710457856,False,False,si,,,,,,,,
699083750110470144,Mon Feb 15 04:12:09 +0000 2016,699083750110470144,699083750110470144,@erangatennakoon didn't get you.. @kazZtr_,False,"[0, 42]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'erangatennakoon', 'name': 'eranga tennakoon', 'id': 213306799, 'id_str': '213306799', 'indices': [0, 16]}, {'screen_name': 'kazZtr_', 'name': 'kasun', 'id': 195013676, 'id_str': '195013676', 'indices': [34, 42]}], 'urls': []}","<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>",6.990831351752335e+17,699083135175233536,213306799.0,213306799,erangatennakoon,100980318,100980318,,,,,False,0,0,1,0,699041807171219456,699041807171219456,False,False,en,,,,,,,,
731652118478610432,Sun May 15 01:07:13 +0000 2016,731652118478610432,731652118478610432,@DeVindula පට්ට බැල්ලි..,False,"[11, 24]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",7.313476178760376e+17,731347617876037633,2990685931.0,2990685931,Buri_Bunis,150624162,150624162,,,,,False,0,1,1,0,731347617876037633,731347617876037633,False,False,si,,,,,,,,
1124135908184166400,Fri May 03 02:17:40 +0000 2019,1124135908184166400,1124135908184166400,"දෙසිකා අක්කාගෙ බැල්ලි නම් හා
@Wind_Desika",False,"[0, 41]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Wind_Desika', 'name': 'WinD', 'id': 2533578847, 'id_str': '2533578847', 'indices': [29, 41]}], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,902818658757386241,902818658757386241,,,,,True,0,10,1,0,1124135908184166400,1124135908184166400,False,False,si,,,,1.1236178762488054e+18,1123617876248805376,"{'url': 'https://t.co/ssQEzRH0Fn', 'expanded': 'https://twitter.com/Sanju_Live/status/1123617876248805376', 'display': 'twitter.com/Sanju_Live/sta…'}",,
834354812401700865,Wed Feb 22 10:51:03 +0000 2017,834354812401700865,834354812401700865,Lokuma bitch thamai Dhanya 😩😩 මහ බැල්ලි 🐶🐕,False,"[0, 42]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,727767441892315137,727767441892315137,,,,,False,0,1,2,0,834354812401700865,834354812401700865,False,False,et,,,,,,,,
