,created_at,id,id_str,full_text,truncated,display_text_range,entities,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,user_id,user_id_str,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,reply_count,quote_count,conversation_id,conversation_id_str,favorited,retweeted,lang,supplemental_language,possibly_sensitive,possibly_sensitive_editable,card,extended_entities,quoted_status_id,quoted_status_id_str,quoted_status_permalink,self_thread
1206751608392093696,Tue Dec 17 01:42:58 +0000 2019,1206751608392093696,1206751608392093696,"#අදටඅවුරුද්දයි 💔

❣️
#වේසියකට_පෙම්_කළෙමි",False,"[0, 40]","{'hashtags': [{'text': 'අදටඅවුරුද්දයි', 'indices': [0, 14]}, {'text': 'වේසියකට_පෙම්_කළෙමි', 'indices': [21, 40]}], 'symbols': [], 'user_mentions': [], 'urls': []}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,1117021610618310656,1117021610618310656,,,,,False,0,45,9,3,1206751608392093696,1206751608392093696,False,False,und,,,,,,,,,
1232151577907146754,Tue Feb 25 03:53:23 +0000 2020,1232151577907146754,1232151577907146754,@romi_himansh @daughterislife තමන් ආදරේ කරපු කෙල්ලට බඩ්ඩ/ වේසි කියනව කියන්නෙ එතන උගේ ෂෝට් එකක් තියෙන්න බැරිද? කොච්චර වැරදි තිබ්බත් කොච්චර වටේ ගියත් තමන් කාලයක් ලවු කරපු කෙල්ලනෙ,False,"[30, 176]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'romi_himansh', 'name': 'Hiruna ❤️👀', 'id': 905465413919686656, 'id_str': '905465413919686656', 'indices': [0, 13]}, {'screen_name': 'daughterislife', 'name': 'මාෂි 🎀🇱🇰', 'id': 2380919498, 'id_str': '2380919498', 'indices': [14, 29]}], 'urls': []}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2321332374068716e+18,1232133237406871553,9.054654139196867e+17,905465413919686656,romi_himansh,2991695292,2991695292,,,,,False,0,1,1,0,1232131119249854464,1232131119249854464,False,False,si,,,,,,,,,
783059600706646016,Mon Oct 03 21:42:12 +0000 2016,783059600706646016,783059600706646016,චන්ද්‍රිකා බලු වේසි තම වයිරී ගූ හිල නැවත අරී https://t.co/iEbYKlFPAK via @YouTube,False,"[0, 81]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'YouTube', 'name': 'YouTube', 'id': 10228272, 'id_str': '10228272', 'indices': [73, 81]}], 'urls': [{'url': 'https://t.co/iEbYKlFPAK', 'expanded_url': 'https://youtu.be/ZpVt9nH7c0k', 'display_url': 'youtu.be/ZpVt9nH7c0k', 'indices': [45, 68]}]}","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",,,,,,3647359460,3647359460,,,,,False,0,0,0,0,783059600706646016,783059600706646016,False,False,si,,False,True,,,,,,
1268426316358881284,Thu Jun 04 06:16:14 +0000 2020,1268426316358881284,1268426316358881284,ඇස් වහගෙන ටයිටැනික් බලපු එකී සප්ත කන්‍යාව වෙලා සනී ලියෝන් ගැන එළි පිට කතා කරපු එකී වේසි වුණේ කොහොමද..,False,"[0, 101]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,450601726,450601726,,,,,False,0,3,0,0,1268426316358881284,1268426316358881284,False,False,si,,,,,,,,,
1086536656843268096,Sat Jan 19 08:11:40 +0000 2019,1086536656843268096,1086536656843268096,@defyixviiithara මොන මුලක්ද??  පැනී මුලක්ද🤭🤭,False,"[17, 44]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'defyixviiithara', 'name': 'deffy:', 'id': 3334390273, 'id_str': '3334390273', 'indices': [0, 16]}], 'urls': []}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.0865365035540603e+18,1086536503554060289,3334390273.0,3334390273,defyixviiithara,872998596936962050,872998596936962050,,,,,False,0,0,1,0,1086533362448134144,1086533362448134144,False,False,si,,,,,,,,,
1157210087938650112,Fri Aug 02 08:42:39 +0000 2019,1157210087938650112,1157210087938650112,@gajaman_nona ගොං වේසියෙ ඔය සංශෝධනය ආවෙ 1990 ගණං වල. දන්න දෙයක් කියවපන් පට්ට වේසි,False,"[14, 81]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'gajaman_nona', 'name': 'ගජමන් නෝනා', 'id': 70704329, 'id_str': '70704329', 'indices': [0, 13]}], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.1556926987344855e+18,1155692698734485504,70704329.0,70704329,gajaman_nona,1157199065139933184,1157199065139933184,,,,,False,0,0,0,0,1155692698734485504,1155692698734485504,False,False,si,,,,,,,,,
1264018739047038980,Sat May 23 02:22:06 +0000 2020,1264018739047038980,1264018739047038980,"අපේ සාහිත්‍යයේ එන හැටිය ට වෙසඟන ගේ පියයුරු වල හැපී එන සුළඟ ද සුභ නිමිත්තකි. වෙසඟන ගැන එහෙම කිව්වත් වේසි ගැන තත්ත්වය මෙයට වඩා වෙනස් ය. 

“ලෝකාස්වාදිකාවෝ වනාහි…,”
https://t.co/DI0hLSntI7",False,"[0, 184]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/DI0hLSntI7', 'expanded_url': 'https://link.medium.com/eSOYutr7H6', 'display_url': 'link.medium.com/eSOYutr7H6', 'indices': [161, 184]}]}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,36591833,36591833,,,,,False,8,34,0,0,1264018739047038980,1264018739047038980,False,False,si,,False,True,"{'name': 'summary', 'url': 'https://t.co/DI0hLSntI7', 'card_type_url': 'http://card-type-url-is-deprecated.invalid', 'binding_values': {'vanity_url': {'type': 'STRING', 'string_value': 'link.medium.com', 'scribe_key': 'vanity_url'}, 'app_is_free': {'type': 'STRING', 'string_value': 'true'}, 'app_price_currency': {'type': 'STRING', 'string_value': 'USD'}, 'app_price_amount': {'type': 'STRING', 'string_value': '0.0'}, 'domain': {'type': 'STRING', 'string_value': 'link.medium.com'}, 'app_num_ratings': {'type': 'STRING', 'string_value': '88,042'}, 'app_star_rating': {'type': 'STRING', 'string_value': '4.8224'}, 'app_name': {'type': 'STRING', 'string_value': 'Medium'}, 'title': {'type': 'STRING', 'string_value': 'Lishan Puwakovita – Medium'}, 'description': {'type': 'STRING', 'string_value': 'Read writing from Lishan Puwakovita on Medium. Designer | Avid traveler | Occasional writer. Every day, Lishan Puwakovita and thousands of other voices read, write, and share important stories on...'}, 'card_url': {'type': 'STRING', 'string_value': 'https://t.co/DI0hLSntI7', 'scribe_key': 'card_url'}}, 'card_platform': {'platform': {'device': {'name': 'Swift', 'version': '12'}, 'audience': {'name': 'production', 'bucket': None}}}}",,,,,
1295208942205718535,Mon Aug 17 04:00:50 +0000 2020,1295208942205718535,1295208942205718535,@maashi_piries බෞකන වේසි😂🖐️💔,False,"[15, 28]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'maashi_piries', 'name': 'දං චූටී maashi ©️ 😜', 'id': 1129431111719825410, 'id_str': '1129431111719825410', 'indices': [0, 14]}], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.2944837939238543e+18,1294483793923854336,1.1294311117198254e+18,1129431111719825410,maashi_piries,1285169374933004288,1285169374933004288,,,,,False,0,0,0,0,1294483793923854336,1294483793923854336,False,False,si,,,,,,,,,
1360136431704756224,Fri Feb 12 07:59:30 +0000 2021,1360136431704756224,1360136431704756224,@imNaviya ඒ ආක්ශා හුත්තෝ,False,"[10, 24]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'imNaviya', 'name': '• NaVe∃n MaYanThA🇱🇰 🇬🇧', 'id': 3089536357, 'id_str': '3089536357', 'indices': [0, 9]}], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.3601323451608883e+18,1360132345160888321,3089536357.0,3089536357,imNaviya,707102986049347584,707102986049347584,,,,,False,0,1,1,0,1359882739348951045,1359882739348951045,False,False,si,,,,,,,,,
414575730714886144,Sun Dec 22 01:58:51 +0000 2013,414575730714886144,414575730714886144,"W3Lanka: ගීතා කුමාරසිංහ, මේජර් අජිත්, වේසි, පොන්නයා හා ස්ත්‍රීවාදිනිය... http://t.co/CYKIRh9yXZ",False,"[0, 95]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'http://t.co/CYKIRh9yXZ', 'expanded_url': 'http://www.w3lanka.com/2013/12/blog-post_22.html?spref=tw', 'display_url': 'w3lanka.com/2013/12/blog-p…', 'indices': [73, 95]}]}","<a href=""https://dev.twitter.com/docs/tfw"" rel=""nofollow"">Twitter for Websites</a>",,,,,,780211700,780211700,,,,,False,0,0,0,0,414575730714886144,414575730714886144,False,False,si,,False,True,,,,,,
