,created_at,id,id_str,full_text,truncated,display_text_range,entities,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,user_id,user_id_str,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,reply_count,quote_count,conversation_id,conversation_id_str,favorited,retweeted,lang,supplemental_language,extended_entities,possibly_sensitive,possibly_sensitive_editable,conversation_control,limited_actions,self_thread,quoted_status_id,quoted_status_id_str,quoted_status_permalink,card
1273585020691550208,Thu Jun 18 11:55:05 +0000 2020,1273585020691550208,1273585020691550208,@Chandu_original @GaurawaLakshan කවුද මෙතනින් කැරියා,False,"[33, 52]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Chandu_original', 'name': '🅒🅗🅐🅝🅓🅤ᵅ💫', 'id': 1181169304877879297, 'id_str': '1181169304877879297', 'indices': [0, 16]}, {'screen_name': 'GaurawaLakshan', 'name': 'Mr.Gauwa | 🇱🇰', 'id': 1217387594415296513, 'id_str': '1217387594415296513', 'indices': [17, 32]}], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.2735693644035195e+18,1273569364403519488,1.1811693048778793e+18,1181169304877879297,Chandu_original,1057885194630311936,1057885194630311936,,,,,False,0,0,1,0,1273519865324658688,1273519865324658688,False,False,si,,,,,,,,,,,
1136243458233032704,Wed Jun 05 12:08:45 +0000 2019,1136243458233032704,1136243458233032704,@MangalaLK කැරියා දෙහිවල පැත්තේ වරෙන්කෝ....... බල්ලොන්ට කියවලා පුකේ අරින්නේ,False,"[11, 75]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'MangalaLK', 'name': 'Mangala Samaraweera', 'id': 3032260688, 'id_str': '3032260688', 'indices': [0, 10]}], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.1362416780486697e+18,1136241678048669696,3032260688.0,3032260688,MangalaLK,817375090610315265,817375090610315265,,,,,False,0,9,0,0,1136241678048669696,1136241678048669696,False,False,si,,,,,,,,,,,
1249416230378688517,Sun Apr 12 19:16:57 +0000 2020,1249416230378688517,1249416230378688517,දෙනෝ දාහන් දෙනා හදන පෝස්ට් දාන එක හොදයි මං දැම්මම තමයි හෙලාදකින්නෙ 😂 බෞකාපන් හුත්තො 🤣,False,"[0, 85]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,4691793109,4691793109,,,,,False,1,33,3,0,1249416230378688517,1249416230378688517,False,False,si,,,,,,,,,,,
1247934107969036289,Wed Apr 08 17:07:31 +0000 2020,1247934107969036289,1247934107969036289,"කියන්න දෙයක් තියෙනවනම් මූනට කියපන් හුත්තෝ. බොරැ කේලම් වලට මල්ජංගි ඇදගෙන ලිං කටවල් ගානෙ අනුන්ගෙ රෙදි අපුල්ලන්නෙපා පොන්න කැරියා

#පකේපිරිමි",False,"[0, 137]","{'hashtags': [{'text': 'පකේපිරිමි', 'indices': [127, 137]}], 'symbols': [], 'user_mentions': [], 'urls': []}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,1510693087,1510693087,,,,,False,0,11,2,0,1247934107969036289,1247934107969036289,False,False,si,,,,,,,,,,,
1238810358300569604,Sat Mar 14 12:53:00 +0000 2020,1238810358300569604,1238810358300569604,@ImrazAJ @Chandu_original චන්දු හෙන කැරියා. ඔකා බර්ත්ඩෙෙක බොරුවක් දාලනෙ ටෞකන්ඩ. . ඔකාගෙ බර්ත්ඩෙෙක අද.,False,"[26, 101]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'ImrazAJ', 'name': 'Imraz Azeez 🇱🇰', 'id': 3033137011, 'id_str': '3033137011', 'indices': [0, 8]}, {'screen_name': 'Chandu_original', 'name': '🅒🅗🅐🅝🅓🅤ᵅ💫', 'id': 1181169304877879297, 'id_str': '1181169304877879297', 'indices': [9, 25]}], 'urls': []}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2388084199826883e+18,1238808419982688256,3033137011.0,3033137011,ImrazAJ,862693278356865025,862693278356865025,,,"{'id': '173c2bb9d42baaa5', 'url': 'https://api.twitter.com/1.1/geo/id/173c2bb9d42baaa5.json', 'place_type': 'country', 'name': 'Sri Lanka', 'full_name': 'Sri Lanka', 'country_code': 'LK', 'country': 'Sri Lanka', 'contained_within': [], 'bounding_box': {'type': 'Polygon', 'coordinates': [[[79.6505263, 5.9213829], [81.8787816, 5.9213829], [81.8787816, 9.8359375], [79.6505263, 9.8359375]]]}, 'attributes': {}}",,False,0,4,2,0,1238807948761038848,1238807948761038848,False,False,si,,,,,,,,,,,
1232949249496801280,Thu Feb 27 08:43:02 +0000 2020,1232949249496801280,1232949249496801280,Give me a cute NickName 😌,False,"[0, 25]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,4191134834,4191134834,,,,,False,0,55,20,3,1232949249496801280,1232949249496801280,False,False,en,,,,,,,,,,,
1085583381125984256,Wed Jan 16 17:03:41 +0000 2019,1085583381125984256,1085583381125984256,"ඔය වලියක් ගියාම මං තමයි කැරියා කියන උන් ඉන්නව නේද
ඕකුන් තමයි වලිය පටන් ගන්නත් කලින් කිලෝමීටර් ගාණක් එහාට දුවලත් කලිසම තෙමාගන්නේ :3",False,"[0, 130]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,2991695292,2991695292,,,,,False,1,7,0,0,1085583381125984256,1085583381125984256,False,False,si,,,,,,,,,,,
1280541192053129217,Tue Jul 07 16:36:26 +0000 2020,1280541192053129217,1280541192053129217,@maalupaan අන්න එහෙම එන්න.පොඩි කැරියා දුවපං,False,"[11, 43]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'maalupaan', 'name': 'Jerry 🇱🇰', 'id': 4632654077, 'id_str': '4632654077', 'indices': [0, 10]}], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.28054095348949e+18,1280540953489489921,4632654077.0,4632654077,maalupaan,721058516958519297,721058516958519297,,,,,False,0,0,0,0,1280529165045788674,1280529165045788674,False,False,si,,,,,,,,,,,
1294612769711378438,Sat Aug 15 12:31:51 +0000 2020,1294612769711378438,1294612769711378438,@MahelaJay නියම නිහතමානි කම. මූට මල් චීත්තයක් පේන්න බෑ. අපි ඉල්ලුවට එවා පේන්නේ නෑ. මෝඩ කැරියා.,False,"[11, 94]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'MahelaJay', 'name': 'Mahela Jayawardena', 'id': 350334760, 'id_str': '350334760', 'indices': [0, 10]}], 'urls': []}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.293378287469699e+18,1293378287469699073,350334760.0,350334760,MahelaJay,1291624773676539904,1291624773676539904,,,,,False,0,0,0,0,1293378287469699073,1293378287469699073,False,False,si,,,,,,,,,,,
913464202378977280,Thu Sep 28 18:03:31 +0000 2017,913464202378977280,913464202378977280,"Spielberg අමු කැරියා 😋💪 — watching Jurassic Park, The Lost World",False,"[0, 64]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>",,,,,,3186309132,3186309132,,,,,False,0,0,0,0,913464202378977280,913464202378977280,False,False,en,,,,,,,,,,,
