,created_at,id,id_str,full_text,truncated,display_text_range,entities,extended_entities,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,user_id,user_id_str,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,reply_count,quote_count,conversation_id,conversation_id_str,favorited,retweeted,possibly_sensitive,possibly_sensitive_editable,lang,supplemental_language,quoted_status_id,quoted_status_id_str,quoted_status_permalink,self_thread,card
1393067611202588680,Fri May 14 04:56:15 +0000 2021,1393067611202588680,1393067611202588680,"පොඩි එකා උදේ එලියට ගිහින් කෑ ගහනවා..
""අම්මා මේං සීය දඹල ගහ සුන්කොරල.. ඒක වැටිලා"" https://t.co/EQVdhbDdMU",False,"[0, 80]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1393067601551499266, 'id_str': '1393067601551499266', 'indices': [81, 104], 'media_url': 'http://pbs.twimg.com/media/E1UrmlKVIAI3acy.jpg', 'media_url_https': 'https://pbs.twimg.com/media/E1UrmlKVIAI3acy.jpg', 'url': 'https://t.co/EQVdhbDdMU', 'display_url': 'pic.twitter.com/EQVdhbDdMU', 'expanded_url': 'https://twitter.com/indika27/status/1393067611202588680/photo/1', 'type': 'photo', 'original_info': {'width': 1536, 'height': 2048, 'focus_rects': [{'x': 0, 'y': 440, 'h': 860, 'w': 1536}, {'x': 0, 'y': 102, 'h': 1536, 'w': 1536}, {'x': 0, 'y': 0, 'h': 1751, 'w': 1536}, {'x': 512, 'y': 0, 'h': 2048, 'w': 1024}, {'x': 0, 'y': 0, 'h': 2048, 'w': 1536}]}, 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 900, 'h': 1200, 'resize': 'fit'}, 'large': {'w': 1536, 'h': 2048, 'resize': 'fit'}, 'small': {'w': 510, 'h': 680, 'resize': 'fit'}}, 'features': {'orig': {'faces': [{'x': 498, 'y': 668, 'h': 218, 'w': 218}]}, 'medium': {'faces': [{'x': 291, 'y': 391, 'h': 127, 'w': 127}]}, 'large': {'faces': [{'x': 498, 'y': 668, 'h': 218, 'w': 218}]}, 'small': {'faces': [{'x': 165, 'y': 221, 'h': 72, 'w': 72}]}}}]}","{'media': [{'id': 1393067601551499266, 'id_str': '1393067601551499266', 'indices': [81, 104], 'media_url': 'http://pbs.twimg.com/media/E1UrmlKVIAI3acy.jpg', 'media_url_https': 'https://pbs.twimg.com/media/E1UrmlKVIAI3acy.jpg', 'url': 'https://t.co/EQVdhbDdMU', 'display_url': 'pic.twitter.com/EQVdhbDdMU', 'expanded_url': 'https://twitter.com/indika27/status/1393067611202588680/photo/1', 'type': 'photo', 'original_info': {'width': 1536, 'height': 2048, 'focus_rects': [{'x': 0, 'y': 440, 'h': 860, 'w': 1536}, {'x': 0, 'y': 102, 'h': 1536, 'w': 1536}, {'x': 0, 'y': 0, 'h': 1751, 'w': 1536}, {'x': 512, 'y': 0, 'h': 2048, 'w': 1024}, {'x': 0, 'y': 0, 'h': 2048, 'w': 1536}]}, 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 900, 'h': 1200, 'resize': 'fit'}, 'large': {'w': 1536, 'h': 2048, 'resize': 'fit'}, 'small': {'w': 510, 'h': 680, 'resize': 'fit'}}, 'features': {'orig': {'faces': [{'x': 498, 'y': 668, 'h': 218, 'w': 218}]}, 'medium': {'faces': [{'x': 291, 'y': 391, 'h': 127, 'w': 127}]}, 'large': {'faces': [{'x': 498, 'y': 668, 'h': 218, 'w': 218}]}, 'small': {'faces': [{'x': 165, 'y': 221, 'h': 72, 'w': 72}]}}, 'media_key': '3_1393067601551499266', 'ext_alt_text': None, 'ext_media_color': {'palette': [{'rgb': {'red': 67, 'green': 86, 'blue': 46}, 'percentage': 36.5}, {'rgb': {'red': 115, 'green': 101, 'blue': 92}, 'percentage': 22.26}, {'rgb': {'red': 155, 'green': 157, 'blue': 147}, 'percentage': 11.03}, {'rgb': {'red': 90, 'green': 125, 'blue': 40}, 'percentage': 7.54}, {'rgb': {'red': 54, 'green': 59, 'blue': 47}, 'percentage': 4.2}]}, 'ext_media_availability': {'status': 'available'}, 'ext': {'mediaStats': {'r': 'Missing', 'ttl': -1}}}]}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,150624162,150624162,,,"{'id': '07d9ec686ec87000', 'url': 'https://api.twitter.com/1.1/geo/id/07d9ec686ec87000.json', 'place_type': 'poi', 'name': 'Buckingham Place', 'full_name': 'Buckingham Place', 'country_code': 'LK', 'country': 'Sri Lanka', 'contained_within': [], 'bounding_box': {'type': 'Polygon', 'coordinates': [[[80.85510630409615, 6.0471824790289395], [80.85510630409615, 6.0471824790289395], [80.85510630409615, 6.0471824790289395], [80.85510630409615, 6.0471824790289395]]]}, 'attributes': {}}",,False,0,31,1,0,1393067611202588680,1393067611202588680,False,False,False,True,si,,,,,,
1393573656979144709,Sat May 15 14:27:05 +0000 2021,1393573656979144709,1393573656979144709,"කවුරුත් උගන්නලා නෙමෙයි , බබා මට කියන්නේ අම්මියා කියලා. පුදුම විදියට ආදරණීයයි ❤️",False,"[0, 79]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,3266860562,3266860562,,,"{'id': 'b28838c9654b8c4a', 'url': 'https://api.twitter.com/1.1/geo/id/b28838c9654b8c4a.json', 'place_type': 'city', 'name': 'Joso-shi', 'full_name': 'Joso-shi, Ibaraki', 'country_code': 'JP', 'country': 'Japan', 'contained_within': [], 'bounding_box': {'type': 'Polygon', 'coordinates': [[[139.8939, 35.968713], [140.029052, 35.968713], [140.029052, 36.146776], [139.8939, 36.146776]]]}, 'attributes': {}}",,False,0,9,2,0,1393573656979144709,1393573656979144709,False,False,,,si,,,,,,
1394588495063126018,Tue May 18 09:39:42 +0000 2021,1394588495063126018,1394588495063126018,"පොඩි උන් ෆෝන්ට තඩියක් අරන් දීලා ඒකෙන් ෆේස්බුක් යන එක, පබ්ජී ගහන එක, කම්පියුටර් එක දාන් වැල බල බල ගේම් ගහන එක දිහා බලලා මහ ගෑණු කියන්නෙ...

""අනේ බලන්න අනේ, එයා දන්න දේවල්... ෆෝන් එකෙන් කරන වැඩ, ඉන්ටනෙට් එකේමයි එයා. ලෝකෙම දේවල් එයා දන්නවනෙ. එයා මාර ස්මාට්...""

😂😂😂",False,"[0, 262]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,178606641,178606641,,,,,True,10,40,6,2,1394588495063126018,1394588495063126018,False,False,,,si,,1.3945867182888387e+18,1394586718288838661,"{'url': 'https://t.co/WsdVqBflQx', 'expanded': 'https://twitter.com/thegallerybitch/status/1394586718288838661', 'display': 'twitter.com/thegallerybitc…'}",,
1395367806028312577,Thu May 20 13:16:24 +0000 2021,1395367806028312577,1395367806028312577,@SKathriarachc @praveen071_ @imKawshalya @Sanjivakkuk @DevinSirinama @TLkshan @SanjeewaniRath2 @unknown_lankan @RakzzMaduOnline @daughterislife @YohanClifford @Sp08775973 @madushi_pavi @SKathriarachc ඔව් නංගි අපි පුළුවන් විදියට වැඩ කරගෙන ඉන්නවා... 💓🌸👍,False,"[185, 251]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'SKathriarachc', 'name': '💙\U0001f9da නිෂාදි \U0001f9da💙🇱🇰', 'id': 4695571118, 'id_str': '4695571118', 'indices': [0, 14]}, {'screen_name': 'praveen071_', 'name': 'Praveen Samarajeewa', 'id': 447692680, 'id_str': '447692680', 'indices': [15, 27]}, {'screen_name': 'imKawshalya', 'name': 'кαωѕнαℓуα ρєяєяα', 'id': 1136812725638615040, 'id_str': '1136812725638615040', 'indices': [28, 40]}, {'screen_name': 'Sanjivakkuk', 'name': 'Sanjeewa | Sanju', 'id': 1312290377685229569, 'id_str': '1312290377685229569', 'indices': [41, 53]}, {'screen_name': 'DevinSirinama', 'name': 'D E V I N', 'id': 68113514, 'id_str': '68113514', 'indices': [54, 68]}, {'screen_name': 'TLkshan', 'name': '@Tharanga Lakshan', 'id': 1243441032655593472, 'id_str': '1243441032655593472', 'indices': [69, 77]}, {'screen_name': 'SanjeewaniRath2', 'name': 'Sanjeewani Rathnayake', 'id': 940792606052765697, 'id_str': '940792606052765697', 'indices': [78, 94]}, {'screen_name': 'unknown_lankan', 'name': 'ස්ලොතා \U0001f9a5', 'id': 3591912206, 'id_str': '3591912206', 'indices': [95, 110]}, {'screen_name': 'RakzzMaduOnline', 'name': '🐾️Baby Koala 🖤🐨🐾️ 💤', 'id': 1014093357318934529, 'id_str': '1014093357318934529', 'indices': [111, 127]}, {'screen_name': 'daughterislife', 'name': 'මාෂි 🎀🇱🇰', 'id': 2380919498, 'id_str': '2380919498', 'indices': [128, 143]}, {'screen_name': 'YohanClifford', 'name': 'ﾘのんﾑ刀 ᄃﾚﾉｷｷの尺り 丂ｱﾑ尺ズｲの刀 ᄃﾑﾶ乇尺の刀', 'id': 129547277, 'id_str': '129547277', 'indices': [144, 158]}, {'screen_name': 'Sp08775973', 'name': '💖🌻SP🌻💖🇱🇰', 'id': 1331445758998941698, 'id_str': '1331445758998941698', 'indices': [159, 170]}, {'screen_name': 'madushi_pavi', 'name': '🍥මාශ්මෙලෝස්🍥', 'id': 697353419720241152, 'id_str': '697353419720241152', 'indices': [171, 184]}, {'screen_name': 'SKathriarachc', 'name': '💙\U0001f9da නිෂාදි \U0001f9da💙🇱🇰', 'id': 4695571118, 'id_str': '4695571118', 'indices': [185, 199]}], 'urls': []}",,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.3953671213961912e+18,1395367121396191239,4695571118.0,4695571118,SKathriarachc,3405656644,3405656644,,,,,False,0,5,2,0,1395147836791037952,1395147836791037952,False,False,,,si,,,,,,
1394686925248745472,Tue May 18 16:10:49 +0000 2021,1394686925248745472,1394686925248745472,"@Na_na_Ba_Nana අපේ අම්මා අහු වුනා. සෑහෙන කාලයක් කායිකවත්, මානසිකවත් දුක් වින්ද. පොඩිකාලෙ විඳපු භයානකම අත්දැකීමක්.",False,"[15, 113]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Na_na_Ba_Nana', 'name': 'Dil Nur', 'id': 1181872908, 'id_str': '1181872908', 'indices': [0, 14]}], 'urls': []}",,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.3946841941151007e+18,1394684194115100675,1181872908.0,1181872908,Na_na_Ba_Nana,2607440251,2607440251,,,,,False,0,5,2,0,1394684194115100675,1394684194115100675,False,False,,,si,,,,,,
1393574377346592775,Sat May 15 14:29:57 +0000 2021,1393574377346592775,1393574377346592775,@MrsNimma අම්මියෝ 🤗😍,False,"[10, 20]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'MrsNimma', 'name': 'අසමිගෙ අම්මා🌸 🇱🇰', 'id': 3266860562, 'id_str': '3266860562', 'indices': [0, 9]}], 'urls': []}",,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.3935736569791447e+18,1393573656979144709,3266860562.0,3266860562,MrsNimma,799647378374422529,799647378374422529,,,,,False,0,1,1,0,1393573656979144709,1393573656979144709,False,False,,,si,,,,,,
1394535218367897600,Tue May 18 06:07:59 +0000 2021,1394535218367897600,1394535218367897600,සත් සමුදුර ගොඩ කරන්න ශිව දෙවියන්ටත් බැරි වුනා. ඒ වුනාට හෙලයා ලොව මවිත කෙරූ මහා රවනා බලයෙන් මුහුද ගොඩ කරලා පෝට් සිටිය හැදුවා. පෝයට-සිටිය-යුතු-තැන තමයී අද පෝට්-සිටිය වෙලා තියෙන්නේ. මහාචාර්‍ය අහවලා මේ ගැන කියාපු යූටූබ් වීඩියෝවක් ලඟදීම. එතකම් අපේ-අම්මා චැනලය නරබන්න.,False,"[0, 262]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,1269375633886449664,1269375633886449664,,,,,False,0,5,0,0,1394535218367897600,1394535218367897600,False,False,,,si,,,,,,
1390305712350273546,Thu May 06 14:01:27 +0000 2021,1390305712350273546,1390305712350273546,"Word = Maa (අම්මා)♥️✨
Meaning = Sorry I can't define that word. Bcoz I feel that one definition is not enough.
Your Turn, What you think? 

@_ADITICHOURASIA 
@NitaDas23 
@livechic_Mishti 
@ImNitinJ30 
@SSRMansur21 
@Shruti179099660

Disha Culprits Killed Sushant",False,"[0, 262]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': '_ADITICHOURASIA', 'name': '𝐒𝐒𝐑𝐈𝐀𝐍 𝐀𝐃𝐈𝐓𝐈 𝐂𝐇𝐎𝐔𝐑𝐀𝐒𝐈𝐀❤💛❤', 'id': 1344169321174450176, 'id_str': '1344169321174450176', 'indices': [140, 156]}, {'screen_name': 'NitaDas23', 'name': 'Suvonita 🦋SSRian🦋', 'id': 1385459601299042306, 'id_str': '1385459601299042306', 'indices': [158, 168]}, {'screen_name': 'livechic_Mishti', 'name': 'Ｍｉｓｈｔｉ🌬️', 'id': 1303705021142294529, 'id_str': '1303705021142294529', 'indices': [170, 186]}, {'screen_name': 'ImNitinJ30', 'name': '🇳\u200b\u200b\u200b\u200b\u200b🇮\u200b\u200b\u200b\u200b\u200b🇹\u200b\u200b\u200b\u200b\u200b🇮\u200b\u200b\u200b\u200b\u200b🇳\u200b\u200b\u200b\u200b\u200b SSRian 💜', 'id': 919316954, 'id_str': '919316954', 'indices': [188, 199]}, {'screen_name': 'SSRMansur21', 'name': 'Shubham Gaikwad', 'id': 1291071138458529792, 'id_str': '1291071138458529792', 'indices': [201, 213]}, {'screen_name': 'Shruti179099660', 'name': '🎶😎🦋💔💘SHRUTI💘💔🦋😎🎶', 'id': 1308862281820770304, 'id_str': '1308862281820770304', 'indices': [215, 231]}], 'urls': []}",,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,897833244829274116,897833244829274116,,,,,True,16,12,2,3,1390305712350273546,1390305712350273546,False,False,,,en,,1.3902962875393843e+18,1390296287539384336,"{'url': 'https://t.co/P2MXGNo4o2', 'expanded': 'https://twitter.com/VipinRajput123/status/1390296287539384336', 'display': 'twitter.com/VipinRajput123…'}",,
1376740046972219396,Tue Mar 30 03:36:20 +0000 2021,1376740046972219396,1376740046972219396,"උඹෙ අම්මා කොතැන ගියේ 
හේනෙ වැඩට තමයි ගියේ
අම්මට කලියෙන් හේනට
තනියා ඇවිල්ලලු හිටියේ 

ආරංචිය ආ හැටියේ 
මං හේනට දුවලා ගියේ
තනියගෙ හොඬවැල පුරාම
බිංදු බිංදු කිරි තිබුණේ 

#රුවන්_බංදුජීව",False,"[0, 181]","{'hashtags': [{'text': 'රුවන්_බංදුජීව', 'indices': [167, 181]}], 'symbols': [], 'user_mentions': [], 'urls': []}",,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,2846625398,2846625398,,,,,False,3,14,0,0,1376740046972219396,1376740046972219396,False,False,,,si,,,,,,
1394817115383754752,Wed May 19 00:48:09 +0000 2021,1394817115383754752,1394817115383754752,@dead_mans_creed හායි.,False,"[17, 22]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'dead_mans_creed', 'name': '🇱🇰 ☠️ මහසොහොන් ☠️ 🇱🇰', 'id': 233860469, 'id_str': '233860469', 'indices': [0, 16]}], 'urls': []}",,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.3946341636810424e+18,1394634163681042438,233860469.0,233860469,dead_mans_creed,3266860562,3266860562,,,"{'id': 'b28838c9654b8c4a', 'url': 'https://api.twitter.com/1.1/geo/id/b28838c9654b8c4a.json', 'place_type': 'city', 'name': 'Joso-shi', 'full_name': 'Joso-shi, Ibaraki', 'country_code': 'JP', 'country': 'Japan', 'contained_within': [], 'bounding_box': {'type': 'Polygon', 'coordinates': [[[139.8939, 35.968713], [140.029052, 35.968713], [140.029052, 36.146776], [139.8939, 36.146776]]]}, 'attributes': {}}",,False,0,0,0,0,1394634163681042438,1394634163681042438,False,False,,,si,,,,,,
