,created_at,id,id_str,full_text,truncated,display_text_range,entities,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,user_id,user_id_str,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,reply_count,quote_count,conversation_id,conversation_id_str,favorited,retweeted,lang,supplemental_language,self_thread,extended_entities,possibly_sensitive,possibly_sensitive_editable,quoted_status_id,quoted_status_id_str,quoted_status_permalink,card
1390866762149683201,Sat May 08 03:10:51 +0000 2021,1390866762149683201,1390866762149683201,@IshuMDK හ්ම්ම් ඒ වගෙම ඔය අක්කටත් ආදරෙයි 🤭❤😌,False,"[9, 44]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'IshuMDK', 'name': '🌞෴ඉරූ.🙂🌛 🇱🇰 イル🌼', 'id': 1194446106614059008, 'id_str': '1194446106614059008', 'indices': [0, 8]}], 'urls': []}","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.3907197358771773e+18,1390719735877177350,1.194446106614059e+18,1194446106614059008,IshuMDK,1260382665364189185,1260382665364189185,,,,,False,0,1,0,0,1390719735877177350,1390719735877177350,False,False,si,,,,,,,,,
1390002934847397889,Wed May 05 17:58:19 +0000 2021,1390002934847397889,1390002934847397889,"මට ආරාධනාවක් කලා දෝ
ඔය දෑසේ කොනින් කී කතාවෙන්
බිතුසිතුවම් ලෙසින් ජිවීතෙහි
ආදරෙයි ආදරෙයි සැමදා මා
🖤🖤",False,"[0, 99]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,1347538759286312960,1347538759286312960,,,,,False,0,2,0,0,1390002934847397889,1390002934847397889,False,False,si,,,,,,,,,
1389947286852149248,Wed May 05 14:17:11 +0000 2021,1389947286852149248,1389947286852149248,"ඝන කලුවරට අප පෙම් කළොත්
ඉර හඳ තරුවලට ණය ගැතියි
ලොව දුන්නු දේවල් අද අපිට හෙට
ලොවට පෙරළා දිය යුතුයි
ඔබ මේ ලොවට ආදරේ නම්
මුලු ලොවම ඔබටත් ආදරෙයි...

මගෙ දුවේ ඔබ අවදියෙන් නම්
මේ රැයේ මිහිරිම වෙලාවයි
දොර ඇරන් එළියට ආවොතින්
මේ මිහිරි දේවල් නුඹටමයි...🌙✨
#sajje",False,"[0, 252]","{'hashtags': [{'text': 'sajje', 'indices': [246, 252]}], 'symbols': [], 'user_mentions': [], 'urls': []}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,2662863801,2662863801,,,,,False,3,13,0,0,1389947286852149248,1389947286852149248,False,False,si,,,,,,,,,
1391675925545246720,Mon May 10 08:46:11 +0000 2021,1391675925545246720,1391675925545246720,"මේ වෙලාවෙ රට අර්ධ වශයෙන් හෝ lockdown කරන්න අවශ්‍යයි. ඒ lockdown කරන්න අවශ්‍ය නිසාමත් නෙමෙයි, ඒකෙන් මිනිස්සුන්ට මොරාල් එකක් දෙන්න ඕනෙ. පණිවිඩයක් දෙන්න ඕනෙ බරපතල කම ගැන.

අනිවාරෙන්ම මේකෙන් ලොකු බිස්නස් කරන අයගෙ ඉඳන් එදා වේල හොයන් කන මිනිහටත් වදී. ඒ විතරක් නෙමෙයි වීදි... (1/5)",False,"[0, 274]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,1245643406493093889,1245643406493093889,,,,,False,14,53,4,0,1391675925545246720,1391675925545246720,False,False,si,,"{'id': 1391675925545246720, 'id_str': '1391675925545246720'}",,,,,,,
1391253122618564609,Sun May 09 04:46:07 +0000 2021,1391253122618564609,1391253122618564609,@sewwand8272671 Very good morning akkio..ආදරෙයි අහස තරම් ..පරිස්සමෙන් ඉන්න,False,"[16, 74]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'sewwand8272671', 'name': '🌻🌹🌸රෝෂි🌸🌸🌹🌻', 'id': 1274284244555030530, 'id_str': '1274284244555030530', 'indices': [0, 15]}], 'urls': []}","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.39121105468058e+18,1391211054680580097,1.2742842445550305e+18,1274284244555030530,sewwand8272671,1260382665364189185,1260382665364189185,,,,,False,0,1,1,0,1391211054680580097,1391211054680580097,False,False,und,,,,,,,,,
1391229718213500929,Sun May 09 03:13:07 +0000 2021,1391229718213500929,1391229718213500929,"ආදරෙයි මගේ අම්මා
මගෙත් ආයුෂ අරන් තව ගොඩාක් කාලයක් ජීවත් වෙන්න ලැබේවා මගේ අම්මා😘😘😘😘😘😘😘
I love you My Queen😘😘💗 https://t.co/0jBChBhvuY",False,"[0, 108]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1391229714174341121, 'id_str': '1391229714174341121', 'indices': [109, 132], 'media_url': 'http://pbs.twimg.com/media/E06kDdJUcAErtJy.jpg', 'media_url_https': 'https://pbs.twimg.com/media/E06kDdJUcAErtJy.jpg', 'url': 'https://t.co/0jBChBhvuY', 'display_url': 'pic.twitter.com/0jBChBhvuY', 'expanded_url': 'https://twitter.com/sewwand8272671/status/1391229718213500929/photo/1', 'type': 'photo', 'original_info': {'width': 720, 'height': 790, 'focus_rects': [{'x': 0, 'y': 371, 'h': 403, 'w': 720}, {'x': 0, 'y': 70, 'h': 720, 'w': 720}, {'x': 0, 'y': 0, 'h': 790, 'w': 693}, {'x': 19, 'y': 0, 'h': 790, 'w': 395}, {'x': 0, 'y': 0, 'h': 790, 'w': 720}]}, 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 720, 'h': 790, 'resize': 'fit'}, 'large': {'w': 720, 'h': 790, 'resize': 'fit'}, 'small': {'w': 620, 'h': 680, 'resize': 'fit'}}, 'features': {'medium': {'faces': []}, 'large': {'faces': []}, 'small': {'faces': []}, 'orig': {'faces': []}}}]}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,1274284244555030530,1274284244555030530,,,,,False,1,27,2,0,1391229718213500929,1391229718213500929,False,False,si,,,"{'media': [{'id': 1391229714174341121, 'id_str': '1391229714174341121', 'indices': [109, 132], 'media_url': 'http://pbs.twimg.com/media/E06kDdJUcAErtJy.jpg', 'media_url_https': 'https://pbs.twimg.com/media/E06kDdJUcAErtJy.jpg', 'url': 'https://t.co/0jBChBhvuY', 'display_url': 'pic.twitter.com/0jBChBhvuY', 'expanded_url': 'https://twitter.com/sewwand8272671/status/1391229718213500929/photo/1', 'type': 'photo', 'original_info': {'width': 720, 'height': 790, 'focus_rects': [{'x': 0, 'y': 371, 'h': 403, 'w': 720}, {'x': 0, 'y': 70, 'h': 720, 'w': 720}, {'x': 0, 'y': 0, 'h': 790, 'w': 693}, {'x': 19, 'y': 0, 'h': 790, 'w': 395}, {'x': 0, 'y': 0, 'h': 790, 'w': 720}]}, 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 720, 'h': 790, 'resize': 'fit'}, 'large': {'w': 720, 'h': 790, 'resize': 'fit'}, 'small': {'w': 620, 'h': 680, 'resize': 'fit'}}, 'features': {'medium': {'faces': []}, 'large': {'faces': []}, 'small': {'faces': []}, 'orig': {'faces': []}}, 'media_key': '3_1391229714174341121', 'ext_alt_text': None, 'ext_media_availability': {'status': 'available'}, 'ext_media_color': {'palette': [{'rgb': {'red': 255, 'green': 255, 'blue': 255}, 'percentage': 35.25}, {'rgb': {'red': 52, 'green': 33, 'blue': 24}, 'percentage': 21.38}, {'rgb': {'red': 157, 'green': 94, 'blue': 61}, 'percentage': 19.64}, {'rgb': {'red': 251, 'green': 206, 'blue': 158}, 'percentage': 9.72}, {'rgb': {'red': 182, 'green': 77, 'blue': 50}, 'percentage': 2.37}]}, 'ext': {'mediaStats': {'r': 'Missing', 'ttl': -1}}}]}",False,True,,,,
1391379334875664389,Sun May 09 13:07:38 +0000 2021,1391379334875664389,1391379334875664389,"""මට ආදරේ නැහැ""
""මං ගැන බලන්නෙ නැහැ""
""හැමදේම ටික කාලයයි, ඔහොම තමයි""
( උඹ මට කරන චෝදනා)
හැබැයි,
-මං උඹ⁣ට මගේ ආදරේ තරම පෙන්නන්න හැදුවොත්, උඹ ගැන මගේ විදිහට බලන්න හැදුවොත්, මං කොහොමද කියල හරියට උඹට පෙන්නුවොත්,
උඹ මට නොදැනෙන්න වමට දකුණට හැරෙනවවත් බොරු බං-",False,"[0, 250]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,129547277,129547277,,,,,False,0,5,1,0,1391379334875664389,1391379334875664389,False,False,si,,"{'id': 1391379334875664389, 'id_str': '1391379334875664389'}",,,,,,,
1390719735877177350,Fri May 07 17:26:38 +0000 2021,1390719735877177350,1390719735877177350,"ඔයා ආදරෙයිද   . 💖.💖.💖.

ඔයාට  ... https://t.co/PYX84EAtSD",False,"[0, 33]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1390719517064527872, 'id_str': '1390719517064527872', 'indices': [34, 57], 'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/1390719517064527872/pu/img/lNskdsXlTZqPNy2K.jpg', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/1390719517064527872/pu/img/lNskdsXlTZqPNy2K.jpg', 'url': 'https://t.co/PYX84EAtSD', 'display_url': 'pic.twitter.com/PYX84EAtSD', 'expanded_url': 'https://twitter.com/IshuMDK/status/1390719735877177350/video/1', 'type': 'photo', 'original_info': {'width': 848, 'height': 480}, 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 848, 'h': 480, 'resize': 'fit'}, 'medium': {'w': 848, 'h': 480, 'resize': 'fit'}, 'small': {'w': 680, 'h': 385, 'resize': 'fit'}}, 'features': {}}]}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,1194446106614059008,1194446106614059008,,,"{'id': '173c2bb9d42baaa5', 'url': 'https://api.twitter.com/1.1/geo/id/173c2bb9d42baaa5.json', 'place_type': 'country', 'name': 'Sri Lanka', 'full_name': 'Sri Lanka', 'country_code': 'LK', 'country': 'Sri Lanka', 'contained_within': [], 'bounding_box': {'type': 'Polygon', 'coordinates': [[[79.6505263, 5.9213829], [81.8787816, 5.9213829], [81.8787816, 9.8359375], [79.6505263, 9.8359375]]]}, 'attributes': {}}",,False,0,9,1,0,1390719735877177350,1390719735877177350,False,False,si,,,"{'media': [{'id': 1390719517064527872, 'id_str': '1390719517064527872', 'indices': [34, 57], 'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/1390719517064527872/pu/img/lNskdsXlTZqPNy2K.jpg', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/1390719517064527872/pu/img/lNskdsXlTZqPNy2K.jpg', 'url': 'https://t.co/PYX84EAtSD', 'display_url': 'pic.twitter.com/PYX84EAtSD', 'expanded_url': 'https://twitter.com/IshuMDK/status/1390719735877177350/video/1', 'type': 'video', 'original_info': {'width': 848, 'height': 480}, 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 848, 'h': 480, 'resize': 'fit'}, 'medium': {'w': 848, 'h': 480, 'resize': 'fit'}, 'small': {'w': 680, 'h': 385, 'resize': 'fit'}}, 'video_info': {'aspect_ratio': [53, 30], 'duration_millis': 23840, 'variants': [{'content_type': 'application/x-mpegURL', 'url': 'https://video.twimg.com/ext_tw_video/1390719517064527872/pu/pl/N6o-oWa-3PlzzyGF.m3u8?tag=12'}, {'bitrate': 2176000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/ext_tw_video/1390719517064527872/pu/vid/848x480/rShrDRngToeSiWQm.mp4?tag=12'}, {'bitrate': 256000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/ext_tw_video/1390719517064527872/pu/vid/476x270/2QqQPG7DPqoPT67S.mp4?tag=12'}, {'bitrate': 832000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/ext_tw_video/1390719517064527872/pu/vid/636x360/LZ5tDs0zkpH37lvI.mp4?tag=12'}]}, 'features': {}, 'media_key': '7_1390719517064527872', 'ext_media_color': {'palette': [{'rgb': {'red': 168, 'green': 150, 'blue': 146}, 'percentage': 65.38}, {'rgb': {'red': 101, 'green': 78, 'blue': 72}, 'percentage': 22.31}, {'rgb': {'red': 144, 'green': 95, 'blue': 60}, 'percentage': 7.29}, {'rgb': {'red': 43, 'green': 43, 'blue': 56}, 'percentage': 2.55}, {'rgb': {'red': 158, 'green': 163, 'blue': 162}, 'percentage': 0.59}]}, 'ext_alt_text': None, 'ext_media_availability': {'status': 'available'}, 'ext': {'mediaStats': {'r': {'ok': {'viewCount': '31'}}, 'ttl': -1}}, 'additional_media_info': {'monetizable': False}}]}",False,True,,,,
1391708520719003648,Mon May 10 10:55:42 +0000 2021,1391708520719003648,1391708520719003648,@CharukaLive ආදරෙයි ❤️🇱🇰 අයියා කතාවට,False,"[13, 36]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'CharukaLive', 'name': 'රාස්පුටින් | Rasputin', 'id': 1245643406493093889, 'id_str': '1245643406493093889', 'indices': [0, 12]}], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.3916759255452467e+18,1391675925545246720,1.245643406493094e+18,1245643406493093889,CharukaLive,1187034942384926720,1187034942384926720,,,,,False,0,1,0,0,1391675925545246720,1391675925545246720,False,False,si,,,,,,,,,
1390299894410190851,Thu May 06 13:38:20 +0000 2021,1390299894410190851,1390299894410190851,එයාලා ඔක්කොම දන්නවා. පුදුම ආදරෙයි අපිට :3 https://t.co/uuVwwZoLL1,False,"[0, 41]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1390299888345260042, 'id_str': '1390299888345260042', 'indices': [42, 65], 'media_url': 'http://pbs.twimg.com/media/E0tWYeAVoAoc8i3.jpg', 'media_url_https': 'https://pbs.twimg.com/media/E0tWYeAVoAoc8i3.jpg', 'url': 'https://t.co/uuVwwZoLL1', 'display_url': 'pic.twitter.com/uuVwwZoLL1', 'expanded_url': 'https://twitter.com/bebaalka/status/1390299894410190851/photo/1', 'type': 'photo', 'original_info': {'width': 3120, 'height': 1916, 'focus_rects': [{'x': 0, 'y': 169, 'h': 1747, 'w': 3120}, {'x': 53, 'y': 0, 'h': 1916, 'w': 1916}, {'x': 171, 'y': 0, 'h': 1916, 'w': 1681}, {'x': 532, 'y': 0, 'h': 1916, 'w': 958}, {'x': 0, 'y': 0, 'h': 1916, 'w': 3120}]}, 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 737, 'resize': 'fit'}, 'large': {'w': 2048, 'h': 1258, 'resize': 'fit'}, 'small': {'w': 680, 'h': 418, 'resize': 'fit'}}, 'features': {'medium': {'faces': []}, 'large': {'faces': []}, 'small': {'faces': []}, 'orig': {'faces': []}}}]}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,1049692331224354816,1049692331224354816,,,,,False,1,32,6,1,1390299894410190851,1390299894410190851,False,False,si,,,"{'media': [{'id': 1390299888345260042, 'id_str': '1390299888345260042', 'indices': [42, 65], 'media_url': 'http://pbs.twimg.com/media/E0tWYeAVoAoc8i3.jpg', 'media_url_https': 'https://pbs.twimg.com/media/E0tWYeAVoAoc8i3.jpg', 'url': 'https://t.co/uuVwwZoLL1', 'display_url': 'pic.twitter.com/uuVwwZoLL1', 'expanded_url': 'https://twitter.com/bebaalka/status/1390299894410190851/photo/1', 'type': 'photo', 'original_info': {'width': 3120, 'height': 1916, 'focus_rects': [{'x': 0, 'y': 169, 'h': 1747, 'w': 3120}, {'x': 53, 'y': 0, 'h': 1916, 'w': 1916}, {'x': 171, 'y': 0, 'h': 1916, 'w': 1681}, {'x': 532, 'y': 0, 'h': 1916, 'w': 958}, {'x': 0, 'y': 0, 'h': 1916, 'w': 3120}]}, 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1200, 'h': 737, 'resize': 'fit'}, 'large': {'w': 2048, 'h': 1258, 'resize': 'fit'}, 'small': {'w': 680, 'h': 418, 'resize': 'fit'}}, 'features': {'medium': {'faces': []}, 'large': {'faces': []}, 'small': {'faces': []}, 'orig': {'faces': []}}, 'media_key': '3_1390299888345260042', 'ext_alt_text': None, 'ext_media_availability': {'status': 'available'}, 'ext_media_color': {'palette': [{'rgb': {'red': 29, 'green': 27, 'blue': 30}, 'percentage': 55.97}, {'rgb': {'red': 210, 'green': 62, 'blue': 66}, 'percentage': 17.99}, {'rgb': {'red': 27, 'green': 133, 'blue': 78}, 'percentage': 8.47}, {'rgb': {'red': 242, 'green': 197, 'blue': 142}, 'percentage': 3.98}, {'rgb': {'red': 99, 'green': 29, 'blue': 35}, 'percentage': 2.54}]}, 'ext': {'mediaStats': {'r': 'Missing', 'ttl': -1}}}]}",False,True,,,,
