,created_at,id,id_str,full_text,truncated,display_text_range,entities,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,user_id,user_id_str,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,reply_count,quote_count,conversation_id,conversation_id_str,favorited,retweeted,lang,supplemental_language,possibly_sensitive,possibly_sensitive_editable,self_thread,extended_entities,conversation_control,limited_actions,card,quoted_status_id,quoted_status_id_str,quoted_status_permalink
1309025391223414784,Thu Sep 24 07:02:28 +0000 2020,1309025391223414784,1309025391223414784,@KimMinJee_twt @roses_are_tae @BTS_twtaera @innertaeyhung @KooVi822 පලෑන්න මම අටාරින්නෑ බලෙම් උගන්නෙ බලෙ හුහ් 😌😌😌😌,False,"[68, 114]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'innertaeyhung', 'name': '.', 'id': 1332754861113417728, 'id_str': '1332754861113417728', 'indices': [43, 57]}], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.308824958995329e+18,1308824958995329024,1.1003582992102482e+18,1100358299210248192,MinJee_twt,1015235313591939072,1015235313591939072,,,,,False,0,2,1,0,1307931737029308416,1307931737029308416,False,False,si,,,,,,,,,,,
990753200465563649,Mon Apr 30 00:42:24 +0000 2018,990753200465563649,990753200465563649,කළමනාකරණ පශ්චාත් උපාධි ආයතනයේ අපට හමුවූ සුපිරිම ගුරුවරයා. ඔහු ඇමරිකාවේ ඉගෙණීම් හා රැකියාවලින් පස්සේ ලංකාවට ඇවිත් ඉස්සල්ලාම ඉගැන්වූවේ අපිට. පළමු දවසේම අපේ ඇදුම් දැක ඒ ගැන විමසා ඔහුත් කෝට් එක සහ ටයි පටිය ගැලෙවිවා.... https://t.co/3ETOWupxev,False,"[0, 238]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/3ETOWupxev', 'expanded_url': 'https://www.facebook.com/sanath.gamage/posts/1425266300911096', 'display_url': 'facebook.com/sanath.gamage/…', 'indices': [215, 238]}]}","<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>",,,,,,187459267,187459267,,,,,False,0,7,0,0,990753200465563649,990753200465563649,False,False,si,,False,True,,,,,,,,
1260594724341190657,Wed May 13 15:36:17 +0000 2020,1260594724341190657,1260594724341190657,"ගුණවීර සර්… (පිරිමි අයට පමණයි)
ඒ අපේ 6 පංතියේ සිංහල ගුරුතුමා…
දුෂ්කර පාසලක් වු, අපේ පාසලට පත්ව ආ, උස, කැහැටු ගැසුන මෙම ගුරුවරයා, සුදු කලිසම සහ සුදු කමිසයෙන් සැරසී සිටි අතර, නැෂනලය ඇඳ සිටි විදුහල්පති සහ අනිත් ගුරු වරුන් අතර කැපිපෙනුන හේතු ගණනාවක් විය.👇",False,"[0, 251]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,4216182073,4216182073,,,,,False,0,1,1,0,1260594724341190657,1260594724341190657,False,False,si,,,,"{'id': 1260594724341190657, 'id_str': '1260594724341190657'}",,,,,,,
1126062150781325313,Wed May 08 09:51:52 +0000 2019,1126062150781325313,1126062150781325313,මුස්ලිම් ජාතික ගුරුවරයා ගැන ත්‍රස්ත විමර්ශන කොමිසම පරීක්‍ෂණ කරයි | A new voice for a new Sri Lanka https://t.co/LWa7EiOr8W,False,"[0, 122]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/LWa7EiOr8W', 'expanded_url': 'https://www.medaperadiga.com/%e0%b6%b8%e0%b7%94%e0%b7%83%e0%b7%8a%e0%b6%bd%e0%b7%92%e0%b6%b8%e0%b7%8a-%e0%b6%a2%e0%b7%8f%e0%b6%ad%e0%b7%92%e0%b6%9a-%e0%b6%9c%e0%b7%94%e0%b6%bb%e0%b7%94%e0%b7%80%e0%b6%bb%e0%b6%ba%e0%b7%8f/', 'display_url': 'medaperadiga.com/%e0%b6%b8%e0%b…', 'indices': [99, 122]}]}","<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>",,,,,,571950237,571950237,,,,,False,0,0,0,0,1126062150781325313,1126062150781325313,False,False,si,,False,True,,,,,,,,
1137397357434232832,Sat Jun 08 16:33:56 +0000 2019,1137397357434232832,1137397357434232832,"මොනදේ කරන්නත් අපිට රටක් තියෙන්න ඕනේ - Tissa Jananayake

සම්පූර්ණ වීඩියෝව : https://t.co/39y2nft0xC

මට මේ පොඩි වීඩියෝ එක මගේ යාලුවෙක් එව්වෙ. මේ ටියුශන් ගුරුවරයා විනාඩි 25 ක් විතර අරන් මේ සිදුවීම් දාමය ලස්සනට පැහැදිළි  කරණවා. සම්පූර්ණ වීඩියෝ එකම බලන්න කොහොම හරි. https://t.co/RvRNR8aDim",False,"[0, 261]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/39y2nft0xC', 'expanded_url': 'https://youtu.be/iKGDVgZiQYU', 'display_url': 'youtu.be/iKGDVgZiQYU', 'indices': [75, 98]}], 'media': [{'id': 1137396626731831296, 'id_str': '1137396626731831296', 'indices': [262, 285], 'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/1137396626731831296/pu/img/NWuF2mTu5z9ji9pZ.jpg', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/1137396626731831296/pu/img/NWuF2mTu5z9ji9pZ.jpg', 'url': 'https://t.co/RvRNR8aDim', 'display_url': 'pic.twitter.com/RvRNR8aDim', 'expanded_url': 'https://twitter.com/gihan_de_alwis/status/1137397357434232832/video/1', 'type': 'photo', 'original_info': {'width': 400, 'height': 208}, 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 400, 'h': 208, 'resize': 'fit'}, 'medium': {'w': 400, 'h': 208, 'resize': 'fit'}, 'small': {'w': 400, 'h': 208, 'resize': 'fit'}}, 'features': {}}]}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,2689996932,2689996932,,,,,False,4,29,1,1,1137397357434232832,1137397357434232832,False,False,si,,False,True,,"{'media': [{'id': 1137396626731831296, 'id_str': '1137396626731831296', 'indices': [262, 285], 'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/1137396626731831296/pu/img/NWuF2mTu5z9ji9pZ.jpg', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/1137396626731831296/pu/img/NWuF2mTu5z9ji9pZ.jpg', 'url': 'https://t.co/RvRNR8aDim', 'display_url': 'pic.twitter.com/RvRNR8aDim', 'expanded_url': 'https://twitter.com/gihan_de_alwis/status/1137397357434232832/video/1', 'type': 'video', 'original_info': {'width': 400, 'height': 208}, 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 400, 'h': 208, 'resize': 'fit'}, 'medium': {'w': 400, 'h': 208, 'resize': 'fit'}, 'small': {'w': 400, 'h': 208, 'resize': 'fit'}}, 'video_info': {'aspect_ratio': [25, 13], 'duration_millis': 140020, 'variants': [{'content_type': 'application/x-mpegURL', 'url': 'https://video.twimg.com/ext_tw_video/1137396626731831296/pu/pl/YZKYeqJbFS-kYpVo.m3u8?tag=10'}, {'bitrate': 256000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/ext_tw_video/1137396626731831296/pu/vid/400x208/SN6W3PuY3KZacONt.mp4?tag=10'}]}, 'features': {}, 'media_key': '7_1137396626731831296', 'ext_alt_text': None, 'ext_media_availability': {'status': 'available'}, 'ext_media_color': {'palette': [{'rgb': {'red': 109, 'green': 175, 'blue': 161}, 'percentage': 74.06}, {'rgb': {'red': 45, 'green': 53, 'blue': 100}, 'percentage': 6.42}, {'rgb': {'red': 64, 'green': 64, 'blue': 60}, 'percentage': 4.64}, {'rgb': {'red': 70, 'green': 88, 'blue': 223}, 'percentage': 3.43}, {'rgb': {'red': 56, 'green': 81, 'blue': 163}, 'percentage': 3.4}]}, 'ext': {'mediaStats': {'r': {'ok': {'viewCount': '151'}}, 'ttl': -1}}, 'additional_media_info': {'monetizable': False}}]}",,,,,,
914576625605394432,Sun Oct 01 19:43:54 +0000 2017,914576625605394432,914576625605394432,ලෝක ළමා දිනයේ ගුරුවරයා අතින් ලිංගික අපහරණයට ලක් වූ දියණිකට සවන් දෙන්න (Video)  https://t.co/aYt2jl90ej https://t.co/MHKSoT0jAy,False,"[0, 126]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/aYt2jl90ej', 'expanded_url': 'http://www.youtube.com/watch?v=aEhxDOXjMKQ', 'display_url': 'youtube.com/watch?v=aEhxDO…', 'indices': [79, 102]}, {'url': 'https://t.co/MHKSoT0jAy', 'expanded_url': 'http://www.slguardian.org/si/archives/16348', 'display_url': 'slguardian.org/si/archives/16…', 'indices': [103, 126]}]}","<a href=""http://publicize.wp.com/"" rel=""nofollow"">WordPress.com</a>",,,,,,2591268450,2591268450,,,,,False,0,0,0,0,914576625605394432,914576625605394432,False,False,si,,False,True,,,,,,,,
1375622319863857157,Sat Mar 27 01:34:53 +0000 2021,1375622319863857157,1375622319863857157,"@ItsDonPeter @SamadhiDilruks2 @unknown_lankan @ItsMeKande PT ගුරුවරයා තමයි ඔයා,",False,"[58, 79]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'ItsDonPeter', 'name': 'නාරාහේන්පිට පීටර්', 'id': 1247533987557335040, 'id_str': '1247533987557335040', 'indices': [0, 12]}, {'screen_name': 'SamadhiDilruks2', 'name': '✨️السمادهي', 'id': 1295998676238647296, 'id_str': '1295998676238647296', 'indices': [13, 29]}, {'screen_name': 'unknown_lankan', 'name': 'මෙච්චර දියුණු ලෝකය 🐸', 'id': 3591912206, 'id_str': '3591912206', 'indices': [30, 45]}, {'screen_name': 'ItsMeKande', 'name': 'Darshana K', 'id': 1257356014380126208, 'id_str': '1257356014380126208', 'indices': [46, 57]}], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.3756209432386806e+18,1375620943238680579,1.247533987557335e+18,1247533987557335040,ItsDonPeter,918790223840063488,918790223840063488,,,,,False,0,1,0,0,1375608088611356672,1375608088611356672,False,False,si,,,,,,,,,,,
1337299341334040576,Fri Dec 11 07:33:03 +0000 2020,1337299341334040576,1337299341334040576,"මෙවර හොදම  ජාත්‍යන්තර ගුරුවරයා ලෙස තෝරාගත් ගුරුවරුන්  12000කින් අවසන් 10  දෙනා ඔක්තෝම්බර් මස නම් කරන ලදී ඒ අතරට ඉතාලි , බ්‍රසීල , වියට්නාම ,මැලේසියා , නයිජීරියා ,දකුණු අප්‍රිකා , දකුණු කොරියා ,ඇමරිකානු හා බ්‍රිතාන්‍ය ලෙසින් රටවල් 10 කින් අවසන් 10 සමන්විත විය 👇 https://t.co/2vXsM6sDnh",False,"[0, 260]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1337299337705967616, 'id_str': '1337299337705967616', 'indices': [261, 284], 'media_url': 'http://pbs.twimg.com/media/Eo8KqY5UUAAUaM4.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Eo8KqY5UUAAUaM4.jpg', 'url': 'https://t.co/2vXsM6sDnh', 'display_url': 'pic.twitter.com/2vXsM6sDnh', 'expanded_url': 'https://twitter.com/JayaniFdo/status/1337299341334040576/photo/1', 'type': 'photo', 'original_info': {'width': 500, 'height': 281, 'focus_rects': [{'x': 0, 'y': 0, 'h': 280, 'w': 500}, {'x': 197, 'y': 0, 'h': 281, 'w': 281}, {'x': 214, 'y': 0, 'h': 281, 'w': 246}, {'x': 267, 'y': 0, 'h': 281, 'w': 141}, {'x': 0, 'y': 0, 'h': 281, 'w': 500}]}, 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 500, 'h': 281, 'resize': 'fit'}, 'small': {'w': 500, 'h': 281, 'resize': 'fit'}, 'large': {'w': 500, 'h': 281, 'resize': 'fit'}}, 'features': {'medium': {'faces': [{'x': 23, 'y': 182, 'h': 55, 'w': 55}, {'x': 236, 'y': 193, 'h': 51, 'w': 51}, {'x': 235, 'y': 15, 'h': 48, 'w': 48}, {'x': 29, 'y': 20, 'h': 45, 'w': 45}, {'x': 140, 'y': 21, 'h': 48, 'w': 48}, {'x': 327, 'y': 190, 'h': 52, 'w': 52}, {'x': 435, 'y': 19, 'h': 54, 'w': 54}, {'x': 429, 'y': 189, 'h': 56, 'w': 56}, {'x': 301, 'y': 23, 'h': 68, 'w': 68}, {'x': 112, 'y': 201, 'h': 68, 'w': 68}]}, 'orig': {'faces': [{'x': 23, 'y': 182, 'h': 55, 'w': 55}, {'x': 236, 'y': 193, 'h': 51, 'w': 51}, {'x': 235, 'y': 15, 'h': 48, 'w': 48}, {'x': 29, 'y': 20, 'h': 45, 'w': 45}, {'x': 140, 'y': 21, 'h': 48, 'w': 48}, {'x': 327, 'y': 190, 'h': 52, 'w': 52}, {'x': 435, 'y': 19, 'h': 54, 'w': 54}, {'x': 429, 'y': 189, 'h': 56, 'w': 56}, {'x': 301, 'y': 23, 'h': 68, 'w': 68}, {'x': 112, 'y': 201, 'h': 68, 'w': 68}]}, 'small': {'faces': [{'x': 23, 'y': 182, 'h': 55, 'w': 55}, {'x': 236, 'y': 193, 'h': 51, 'w': 51}, {'x': 235, 'y': 15, 'h': 48, 'w': 48}, {'x': 29, 'y': 20, 'h': 45, 'w': 45}, {'x': 140, 'y': 21, 'h': 48, 'w': 48}, {'x': 327, 'y': 190, 'h': 52, 'w': 52}, {'x': 435, 'y': 19, 'h': 54, 'w': 54}, {'x': 429, 'y': 189, 'h': 56, 'w': 56}, {'x': 301, 'y': 23, 'h': 68, 'w': 68}, {'x': 112, 'y': 201, 'h': 68, 'w': 68}]}, 'large': {'faces': [{'x': 23, 'y': 182, 'h': 55, 'w': 55}, {'x': 236, 'y': 193, 'h': 51, 'w': 51}, {'x': 235, 'y': 15, 'h': 48, 'w': 48}, {'x': 29, 'y': 20, 'h': 45, 'w': 45}, {'x': 140, 'y': 21, 'h': 48, 'w': 48}, {'x': 327, 'y': 190, 'h': 52, 'w': 52}, {'x': 435, 'y': 19, 'h': 54, 'w': 54}, {'x': 429, 'y': 189, 'h': 56, 'w': 56}, {'x': 301, 'y': 23, 'h': 68, 'w': 68}, {'x': 112, 'y': 201, 'h': 68, 'w': 68}]}}}]}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.3372993323372626e+18,1337299332337262593,3286134445.0,3286134445,JayaniFdo,3286134445,3286134445,,,,,False,0,3,1,0,1337299184005705728,1337299184005705728,False,False,si,,False,True,"{'id': 1337299184005705728, 'id_str': '1337299184005705728'}","{'media': [{'id': 1337299337705967616, 'id_str': '1337299337705967616', 'indices': [261, 284], 'media_url': 'http://pbs.twimg.com/media/Eo8KqY5UUAAUaM4.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Eo8KqY5UUAAUaM4.jpg', 'url': 'https://t.co/2vXsM6sDnh', 'display_url': 'pic.twitter.com/2vXsM6sDnh', 'expanded_url': 'https://twitter.com/JayaniFdo/status/1337299341334040576/photo/1', 'type': 'photo', 'original_info': {'width': 500, 'height': 281, 'focus_rects': [{'x': 0, 'y': 0, 'h': 280, 'w': 500}, {'x': 197, 'y': 0, 'h': 281, 'w': 281}, {'x': 214, 'y': 0, 'h': 281, 'w': 246}, {'x': 267, 'y': 0, 'h': 281, 'w': 141}, {'x': 0, 'y': 0, 'h': 281, 'w': 500}]}, 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 500, 'h': 281, 'resize': 'fit'}, 'small': {'w': 500, 'h': 281, 'resize': 'fit'}, 'large': {'w': 500, 'h': 281, 'resize': 'fit'}}, 'features': {'medium': {'faces': [{'x': 23, 'y': 182, 'h': 55, 'w': 55}, {'x': 236, 'y': 193, 'h': 51, 'w': 51}, {'x': 235, 'y': 15, 'h': 48, 'w': 48}, {'x': 29, 'y': 20, 'h': 45, 'w': 45}, {'x': 140, 'y': 21, 'h': 48, 'w': 48}, {'x': 327, 'y': 190, 'h': 52, 'w': 52}, {'x': 435, 'y': 19, 'h': 54, 'w': 54}, {'x': 429, 'y': 189, 'h': 56, 'w': 56}, {'x': 301, 'y': 23, 'h': 68, 'w': 68}, {'x': 112, 'y': 201, 'h': 68, 'w': 68}]}, 'orig': {'faces': [{'x': 23, 'y': 182, 'h': 55, 'w': 55}, {'x': 236, 'y': 193, 'h': 51, 'w': 51}, {'x': 235, 'y': 15, 'h': 48, 'w': 48}, {'x': 29, 'y': 20, 'h': 45, 'w': 45}, {'x': 140, 'y': 21, 'h': 48, 'w': 48}, {'x': 327, 'y': 190, 'h': 52, 'w': 52}, {'x': 435, 'y': 19, 'h': 54, 'w': 54}, {'x': 429, 'y': 189, 'h': 56, 'w': 56}, {'x': 301, 'y': 23, 'h': 68, 'w': 68}, {'x': 112, 'y': 201, 'h': 68, 'w': 68}]}, 'small': {'faces': [{'x': 23, 'y': 182, 'h': 55, 'w': 55}, {'x': 236, 'y': 193, 'h': 51, 'w': 51}, {'x': 235, 'y': 15, 'h': 48, 'w': 48}, {'x': 29, 'y': 20, 'h': 45, 'w': 45}, {'x': 140, 'y': 21, 'h': 48, 'w': 48}, {'x': 327, 'y': 190, 'h': 52, 'w': 52}, {'x': 435, 'y': 19, 'h': 54, 'w': 54}, {'x': 429, 'y': 189, 'h': 56, 'w': 56}, {'x': 301, 'y': 23, 'h': 68, 'w': 68}, {'x': 112, 'y': 201, 'h': 68, 'w': 68}]}, 'large': {'faces': [{'x': 23, 'y': 182, 'h': 55, 'w': 55}, {'x': 236, 'y': 193, 'h': 51, 'w': 51}, {'x': 235, 'y': 15, 'h': 48, 'w': 48}, {'x': 29, 'y': 20, 'h': 45, 'w': 45}, {'x': 140, 'y': 21, 'h': 48, 'w': 48}, {'x': 327, 'y': 190, 'h': 52, 'w': 52}, {'x': 435, 'y': 19, 'h': 54, 'w': 54}, {'x': 429, 'y': 189, 'h': 56, 'w': 56}, {'x': 301, 'y': 23, 'h': 68, 'w': 68}, {'x': 112, 'y': 201, 'h': 68, 'w': 68}]}}, 'media_key': '3_1337299337705967616', 'ext_alt_text': None, 'ext_media_availability': {'status': 'available'}, 'ext_media_color': {'palette': [{'rgb': {'red': 220, 'green': 214, 'blue': 206}, 'percentage': 20.99}, {'rgb': {'red': 48, 'green': 42, 'blue': 40}, 'percentage': 19.55}, {'rgb': {'red': 246, 'green': 172, 'blue': 7}, 'percentage': 16.7}, {'rgb': {'red': 181, 'green': 132, 'blue': 113}, 'percentage': 12.35}, {'rgb': {'red': 29, 'green': 48, 'blue': 67}, 'percentage': 3.4}]}, 'ext': {'mediaStats': {'r': 'Missing', 'ttl': -1}}}]}",,,,,,
1257226295072743432,Mon May 04 08:31:21 +0000 2020,1257226295072743432,1257226295072743432,@ImrazAJ විනයක් ඕනේ සමාජයකට. ගුරුවරයා හදන්නෙත් ඒක ඇති කරන්න,False,"[9, 59]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'ImrazAJ', 'name': 'Imraz Azeez 🇱🇰', 'id': 3033137011, 'id_str': '3033137011', 'indices': [0, 8]}], 'urls': []}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.257167030299525e+18,1257167030299525121,3033137011.0,3033137011,ImrazAJ,199129412,199129412,,,,,False,0,1,0,0,1257161927085752321,1257161927085752321,False,False,si,,,,,,,,,,,
362848806456401921,Thu Aug 01 08:14:31 +0000 2013,362848806456401921,362848806456401921,Syndi: පාසල් දැරියන් දෙදෙනකු හෝටලයක කාමරයක නිරුවත් කර ඡායාරූප ගත් ක්‍රීඩා ගුරුවරයා... http://t.co/Im1iAqllHM #sinhalabloggers,False,"[0, 125]","{'hashtags': [{'text': 'sinhalabloggers', 'indices': [109, 125]}], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'http://t.co/Im1iAqllHM', 'expanded_url': 'http://bit.ly/13p0KS5', 'display_url': 'bit.ly/13p0KS5', 'indices': [86, 108]}]}","<a href=""http://blogs.sinhalabloggers.com"" rel=""nofollow"">Sinhala Blog Reader</a>",,,,,,68161733,68161733,,,,,False,1,0,0,0,362848806456401921,362848806456401921,False,False,si,,False,True,,,,,,,,
