,created_at,id,id_str,full_text,truncated,display_text_range,entities,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,user_id,user_id_str,geo,coordinates,place,contributors,is_quote_status,quoted_status_id,quoted_status_id_str,quoted_status_permalink,retweet_count,favorite_count,reply_count,quote_count,conversation_id,conversation_id_str,favorited,retweeted,lang,supplemental_language,self_thread,extended_entities,possibly_sensitive,possibly_sensitive_editable,card
1394588495063126018,Tue May 18 09:39:42 +0000 2021,1394588495063126018,1394588495063126018,"පොඩි උන් ෆෝන්ට තඩියක් අරන් දීලා ඒකෙන් ෆේස්බුක් යන එක, පබ්ජී ගහන එක, කම්පියුටර් එක දාන් වැල බල බල ගේම් ගහන එක දිහා බලලා මහ ගෑණු කියන්නෙ...

""අනේ බලන්න අනේ, එයා දන්න දේවල්... ෆෝන් එකෙන් කරන වැඩ, ඉන්ටනෙට් එකේමයි එයා. ලෝකෙම දේවල් එයා දන්නවනෙ. එයා මාර ස්මාට්...""

😂😂😂",False,"[0, 262]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,178606641,178606641,,,,,True,1.3945867182888387e+18,1394586718288838661,"{'url': 'https://t.co/WsdVqBflQx', 'expanded': 'https://twitter.com/thegallerybitch/status/1394586718288838661', 'display': 'twitter.com/thegallerybitc…'}",10,40,6,2,1394588495063126018,1394588495063126018,False,False,si,,,,,,
1393865256808566784,Sun May 16 09:45:48 +0000 2021,1393865256808566784,1393865256808566784,සැ.යු. මෙය ඉතිහාසය ගැඹුරින් හදාරන්නන් පමණක් රිප්ලයි කරන්න . ඉතිහාසය ගැන අබ මල් රේණුවක දැනුමක් නැති අය රිප්ලයි නොකර ඉන්න .,False,"[0, 121]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.3938652532979507e+18,1393865253297950723,450601726.0,450601726,aparekkavoice,450601726,450601726,,,,,False,,,,0,6,2,0,1393865253297950723,1393865253297950723,False,False,si,,"{'id': 1393865253297950723, 'id_str': '1393865253297950723'}",,,,
1394493184667840516,Tue May 18 03:20:58 +0000 2021,1394493184667840516,1394493184667840516,"@imVedda එක්කෙන්ගේ තාත්තා ජනාධිපති,අනික් කෙනාගේ වයිෆ් ඉන්නවනේ...ඔබාමා විතරයි සයිලන්ට් නෙහ්😂😂",False,"[9, 92]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'imVedda', 'name': 'Vedda-වැද්දා® \U0001f9d4🏹\U0001fa93🍗', 'id': 1342507944173314051, 'id_str': '1342507944173314051', 'indices': [0, 8]}], 'urls': []}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.3943484443119534e+18,1394348444311953408,1.342507944173314e+18,1342507944173314051,imVedda,4227365309,4227365309,,,,,False,,,,0,1,0,0,1394348444311953408,1394348444311953408,False,False,si,,,,,,
1393470455311331331,Sat May 15 07:37:00 +0000 2021,1393470455311331331,1393470455311331331,"මේ මොකක්ද කියලා කාටද කියන්න පුළුවන්?

#SanQuiz https://t.co/DfFSwi233b",False,"[0, 46]","{'hashtags': [{'text': 'SanQuiz', 'indices': [38, 46]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1393468308226117635, 'id_str': '1393468308226117635', 'indices': [47, 70], 'media_url': 'http://pbs.twimg.com/media/E1aYCx2VEAMxdPd.jpg', 'media_url_https': 'https://pbs.twimg.com/media/E1aYCx2VEAMxdPd.jpg', 'url': 'https://t.co/DfFSwi233b', 'display_url': 'pic.twitter.com/DfFSwi233b', 'expanded_url': 'https://twitter.com/Sansajran/status/1393470455311331331/photo/1', 'type': 'photo', 'original_info': {'width': 963, 'height': 542, 'focus_rects': [{'x': 0, 'y': 0, 'h': 539, 'w': 963}, {'x': 282, 'y': 0, 'h': 542, 'w': 542}, {'x': 316, 'y': 0, 'h': 542, 'w': 475}, {'x': 418, 'y': 0, 'h': 542, 'w': 271}, {'x': 0, 'y': 0, 'h': 542, 'w': 963}]}, 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 963, 'h': 542, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'large': {'w': 963, 'h': 542, 'resize': 'fit'}}, 'features': {'orig': {'faces': [{'x': 30, 'y': 250, 'h': 35, 'w': 35}]}, 'medium': {'faces': [{'x': 30, 'y': 250, 'h': 35, 'w': 35}]}, 'small': {'faces': [{'x': 21, 'y': 176, 'h': 24, 'w': 24}]}, 'large': {'faces': [{'x': 30, 'y': 250, 'h': 35, 'w': 35}]}}}]}","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,199129412,199129412,,,,,False,,,,0,20,3,1,1393470455311331331,1393470455311331331,False,False,si,,,"{'media': [{'id': 1393468308226117635, 'id_str': '1393468308226117635', 'indices': [47, 70], 'media_url': 'http://pbs.twimg.com/media/E1aYCx2VEAMxdPd.jpg', 'media_url_https': 'https://pbs.twimg.com/media/E1aYCx2VEAMxdPd.jpg', 'url': 'https://t.co/DfFSwi233b', 'display_url': 'pic.twitter.com/DfFSwi233b', 'expanded_url': 'https://twitter.com/Sansajran/status/1393470455311331331/photo/1', 'type': 'photo', 'original_info': {'width': 963, 'height': 542, 'focus_rects': [{'x': 0, 'y': 0, 'h': 539, 'w': 963}, {'x': 282, 'y': 0, 'h': 542, 'w': 542}, {'x': 316, 'y': 0, 'h': 542, 'w': 475}, {'x': 418, 'y': 0, 'h': 542, 'w': 271}, {'x': 0, 'y': 0, 'h': 542, 'w': 963}]}, 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 963, 'h': 542, 'resize': 'fit'}, 'small': {'w': 680, 'h': 383, 'resize': 'fit'}, 'large': {'w': 963, 'h': 542, 'resize': 'fit'}}, 'features': {'orig': {'faces': [{'x': 30, 'y': 250, 'h': 35, 'w': 35}]}, 'medium': {'faces': [{'x': 30, 'y': 250, 'h': 35, 'w': 35}]}, 'small': {'faces': [{'x': 21, 'y': 176, 'h': 24, 'w': 24}]}, 'large': {'faces': [{'x': 30, 'y': 250, 'h': 35, 'w': 35}]}}, 'media_key': '3_1393468308226117635', 'ext_media_color': {'palette': [{'rgb': {'red': 121, 'green': 118, 'blue': 119}, 'percentage': 44.02}, {'rgb': {'red': 18, 'green': 16, 'blue': 16}, 'percentage': 39.51}, {'rgb': {'red': 126, 'green': 43, 'blue': 46}, 'percentage': 4.5}, {'rgb': {'red': 60, 'green': 63, 'blue': 99}, 'percentage': 2.4}, {'rgb': {'red': 196, 'green': 201, 'blue': 208}, 'percentage': 1.25}]}, 'ext_alt_text': None, 'ext_media_availability': {'status': 'available'}, 'ext': {'mediaStats': {'r': 'Missing', 'ttl': -1}}}]}",False,True,
1395723780975054849,Fri May 21 12:50:55 +0000 2021,1395723780975054849,1395723780975054849,@FaadhilJabbar පොඩි වැඩකට ගියේ තාත්තා එක්ක 😂,False,"[15, 44]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'FaadhilJabbar', 'name': 'FaadhilJabbar', 'id': 1341273793445031939, 'id_str': '1341273793445031939', 'indices': [0, 14]}], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.3957235613025935e+18,1395723561302593538,1.341273793445032e+18,1341273793445031939,FaadhilJabbar,1305035095309316096,1305035095309316096,,,,,False,,,,0,1,1,0,1395685725543092226,1395685725543092226,False,False,si,,,,,,
1395386831164755970,Thu May 20 14:32:00 +0000 2021,1395386831164755970,1395386831164755970,@UthpalaMadumali @iresaaaaaa ආහ්🤭වැරදුනා..හරි නං ආඩම්බර වෙන්න එපෑ නේද...😎,False,"[29, 73]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'UthpalaMadumali', 'name': 'Madu 🌼', 'id': 1305874210099617793, 'id_str': '1305874210099617793', 'indices': [0, 16]}, {'screen_name': 'iresaaaaaa', 'name': 'I C E ❄️', 'id': 1187692266632015875, 'id_str': '1187692266632015875', 'indices': [17, 28]}], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.395386570862039e+18,1395386570862039046,1.3058742100996178e+18,1305874210099617793,UthpalaMadumali,973814985234272256,973814985234272256,,,"{'id': '173c2bb9d42baaa5', 'url': 'https://api.twitter.com/1.1/geo/id/173c2bb9d42baaa5.json', 'place_type': 'country', 'name': 'Sri Lanka', 'full_name': 'Sri Lanka', 'country_code': 'LK', 'country': 'Sri Lanka', 'contained_within': [], 'bounding_box': {'type': 'Polygon', 'coordinates': [[[79.6505263, 5.9213829], [81.8787816, 5.9213829], [81.8787816, 9.8359375], [79.6505263, 9.8359375]]]}, 'attributes': {}}",,False,,,,0,1,2,0,1395294674257027077,1395294674257027077,False,False,si,,,,,,
1394515589813608451,Tue May 18 04:50:00 +0000 2021,1394515589813608451,1394515589813608451,"බලන්නකො කියවලා ඔයාලගෙ මල්ලිත් මේ වගේද?
මල්ලි 1
(තාත්තා සමඟ රූපවාහිනීය නරබන අතරේ )

තාත්තා= ඔහොම හරියන්නෙ නෑ .හොදට වැඩ කරන්න ඕනි.ඊට පස්සෙ ටයි දාලා යන ලොකු  මහත්තයා කෙනෙක් වෙන්න ඕනි

  ( මද සිනාහවකින් අනතුරුව )

මල්ලි= ඇයි තාත්තෙ දන්නෙ නැද්ද මන් school  යන්නෙත් ටයි දාගෙන තමයි 😂✋",False,"[0, 277]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,1353311993617412098,1353311993617412098,,,,,False,,,,0,3,1,0,1394515589813608451,1394515589813608451,False,False,si,,,,,,
1393771920445739009,Sun May 16 03:34:55 +0000 2021,1393771920445739009,1393771920445739009,@proud_Buddhist1 එකක් බොරු ඉපදෙන්නේ අම්මා තාත්තා නිසා... ඕක වෙන්න ඕනේ ලොවට එන්නේ කියලා දැම්මා නම් හරි අක්කිඕ.,False,"[17, 109]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'proud_Buddhist1', 'name': 'චාතූර්යා කැප්පෙටිපොළ☸️', 'id': 1200800076211208192, 'id_str': '1200800076211208192', 'indices': [0, 16]}], 'urls': []}","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.393634074300797e+18,1393634074300796931,1.2008000762112082e+18,1200800076211208192,proud_Buddhist1,1260382665364189185,1260382665364189185,,,,,False,,,,0,1,1,0,1393634074300796931,1393634074300796931,False,False,si,,,,,,
1395774987710078982,Fri May 21 16:14:23 +0000 2021,1395774987710078982,1395774987710078982,@ItsMeKande දැන් තාත්තා කෙනෙක්ද,False,"[12, 31]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'ItsMeKande', 'name': 'Darshana', 'id': 1257356014380126208, 'id_str': '1257356014380126208', 'indices': [0, 11]}], 'urls': []}","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.395774623057285e+18,1395774623057285120,1.2573560143801262e+18,1257356014380126208,ItsMeKande,1276365418702278657,1276365418702278657,,,,,False,,,,0,3,1,0,1395774623057285120,1395774623057285120,False,False,si,,,,,,
1395393485465800705,Thu May 20 14:58:26 +0000 2021,1395393485465800705,1395393485465800705,@ExcuzeMiii @SashenMe @gayan_mh අම්මා ඇවිත් දොරට ගහලා බැනලා යන්නේ නිදා ගනින් කියලා 😂😂😂,False,"[32, 86]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'ExcuzeMiii', 'name': 'Hamza Haniffa', 'id': 4867064842, 'id_str': '4867064842', 'indices': [0, 11]}, {'screen_name': 'SashenMe', 'name': 'Sashen🇱🇰', 'id': 130433613, 'id_str': '130433613', 'indices': [12, 21]}, {'screen_name': 'gayan_mh', 'name': '#ගයියා', 'id': 166050292, 'id_str': '166050292', 'indices': [22, 31]}], 'urls': []}","<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",1.3952511620565156e+18,1395251162056515585,4867064842.0,4867064842,ExcuzeMiii,2369956382,2369956382,,,,,False,,,,0,1,2,0,1395214560685027333,1395214560685027333,False,False,si,,,,,,
