,created_at,id,id_str,full_text,truncated,display_text_range,entities,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,user_id,user_id_str,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,reply_count,quote_count,conversation_id,conversation_id_str,favorited,retweeted,possibly_sensitive,possibly_sensitive_editable,card,lang,supplemental_language,quoted_status_id,quoted_status_id_str,quoted_status_permalink,extended_entities,self_thread
1389214653192949760,Mon May 03 13:45:58 +0000 2021,1389214653192949760,1389214653192949760,https://t.co/qpmT6pdcv5,False,"[0, 23]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/qpmT6pdcv5', 'expanded_url': 'https://youtu.be/qvB-4cqkreg', 'display_url': 'youtu.be/qvB-4cqkreg', 'indices': [0, 23]}]}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,623929922,623929922,,,,,False,0,1,0,0,1389214653192949760,1389214653192949760,False,False,False,True,"{'name': 'player', 'url': 'https://t.co/qpmT6pdcv5', 'card_type_url': 'http://card-type-url-is-deprecated.invalid', 'binding_values': {'vanity_url': {'type': 'STRING', 'string_value': 'youtube.com', 'scribe_key': 'vanity_url'}, 'player_url': {'type': 'STRING', 'string_value': 'https://www.youtube.com/embed/qvB-4cqkreg'}, 'app_is_free': {'type': 'STRING', 'string_value': 'true'}, 'app_price_currency': {'type': 'STRING', 'string_value': 'USD'}, 'app_price_amount': {'type': 'STRING', 'string_value': '0.0'}, 'domain': {'type': 'STRING', 'string_value': 'www.youtube.com'}, 'app_num_ratings': {'type': 'STRING', 'string_value': '20,257,901'}, 'app_star_rating': {'type': 'STRING', 'string_value': '4.69319'}, 'app_name': {'type': 'STRING', 'string_value': 'YouTube: Watch, Listen, Stream'}, 'player_width': {'type': 'STRING', 'string_value': '640'}, 'player_height': {'type': 'STRING', 'string_value': '360'}, 'site': {'type': 'USER', 'user_value': {'id_str': '10228272', 'path': []}, 'scribe_key': 'publisher_id'}, 'title': {'type': 'STRING', 'string_value': 'The Residency w/ Sama Abdulhadi - Week 3: Friends of Union: DJs of...'}, 'description': {'type': 'STRING', 'string_value': ""Palestinaian DJ & producer Sama’ Abdulhadi spotlights the Middle East Dance Music scene for this month's Residency On Twitch!Coming Up (CET):14:45:00 Intervi...""}, 'player_image_small': {'type': 'IMAGE', 'image_value': {'url': 'https://pbs.twimg.com/card_img/1388826382776557568/qQ22UTRB?format=jpg&name=144x144', 'width': 144, 'height': 81, 'alt': None}}, 'player_image': {'type': 'IMAGE', 'image_value': {'url': 'https://pbs.twimg.com/card_img/1388826382776557568/qQ22UTRB?format=jpg&name=280x280', 'width': 280, 'height': 158, 'alt': None}}, 'player_image_large': {'type': 'IMAGE', 'image_value': {'url': 'https://pbs.twimg.com/card_img/1388826382776557568/qQ22UTRB?format=jpg&name=800x320_1', 'width': 569, 'height': 320, 'alt': None}}, 'player_image_x_large': {'type': 'IMAGE', 'image_value': {'url': 'https://pbs.twimg.com/card_img/1388826382776557568/qQ22UTRB?format=png&name=2048x2048_2_exp', 'width': 1280, 'height': 720, 'alt': None}}, 'player_image_original': {'type': 'IMAGE', 'image_value': {'url': 'https://pbs.twimg.com/card_img/1388826382776557568/qQ22UTRB?format=jpg&name=orig', 'width': 1280, 'height': 720, 'alt': None}}, 'card_url': {'type': 'STRING', 'string_value': 'https://t.co/qpmT6pdcv5', 'scribe_key': 'card_url'}}, 'users': {'10228272': {'id': 10228272, 'id_str': '10228272', 'name': 'YouTube', 'screen_name': 'YouTube', 'location': 'San Bruno, CA', 'description': 'Like and subscribe.', 'url': 'https://t.co/qkVaJFk2CG', 'entities': {'url': {'urls': [{'url': 'https://t.co/qkVaJFk2CG', 'expanded_url': 'https://www.youtube.com/', 'display_url': 'youtube.com', 'indices': [0, 23]}]}, 'description': {'urls': []}}, 'protected': False, 'followers_count': 73250329, 'fast_followers_count': 0, 'normal_followers_count': 73250329, 'friends_count': 1203, 'listed_count': 79221, 'created_at': 'Tue Nov 13 21:43:46 +0000 2007', 'favourites_count': 5511, 'utc_offset': None, 'time_zone': None, 'geo_enabled': False, 'verified': True, 'statuses_count': 32910, 'media_count': 12491, 'lang': None, 'contributors_enabled': False, 'is_translator': False, 'is_translation_enabled': True, 'profile_background_color': 'AF0000', 'profile_background_image_url': 'http://abs.twimg.com/images/themes/theme14/bg.gif', 'profile_background_image_url_https': 'https://abs.twimg.com/images/themes/theme14/bg.gif', 'profile_background_tile': True, 'profile_image_url': 'http://pbs.twimg.com/profile_images/1308106203860529152/yOwTDF9G_normal.jpg', 'profile_image_url_https': 'https://pbs.twimg.com/profile_images/1308106203860529152/yOwTDF9G_normal.jpg', 'profile_banner_url': 'https://pbs.twimg.com/profile_banners/10228272/1617285521', 'profile_image_extensions_alt_text': None, 'profile_image_extensions_media_availability': None, 'profile_image_extensions_media_color': {'palette': [{'rgb': {'red': 255, 'green': 255, 'blue': 255}, 'percentage': 70.88}, {'rgb': {'red': 254, 'green': 0, 'blue': 0}, 'percentage': 27.69}, {'rgb': {'red': 252, 'green': 180, 'blue': 178}, 'percentage': 0.86}, {'rgb': {'red': 254, 'green': 87, 'blue': 90}, 'percentage': 0.37}, {'rgb': {'red': 250, 'green': 132, 'blue': 130}, 'percentage': 0.15}]}, 'profile_image_extensions': {'mediaStats': {'r': {'missing': None}, 'ttl': -1}}, 'profile_banner_extensions_alt_text': None, 'profile_banner_extensions_media_availability': None, 'profile_banner_extensions_media_color': {'palette': [{'rgb': {'red': 211, 'green': 207, 'blue': 223}, 'percentage': 33.39}, {'rgb': {'red': 152, 'green': 179, 'blue': 231}, 'percentage': 8.85}, {'rgb': {'red': 208, 'green': 182, 'blue': 141}, 'percentage': 5.45}, {'rgb': {'red': 221, 'green': 166, 'blue': 186}, 'percentage': 4.34}, {'rgb': {'red': 163, 'green': 201, 'blue': 188}, 'percentage': 3.45}]}, 'profile_banner_extensions': {'mediaStats': {'r': {'missing': None}, 'ttl': -1}}, 'profile_link_color': 'C9191D', 'profile_sidebar_border_color': '000000', 'profile_sidebar_fill_color': 'EFEFEF', 'profile_text_color': '333333', 'profile_use_background_image': True, 'has_extended_profile': False, 'default_profile': False, 'default_profile_image': False, 'pinned_tweet_ids': [], 'pinned_tweet_ids_str': [], 'has_custom_timelines': True, 'can_dm': False, 'can_media_tag': True, 'following': False, 'follow_request_sent': False, 'notifications': False, 'muting': False, 'blocking': False, 'blocked_by': False, 'want_retweets': False, 'advertiser_account_type': 'promotable_user', 'advertiser_account_service_levels': ['dso', 'dso', 'dso', 'dso', 'dso'], 'profile_interstitial_type': '', 'business_profile_state': 'none', 'translator_type': 'regular', 'withheld_in_countries': [], 'followed_by': False, 'ext': {'highlightedLabel': {'r': {'ok': {}}, 'ttl': -1}}, 'require_some_consent': False}}, 'card_platform': {'platform': {'device': {'name': 'Swift', 'version': '12'}, 'audience': {'name': 'production', 'bucket': None}}}}",und,,,,,,
1388325629809078273,Sat May 01 02:53:18 +0000 2021,1388325629809078273,1388325629809078273,@Thish_D ඉස්පංචියා 😂,False,"[9, 20]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Thish_D', 'name': 'පරාර්තකාමී කරුණාවන්ත යාලුවා', 'id': 623929922, 'id_str': '623929922', 'indices': [0, 8]}], 'urls': []}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.388325067117908e+18,1388325067117907969,623929922.0,623929922,Thish_D,480050024,480050024,,,,,False,0,0,1,0,1388322976739872770,1388322976739872770,False,False,,,,si,,,,,,
1388489037879517187,Sat May 01 13:42:38 +0000 2021,1388489037879517187,1388489037879517187,ඉන්න තැන රෙදි ගලෝනවා නම් ඌ තමා හොදම යාලුවා 😌❤️,False,"[0, 46]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,1379247245782970369,1379247245782970369,,,,,True,0,1,0,0,1388489037879517187,1388489037879517187,False,False,,,,si,,1.388482155903275e+18,1388482155903275009,"{'url': 'https://t.co/PnElzvHIMI', 'expanded': 'https://twitter.com/Thush_Bro/status/1388482155903275009', 'display': 'twitter.com/Thush_Bro/stat…'}",,
1388369963937767424,Sat May 01 05:49:28 +0000 2021,1388369963937767424,1388369963937767424,"@TropicalNuri හොඳට තිබ්බ රටක්, උඹ වැටිච්ච තැනක් 🥲",False,"[14, 49]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'TropicalNuri', 'name': 'Nuri', 'id': 940934855507845121, 'id_str': '940934855507845121', 'indices': [0, 13]}], 'urls': []}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.3883633901169787e+18,1388363390116978692,9.409348555078451e+17,940934855507845121,TropicalNuri,623929922,623929922,,,,,False,0,1,1,0,1388363390116978692,1388363390116978692,False,False,,,,si,,,,,,
1388361479045349376,Sat May 01 05:15:45 +0000 2021,1388361479045349376,1388361479045349376,"@nandanamihindu ඔයාගේ අම්මටයි , තාත්තටයි ස්තූති කරන්න 🙂 . කැම්පස් එකේ යාලුවෙක් වෙනුවෙන් ඔහොම හිටියා . Assignment ගොඩක් තිබුනා deadline වැටිලා . ඒත් ඒ යාලුවා වෙනුවෙන්ම සතියක් කැකිරාවේ . අවසන් කටයුතු ඉවරවුන දවසේ හවස අනුරාධපුරය බස් ස්ටෑන්ඩ් එකට ඇවිත් කොළඹට ආවා 🙂 . #මනුස්සකම .",False,"[16, 273]","{'hashtags': [{'text': 'මනුස්සකම', 'indices': [262, 271]}], 'symbols': [], 'user_mentions': [{'screen_name': 'nandanamihindu', 'name': 'ɳαɳԃαɳα (නන්දන) 🇱🇰 🇪🇸 🇺🇲', 'id': 15287607, 'id_str': '15287607', 'indices': [0, 15]}], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.3883295590750085e+18,1388329559075008512,15287607.0,15287607,nandanamihindu,212784092,212784092,,,,,False,0,14,0,0,1388329559075008512,1388329559075008512,False,False,,,,si,,,,,,
1389480421067411458,Tue May 04 07:22:02 +0000 2021,1389480421067411458,1389480421067411458,@Thish_D Anemanda bocca. Baya hithuna matath 😐,False,"[9, 46]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Thish_D', 'name': 'පරාර්තකාමී කරුණාවන්ත යාලුවා', 'id': 623929922, 'id_str': '623929922', 'indices': [0, 8]}], 'urls': []}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.3894801848609997e+18,1389480184860999682,623929922.0,623929922,Thish_D,407621077,407621077,,,,,False,0,0,1,0,1389470278787371010,1389470278787371010,False,False,,,,in,,,,,,
1389824789104132099,Wed May 05 06:10:26 +0000 2021,1389824789104132099,1389824789104132099,"නිහතමානී ශ්‍රී ලාංකිකයා!
බුදුසරනයි කියාගෙන මාර දේශප්‍රේයක් පෙන්නගෙන රේසිං කාර් අයියා ගැන ජාපනේ එවුන් හොඳට දන්නවා! ෆේස්බුක් එකේ  තමන්ගෙ කාර් එකේ ලංකා කොඩිය් ගහගෙන අහිංසක විදිහට නිහතමානීකම පෙන්නගෙන ඉන්නෙ ඉතින් ලෝක හොරෙක් තමා! අපි නොදන්න නිහතමානී දේශප්‍රේමී රේසිං අයියා අනේ",False,"[0, 270]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,189878124,189878124,,,,,True,9,26,12,0,1389824789104132099,1389824789104132099,False,False,,,,si,,1.3898081997510164e+18,1389808199751016449,"{'url': 'https://t.co/DtYblafLq8', 'expanded': 'https://twitter.com/prasadjsen/status/1389808199751016449', 'display': 'twitter.com/prasadjsen/sta…'}",,
1389423116070232068,Tue May 04 03:34:19 +0000 2021,1389423116070232068,1389423116070232068,@donweer7 මට මොනම හේතුවක් නිසාවත් මගේ හොඳම යාලුවා නැති කරගන්න ඕන නැති නිසා...,False,"[10, 77]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'donweer7', 'name': 'DonWeer', 'id': 70366634, 'id_str': '70366634', 'indices': [0, 9]}], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.3894216841389875e+18,1389421684138987521,70366634.0,70366634,donweer7,973212683007819776,973212683007819776,,,,,False,0,2,1,0,1389421018033258501,1389421018033258501,False,False,,,,si,,,,,,
1388341078898593793,Sat May 01 03:54:41 +0000 2021,1388341078898593793,1388341078898593793,should we name and shame or let these poor people findout for themselves ?,False,"[0, 74]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,623929922,623929922,,,,,False,0,3,0,0,1388341078898593793,1388341078898593793,False,False,,,,en,,,,,,
1389469585850585089,Tue May 04 06:38:59 +0000 2021,1389469585850585089,1389469585850585089,@AmIsoSweet @iamnishui,False,"[12, 22]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'AmIsoSweet', 'name': 'Dinal', 'id': 429624563, 'id_str': '429624563', 'indices': [0, 11]}, {'screen_name': 'iamnishui', 'name': 'ශෘංගාරී\U0001f9dc🏼\u200d♀', 'id': 784553325291245568, 'id_str': '784553325291245568', 'indices': [12, 22]}], 'urls': []}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.389451398853456e+18,1389451398853455872,429624563.0,429624563,AmIsoSweet,623929922,623929922,,,,,False,1,2,2,1,1389451398853455872,1389451398853455872,False,False,,,,und,,,,,,
