,Unnamed: 0,created_at,id,id_str,full_text,truncated,display_text_range,entities,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,user_id,user_id_str,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,reply_count,quote_count,conversation_id,conversation_id_str,favorited,retweeted,lang,supplemental_language,extended_entities,possibly_sensitive,possibly_sensitive_editable,self_thread,card,quoted_status_id,quoted_status_id_str,quoted_status_permalink,label
0,1.36739613974649E+018,Thu Mar 04 08:46:59 +0000 2021,1.36739613974649E+018,1.36739613974649E+018,@yunesh_k කාන්තාවන්ට හිරමන ලබාදීමේ ව්‍යාපාරයක් පටන්ගමුද,False,"[10, 55]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'yunesh_k', 'name': 'Beauty of the Sri Lanka ❤️🇱🇰🙏', 'id': 333357644, 'id_str': '333357644', 'indices': [0, 9]}], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.36737978996786E+018,1.36737978996786E+018,333357644,333357644,yunesh_k,2533578847,2533578847,,,,,False,0,20,8,0,1.36737978996786E+018,1.36737978996786E+018,False,False,si,,,,,,,,,,0
2,1.25396761470497E+018,Sat Apr 25 08:42:31 +0000 2020,1.25396761470497E+018,1.25396761470497E+018,@sudunona1234 ඒ වේස කිම්බ,False,"[14, 25]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.25391756264935E+018,1.25391756264935E+018,1.16287486205182E+018,1.16287486205182E+018,sonayabigass,1.18154530050831E+018,1.18154530050831E+018,,,,,False,0,1,0,0,1.25391756264935E+018,1.25391756264935E+018,False,False,si,,,,,,,,,,1
3,6.50736985724686E+017,Sun Oct 04 18:19:22 +0000 2015,6.50736985724686E+017,6.50736985724686E+017,@ExcuzeMi @CrazyHesH @NightWingzzz ඕක ඔන්නම් කිම්බ+උල්ලු කියලත් ගත්තෑකි 😋😈,False,"[0, 74]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'ExcuzeMi', 'name': 'Oli', 'id': 582633677, 'id_str': '582633677', 'indices': [0, 9]}, {'screen_name': 'CrazyHesH', 'name': 'Avinath', 'id': 906057763, 'id_str': '906057763', 'indices': [10, 20]}, {'screen_name': 'NightWingzzz', 'name': 'Nightwing®🇱🇰', 'id': 2369956382, 'id_str': '2369956382', 'indices': [21, 34]}], 'urls': []}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",6.50736052760502E+017,6.50736052760502E+017,582633677,582633677,ExcuzeMi,911573887,911573887,,,,,False,1,1,0,0,6.50726199644152E+017,6.50726199644152E+017,False,False,si,,,,,,,,,,1
5,9.98503997429506E+017,Mon May 21 10:01:18 +0000 2018,9.98503997429506E+017,9.98503997429506E+017,නිලුෂි කිම්බ පුටුවෙත් අතුල්ලනවා,False,"[0, 31]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","<a href=""http://hornyagent.net"" rel=""nofollow"">hukanawa.com</a>",,,,,,9.9678711507261E+017,9.9678711507261E+017,,,,,False,0,0,0,0,9.98503997429506E+017,9.98503997429506E+017,False,False,si,,,,,,,,,,1
8,1.28012452354778E+018,Mon Jul 06 13:00:44 +0000 2020,1.28012452354778E+018,1.28012452354778E+018,"@sonamakapoor සෝනම් තෝ පට්ට හුත්ති, වේස බැල්ලි..  පොන්න හුකන්නි..  ලැගැටු හුතු පිත්තලමු...             ටහුකන්ඩ හුත්ති.....       අහුවුනොත් තොගෙ කිම්බ කපලා කපලා අරන් ඩෙවල් දාලා කනවා පක්කියෝ...😡😡😡",False,"[14, 194]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'sonamakapoor', 'name': 'Sonam K Ahuja', 'id': 51376979, 'id_str': '51376979', 'indices': [0, 13]}], 'urls': []}","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.27253313491179E+018,1.27253313491179E+018,51376979,51376979,sonamakapoor,8.14025796822045E+017,8.14025796822045E+017,,,,,False,0,1,0,0,1.27253313491179E+018,1.27253313491179E+018,False,False,si,,,,,,,,,,1
10,1.36085992964544E+018,Sun Feb 14 07:54:25 +0000 2021,1.36085992964544E+018,1.36085992964544E+018,@baba_sau ඔය කිම්බ පතුරු යන්න හුකන්න ඔනි ඈ,False,"[10, 42]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'baba_sau', 'name': 'සුබා Baba', 'id': 1331292327558610950, 'id_str': '1331292327558610950', 'indices': [0, 9]}], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.36083366585756E+018,1.36083366585756E+018,1.3493400090699E+018,1.3493400090699E+018,Sugath59401316,1.3493400090699E+018,1.3493400090699E+018,,,,,False,0,1,0,0,1.36083292175028E+018,1.36083292175028E+018,False,False,si,,,,,,,,,,1
11,1.24677946689172E+018,Sun Apr 05 12:39:23 +0000 2020,1.24677946689172E+018,1.24677946689172E+018,@Ask_amdan @Wind_Desika ලඟම නෑයෝ 😁,False,"[24, 34]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Ask_amdan', 'name': 'ඇම්ඩන්.', 'id': 1194238790686130176, 'id_str': '1194238790686130176', 'indices': [0, 10]}, {'screen_name': 'Wind_Desika', 'name': 'WinD', 'id': 2533578847, 'id_str': '2533578847', 'indices': [11, 23]}], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.246779300789E+018,1.246779300789E+018,1.19423879068613E+018,1.19423879068613E+018,Ask_amdan,7.24170397894226E+017,7.24170397894226E+017,,,,,False,0,2,1,0,1.24670504371534E+018,1.24670504371534E+018,False,False,si,,,,,,,,,,0
12,1.23450232501799E+018,Mon Mar 02 15:34:24 +0000 2020,1.23450232501799E+018,1.23450232501799E+018,@yasithfernando @Welikumbura අනේ හුකේ කිම්බ සුදු නම් රටට හිකිනත් කමක් නෑ.....🤣🤣☝️,False,"[29, 81]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'yasithfernando', 'name': 'Yasith Fernando', 'id': 912384168, 'id_str': '912384168', 'indices': [0, 15]}, {'screen_name': 'Welikumbura', 'name': 'Prasad Welikumbura', 'id': 914720730, 'id_str': '914720730', 'indices': [16, 28]}], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.23449951324047E+018,1.23449951324047E+018,912384168,912384168,yasithfernando,1.09080525884075E+018,1.09080525884075E+018,,,,,False,0,0,1,0,1.23446613414288E+018,1.23446613414288E+018,False,False,si,,,,,,,,,,1
13,1.35225730143281E+018,Thu Jan 21 14:10:39 +0000 2021,1.35225730143281E+018,1.35225730143281E+018,@Iam_N_Sandaru මොකක්,False,"[15, 20]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Iam_N_Sandaru', 'name': '🅽IRMAL ✰', 'id': 1057885194630311936, 'id_str': '1057885194630311936', 'indices': [0, 14]}], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.35225581127646E+018,1.35225581127646E+018,1.05788519463031E+018,1.05788519463031E+018,Iam_N_Sandaru,1.19637419840845E+018,1.19637419840845E+018,,,,,False,0,1,1,0,1.35225581127646E+018,1.35225581127646E+018,False,False,si,,,,,,,,,,0
14,1.05976587477145E+018,Tue Nov 06 11:14:08 +0000 2018,1.05976587477145E+018,1.05976587477145E+018,@Indrajithonline කිම්බ,False,"[17, 22]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Indrajithonline', 'name': 'Indrajith Bandara', 'id': 806420239789527040, 'id_str': '806420239789527040', 'indices': [0, 16]}], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.05927965489524E+018,1.05927965489524E+018,8.06420239789527E+017,8.06420239789527E+017,Indrajithonline,1.05348204500592E+018,1.05348204500592E+018,,,,,False,0,0,0,0,1.05927965489524E+018,1.05927965489524E+018,False,False,si,,,,,,,,,,1
