,Unnamed: 0,created_at,id,id_str,full_text,truncated,display_text_range,entities,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,user_id,user_id_str,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,reply_count,quote_count,conversation_id,conversation_id_str,favorited,retweeted,lang,supplemental_language,extended_entities,possibly_sensitive,possibly_sensitive_editable,quoted_status_id,quoted_status_id_str,quoted_status_permalink,self_thread,card,label
0,1.29380457942803E+018,Thu Aug 13 07:00:24 +0000 2020,1.29380457942803E+018,1.29380457942803E+018,"@MaheshNegombo අතිං පයිං වේවැල් වලින් ගහන්ඩ කතා කරල, අන්තිමට ඒකත් කයිය විතරක් වෙන උන්ගෙ උදාන වාක්‍ය තමා බං "" උබ වගේ එහෙකුට ගහල වැඩක් තියෙනවද "" වගේ ඒව.😂😂

පටං ගත්තෙ පොලිටික්ස් සම්බන්ද දේකින්. දැන් ගෑණු ගැනත් කියනව නේහ්. ඉතිං බං මම පොර උනත් නැතත් උබට මොකද. බලාගෙන ඉන්න අමාරුනම් බ්ලොක් කරපං.😂",False,"[15, 289]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'MaheshNegombo', 'name': 'Mahesh Madusanka', 'id': 189878124, 'id_str': '189878124', 'indices': [0, 14]}], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.29380196502188E+018,1.29380196502188E+018,189878124,189878124,MaheshNegombo,233860469,233860469,,,,,False,0,2,1,0,1.29380196502188E+018,1.29380196502188E+018,False,False,si,,,,,,,,,,1
1,1.04407018061009E+018,Mon Sep 24 03:45:03 +0000 2018,1.04407018061009E+018,1.04407018061009E+018,ඇන්ටි හොදට පයිය උඩ නටනවා – Sri Lankan Aunty Riding Cock,False,"[0, 55]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","<a href=""http://hornyagent.net"" rel=""nofollow"">hukanawa.com</a>",,,,,,9.9678711507261E+017,9.9678711507261E+017,,,,,False,0,1,0,0,1.04407018061009E+018,1.04407018061009E+018,False,False,und,,,,,,,,,,1
2,1.30445360535361E+018,Fri Sep 11 16:15:49 +0000 2020,1.30445360535361E+018,1.30445360535361E+018,@devinda_hemal අන්න මටත් එකක් දාලා තිබුණා 😂,False,"[15, 43]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.30444340284769E+018,1.30444340284769E+018,1.06739928747713E+018,1.06739928747713E+018,hemal_devinda,4695571118,4695571118,,,,,False,0,2,1,0,1.30444340284769E+018,1.30444340284769E+018,False,False,si,,,,,,,,,,0
3,1.26454211835532E+018,Sun May 24 13:01:49 +0000 2020,1.26454211835532E+018,1.26454211835532E+018,හුත්තට හුප්ත කිව්වම පොස් ද ඒයි 😂,False,"[0, 32]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,1.11702161061831E+018,1.11702161061831E+018,,,,,False,0,36,5,0,1.26454211835532E+018,1.26454211835532E+018,False,False,si,,,,,,,,,,1
4,1.14753690622333E+018,Sat Jul 06 16:04:53 +0000 2019,1.14753690622333E+018,1.14753690622333E+018,@arshadwazhar @CMNNow @irajonline @facebook ම්ලේච්ඡයා ම්ලේච්ඡයාමයි..තම්බියා තම්බියාමයි රට කෑවා ...අනත්වාදී උම්මත්තකයෝ,False,"[44, 117]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'arshadwazhar', 'name': 'Arshad Wazhar🇱🇰', 'id': 286118033, 'id_str': '286118033', 'indices': [0, 13]}, {'screen_name': 'CMNNow', 'name': 'CMN', 'id': 2509158060, 'id_str': '2509158060', 'indices': [14, 21]}, {'screen_name': 'irajonline', 'name': 'IRAJ', 'id': 124982587, 'id_str': '124982587', 'indices': [22, 33]}, {'screen_name': 'Facebook', 'name': 'Facebook', 'id': 2425151, 'id_str': '2425151', 'indices': [34, 43]}], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.14753326420413E+018,1.14753326420413E+018,286118033,286118033,arshadwazhar,1.05965343167628E+018,1.05965343167628E+018,,,,,False,0,0,1,0,1.14735341954536E+018,1.14735341954536E+018,False,False,si,,,,,,,,,,1
6,1.34269408255299E+018,Sat Dec 26 04:49:49 +0000 2020,1.34269408255299E+018,1.34269408255299E+018,@SriLankaMirror නගිනවා තොගේ පයිය.,False,"[16, 33]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'SriLankaMirror', 'name': 'Srilankamirror', 'id': 213423172, 'id_str': '213423172', 'indices': [0, 15]}], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.34265926251493E+018,1.34265926251493E+018,213423172,213423172,SriLankaMirror,1103985146,1103985146,,,,,False,0,0,0,0,1.34265926251493E+018,1.34265926251493E+018,False,False,si,,,,,,,,,,1
8,1.30812297395443E+018,Mon Sep 21 19:16:35 +0000 2020,1.30812297395443E+018,1.30812297395443E+018,@thilinixxx එන්න බබා... ඔයාගේ කිම්බට හුකන්නම් හොඳට... පයිය උඩට කෙල දාලා ගන්න..,False,"[12, 78]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,1.06946050870363E+018,1.06946050870363E+018,,,,,False,0,0,0,0,1.30812078565598E+018,1.30812078565598E+018,False,False,si,,,,,,,,,,1
12,1.3456086517052E+018,Sun Jan 03 05:51:17 +0000 2021,1.3456086517052E+018,1.3456086517052E+018,@RasikaIink බලාගෙන අම්තේ ගහන්න ගිහිම් පයිය නැවෙයි 😂,False,"[12, 51]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'RasikaIink', 'name': 'Rasikalink Official ❁', 'id': 1160787948914085890, 'id_str': '1160787948914085890', 'indices': [0, 11]}], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.34560849894443E+018,1.34560849894443E+018,253545294,253545294,Rasikalink,7.07102986049348E+017,7.07102986049348E+017,,,,,False,0,2,0,0,1.34560849894443E+018,1.34560849894443E+018,False,False,si,,,,,,,,,,1
14,1.19467763774835E+018,Wed Nov 13 18:05:19 +0000 2019,1.19467763774835E+018,1.19467763774835E+018,@Saylaoforos මේ උඹේ මිනිහට කියපන් හරියට කතාකරන්න කියල පයිය ගැනයි පොන්නද නැද්ස කියල බලන එකද උගේ ගේම හුකන කතා නැතුව පාඩුවෙ හිටපන් හුත්ති,False,"[13, 134]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Saylaoforos', 'name': 'සේලාසනි 🐯', 'id': 1064609664309043202, 'id_str': '1064609664309043202', 'indices': [0, 12]}], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.1945981032335E+018,1.1945981032335E+018,1.06460966430904E+018,1.06460966430904E+018,Saylaoforos,1.11020364369594E+018,1.11020364369594E+018,,,"{'id': '01b984d319b42814', 'url': 'https://api.twitter.com/1.1/geo/id/01b984d319b42814.json', 'place_type': 'admin', 'name': 'Ras Al Khaimah', 'full_name': 'Ras Al Khaimah, United Arab Emirates', 'country_code': 'AE', 'country': 'United Arab Emirates', 'contained_within': [], 'bounding_box': {'type': 'Polygon', 'coordinates': [[[55.7414877, 24.8517657], [56.3489937, 24.8517657], [56.3489937, 26.0841599], [55.7414877, 26.0841599]]]}, 'attributes': {}}",,False,0,0,0,0,1.1945981032335E+018,1.1945981032335E+018,False,False,si,,,,,,,,,,1
16,1.29380006954455E+018,Thu Aug 13 06:42:28 +0000 2020,1.29380006954455E+018,1.29380006954455E+018,ගෑනියෙක්ගෙ මොනාටහරි උඹට කැසිල්ල හැදෙනව කියල පහුගිය දවස්වලනම් අපි දැක්ක. මිනිස්සු අමතලත් තිබ්බෙ ඒවට. සුපිරි තියරි නෙමේ unfollow block කියන්නෙ මේ සාමන්‍ය දේවල්නේ. කෙලින් දෙයක් කියාගන්න බැරුව පයිය තියං ඇටදෙකෙන් හුකල මොලෙන් බඩු යවන උඹල වගේ මල් පොන්නයන්ට ගහන්න ඕනෙ වේවැලෙන්.,False,"[0, 269]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,189878124,189878124,,,,,True,0,10,2,0,1.29380006954455E+018,1.29380006954455E+018,False,False,si,,,,,1.29379850872664E+018,1.29379850872664E+018,"{'url': 'https://t.co/xxfIPPCmNq', 'expanded': 'https://twitter.com/dead_mans_creed/status/1293798508726640640', 'display': 'twitter.com/dead_mans_cree…'}",,,1
