,Unnamed: 0,created_at,id,id_str,full_text,truncated,display_text_range,entities,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,user_id,user_id_str,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,reply_count,quote_count,conversation_id,conversation_id_str,favorited,retweeted,lang,supplemental_language,quoted_status_id,quoted_status_id_str,quoted_status_permalink,possibly_sensitive,possibly_sensitive_editable,extended_entities,card,self_thread,label
0,1.38364911068777E+018,Sun Apr 18 05:10:29 +0000 2021,1.38364911068777E+018,1.38364911068777E+018,"@AshWarunasuriya @duliponline ඔයාගෙන් ආයෙත් මම අහනවා ..""බොහීමියානු ආදරය කියලා ඔයා මේ කියලා තියෙන දේ මොකද්ද ?""",False,"[30, 109]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'AshWarunasuriya', 'name': 'Ashanthi', 'id': 3185439146, 'id_str': '3185439146', 'indices': [0, 16]}, {'screen_name': 'duliponline', 'name': 'ආර්. බැද්දගේ', 'id': 799677397, 'id_str': '799677397', 'indices': [17, 29]}], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.38364531297206E+018,1.38364531297206E+018,3185439146,3185439146,AshWarunasuriya,9.7321268300782E+017,9.7321268300782E+017,,,,,False,0,2,1,0,1.38337707982411E+018,1.38337707982411E+018,False,False,si,,,,,,,,,,0
1,1.2927376986214E+018,Mon Aug 10 08:20:59 +0000 2020,1.2927376986214E+018,1.2927376986214E+018,"සමහර කොල්ලෝ හිතනවා කෙල්ලෙක් ""hey beautiful"" කියලා කමෙන්ට් කලාම මෙහෙම  👇 වෙයි කියලා. 🤣🤣🤣🤣🤣😉😉😉😉😉",False,"[0, 94]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,1.05788519463031E+018,1.05788519463031E+018,,,,,True,0,6,2,0,1.2927376986214E+018,1.2927376986214E+018,False,False,si,,1.29271029550951E+018,1.29271029550951E+018,"{'url': 'https://t.co/mYAtOSDGWQ', 'expanded': 'https://twitter.com/Yama_Rajano/status/1292710295509508096', 'display': 'twitter.com/Yama_Rajano/st…'}",,,,,,0
3,1.06780609247284E+018,Wed Nov 28 15:43:05 +0000 2018,1.06780609247284E+018,1.06780609247284E+018,I liked a @YouTube video https://t.co/aPQtOTFfLT මට හොඳට හුකන්න පුළුවන්,False,"[0, 71]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'YouTube', 'name': 'YouTube', 'id': 10228272, 'id_str': '10228272', 'indices': [10, 18]}], 'urls': [{'url': 'https://t.co/aPQtOTFfLT', 'expanded_url': 'http://youtu.be/tVQD9iU8czM?a', 'display_url': 'youtu.be/tVQD9iU8czM?a', 'indices': [25, 48]}]}","<a href=""https://www.google.com/"" rel=""nofollow"">Google</a>",,,,,,625484901,625484901,,,,,False,0,0,0,0,1.06780609247284E+018,1.06780609247284E+018,False,False,si,,,,,False,True,,,,1
4,1.25515198981977E+018,Tue Apr 28 15:08:48 +0000 2020,1.25515198981977E+018,1.25515198981977E+018,@Madurangakalpa1 ණයට හුකන්න බැරිද 😂🍆,False,"[17, 36]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.2551315593817E+018,1.2551315593817E+018,9.96060592354902E+017,9.96060592354902E+017,Maduranga__,1.23563546764055E+018,1.23563546764055E+018,,,,,False,0,1,1,0,1.2551315593817E+018,1.2551315593817E+018,False,False,si,,,,,,,,,,1
7,1.38350658259232E+018,Sat Apr 17 19:44:08 +0000 2021,1.38350658259232E+018,1.38350658259232E+018,මොකද්ද බං නිදහස් බොහීමියානු ආදරය? වෙනත් ආදර වර්ග තියේද හොයන්න?,False,"[0, 62]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,1.15383933057974E+018,1.15383933057974E+018,,,,,False,0,9,2,0,1.38350658259232E+018,1.38350658259232E+018,False,False,si,,,,,,,,,,0
9,1.14756230442437E+018,Sat Jul 06 17:45:48 +0000 2019,1.14756230442437E+018,1.14756230442437E+018,@KolithaBee @duliponline @satans_feed @iamharshana1 ඒක හරියන්නේ නෑ එතකොට හුකන්න වෙන්නේ නෑ නිදාගනින් යි වෙන්නෙ.,False,"[52, 110]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'KolithaBee', 'name': '𝐊𝐨𝐥𝐢𝐭𝐡𝐚𝐁𝐞𝐞', 'id': 100980318, 'id_str': '100980318', 'indices': [0, 11]}, {'screen_name': 'duliponline', 'name': 'ආර්. බැද්දගේ', 'id': 799677397, 'id_str': '799677397', 'indices': [12, 24]}, {'screen_name': 'satans_feed', 'name': 'Satan🔱', 'id': 1120737878970118145, 'id_str': '1120737878970118145', 'indices': [25, 37]}, {'screen_name': 'iamharshana1', 'name': 'Harshana Kavshalya', 'id': 1072765984468021248, 'id_str': '1072765984468021248', 'indices': [38, 51]}], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.14744458519651E+018,1.14744458519651E+018,100980318,100980318,KolithaBee,4531982057,4531982057,,,,,False,0,1,1,0,1.14727936471278E+018,1.14727936471278E+018,False,False,si,,,,,,,,,,1
10,8.76788085350048E+017,Mon Jun 19 13:05:44 +0000 2017,8.76788085350048E+017,8.76788085350048E+017,ට හුකන්න ෂිප් එකට දිව අහුවෙලා වගේ😃😃😂😂😂 https://t.co/bOcBRbmbRu,False,"[0, 62]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/bOcBRbmbRu', 'expanded_url': 'http://fb.me/RD4bLdZC', 'display_url': 'fb.me/RD4bLdZC', 'indices': [39, 62]}]}","<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>",,,,,,2547990481,2547990481,,,,,False,0,0,0,0,8.76788085350048E+017,8.76788085350048E+017,False,False,si,,,,,False,True,,,,1
11,1.1205913419631E+018,Tue Apr 23 07:32:50 +0000 2019,1.1205913419631E+018,1.1205913419631E+018,"රටේ ගිනිදැල් ඇවිලවීමට උත්සහ කරන පිරිස් සොයා ඔවුන් විනාශ කිරීම රජයේ වගකීමක්-රිෂාඩ්
විස්තර මෙතැනින්: https://t.co/Z4f74iDHUR https://t.co/yPWk22J7ZK",False,"[0, 122]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/Z4f74iDHUR', 'expanded_url': 'http://ow.ly/XAQK50ri9au', 'display_url': 'ow.ly/XAQK50ri9au', 'indices': [99, 122]}], 'media': [{'id': 1120591340507627526, 'id_str': '1120591340507627526', 'indices': [123, 146], 'media_url': 'http://pbs.twimg.com/media/D40j4xVWAAYAusd.png', 'media_url_https': 'https://pbs.twimg.com/media/D40j4xVWAAYAusd.png', 'url': 'https://t.co/yPWk22J7ZK', 'display_url': 'pic.twitter.com/yPWk22J7ZK', 'expanded_url': 'https://twitter.com/adaderanasin/status/1120591341963104256/photo/1', 'type': 'photo', 'original_info': {'width': 700, 'height': 700, 'focus_rects': [{'x': 0, 'y': 0, 'h': 392, 'w': 700}, {'x': 0, 'y': 0, 'h': 700, 'w': 700}, {'x': 0, 'y': 0, 'h': 700, 'w': 614}, {'x': 122, 'y': 0, 'h': 700, 'w': 350}, {'x': 0, 'y': 0, 'h': 700, 'w': 700}]}, 'sizes': {'medium': {'w': 700, 'h': 700, 'resize': 'fit'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 700, 'h': 700, 'resize': 'fit'}}, 'features': {'medium': {'faces': [{'x': 177, 'y': 233, 'h': 185, 'w': 185}]}, 'orig': {'faces': [{'x': 177, 'y': 233, 'h': 185, 'w': 185}]}, 'small': {'faces': [{'x': 171, 'y': 226, 'h': 179, 'w': 179}]}, 'large': {'faces': [{'x': 177, 'y': 233, 'h': 185, 'w': 185}]}}}]}","<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>",,,,,,183904448,183904448,,,,,False,3,25,18,4,1.1205913419631E+018,1.1205913419631E+018,False,False,si,,,,,False,True,"{'media': [{'id': 1120591340507627526, 'id_str': '1120591340507627526', 'indices': [123, 146], 'media_url': 'http://pbs.twimg.com/media/D40j4xVWAAYAusd.png', 'media_url_https': 'https://pbs.twimg.com/media/D40j4xVWAAYAusd.png', 'url': 'https://t.co/yPWk22J7ZK', 'display_url': 'pic.twitter.com/yPWk22J7ZK', 'expanded_url': 'https://twitter.com/adaderanasin/status/1120591341963104256/photo/1', 'type': 'photo', 'original_info': {'width': 700, 'height': 700, 'focus_rects': [{'x': 0, 'y': 0, 'h': 392, 'w': 700}, {'x': 0, 'y': 0, 'h': 700, 'w': 700}, {'x': 0, 'y': 0, 'h': 700, 'w': 614}, {'x': 122, 'y': 0, 'h': 700, 'w': 350}, {'x': 0, 'y': 0, 'h': 700, 'w': 700}]}, 'sizes': {'medium': {'w': 700, 'h': 700, 'resize': 'fit'}, 'small': {'w': 680, 'h': 680, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 700, 'h': 700, 'resize': 'fit'}}, 'features': {'medium': {'faces': [{'x': 177, 'y': 233, 'h': 185, 'w': 185}]}, 'orig': {'faces': [{'x': 177, 'y': 233, 'h': 185, 'w': 185}]}, 'small': {'faces': [{'x': 171, 'y': 226, 'h': 179, 'w': 179}]}, 'large': {'faces': [{'x': 177, 'y': 233, 'h': 185, 'w': 185}]}}, 'media_key': '3_1120591340507627526', 'ext_alt_text': None, 'ext_media_availability': {'status': 'available'}, 'ext_media_color': {'palette': [{'rgb': {'red': 245, 'green': 240, 'blue': 226}, 'percentage': 25.12}, {'rgb': {'red': 38, 'green': 40, 'blue': 30}, 'percentage': 21.18}, {'rgb': {'red': 80, 'green': 7, 'blue': 0}, 'percentage': 16.64}, {'rgb': {'red': 147, 'green': 14, 'blue': 0}, 'percentage': 9.94}, {'rgb': {'red': 51, 'green': 5, 'blue': 0}, 'percentage': 2.56}]}, 'ext': {'mediaStats': {'r': 'Missing', 'ttl': -1}}}]}",,,0
12,1.14212984740308E+018,Fri Jun 21 17:59:10 +0000 2019,1.14212984740308E+018,1.14212984740308E+018,"@akshaypasu @MichaelVaughan පල කැරි පොන්නය අම්මට හුකගන්නෙ නැතුව. ගොන වේස බල්ල. 

 Hi there. Love from sri lanka 
 
ගොන් හුකන්න",False,"[28, 126]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'MichaelVaughan', 'name': 'Michael Vaughan', 'id': 97893963, 'id_str': '97893963', 'indices': [12, 27]}], 'urls': []}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.1419979444989E+018,1.1419979444989E+018,3242017600,3242017600,Kohlify,623929922,623929922,,,,,False,0,31,0,0,1.14199734408001E+018,1.14199734408001E+018,False,False,si,,,,,,,,,,1
15,1.24893552139442E+018,Sat Apr 11 11:26:47 +0000 2020,1.24893552139442E+018,1.24893552139442E+018,@maalupaan අනේ පොන්න පකෝ මට කොහෙවත් නැති එකියක්ට හුකන්න ඕන නෑ.... තොට මුනට කිව්වා වගේ තාමා මේම දැම්මාම... එක පුක ඉරාගෙන දගලන්නේ ගෝතයා...,False,"[11, 136]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'maalupaan', 'name': 'Jerry 🇱🇰', 'id': 4632654077, 'id_str': '4632654077', 'indices': [0, 10]}], 'urls': []}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2489273301074E+018,1.2489273301074E+018,4632654077,4632654077,maalupaan,7.08916415122657E+017,7.08916415122657E+017,,,,,False,0,2,1,0,1.2489273301074E+018,1.2489273301074E+018,False,False,si,,,,,,,,,,1
