,Unnamed: 0,created_at,id,id_str,full_text,truncated,display_text_range,entities,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,user_id,user_id_str,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,reply_count,quote_count,conversation_id,conversation_id_str,favorited,retweeted,lang,supplemental_language,extended_entities,possibly_sensitive,possibly_sensitive_editable,self_thread,quoted_status_id,quoted_status_id_str,quoted_status_permalink,card,label,
2,1.07641617434953E+018,Sat Dec 22 09:56:29 +0000 2018,1.07641617434953E+018,1.07641617434953E+018,මේ හුත්ති කියන ගණන්නම් මට තේරෙන්නෙ නෑ. උබලට තේරෙනවද? https://t.co/HM6QfTd7r4,False,"[0, 76]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/HM6QfTd7r4', 'expanded_url': 'https://www.facebook.com/100002279619500/posts/2019194644833170/', 'display_url': 'facebook.com/10000227961950…', 'indices': [53, 76]}]}","<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>",,,,,,2316579798,2316579798,,,,,False,0,0,0,0,1.07641617434953E+018,1.07641617434953E+018,False,False,si,,,False,True,,,,,,1,
3,1.30862833023349E+018,Wed Sep 23 04:44:41 +0000 2020,1.30862833023349E+018,1.30862833023349E+018,@Nikshazz අපේ කාඩිනල් හිමි පානන්ට මගේ ජේසුට අපහස කරන්න එපා කැරි හුත්ති බැල්ලි පට්ට වෙසියේ. හෙන ගහපිය.,False,"[10, 101]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Nikshazz', 'name': 'Shanika Somatilake', 'id': 873393660833837057, 'id_str': '873393660833837057', 'indices': [0, 9]}], 'urls': []}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.3086026952892E+018,1.3086026952892E+018,8.73393660833837E+017,8.73393660833837E+017,Nikshazz,1.25328910914716E+018,1.25328910914716E+018,,,,,False,0,0,0,0,1.3086026952892E+018,1.3086026952892E+018,False,False,si,,,,,,,,,,1,
4,1.32359749540703E+018,Tue Nov 03 12:06:48 +0000 2020,1.32359749540703E+018,1.32359749540703E+018,"දැන් සැප ඇතිනේද අර වොයිස් නෝට් එක ඇහුවට පස්සේ? අර මෝල් හුත්ති අරූගේ පයියේ ෆොටෝස් අනන් මනන් වටේ යවනවා. ඒ ගමන් තව එකෙක්ව ලව් කරනවා. ඒ group එකේම ඉන්න එවුන් මාරු කර කර එව්වා බෙදාහරිනවා. මේක කොල්ලෙක් ලීක් කරපු රෙකෝඩින් එකක් නෙවේනේ. අර හැතිකරේ රෙකෝඩ් කරලා, ආතල් එකට වටේ යවන එකක් නේ.",False,"[0, 277]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.32359749356987E+018,1.32359749356987E+018,4867064842,4867064842,ExcuzeMiii,4867064842,4867064842,,,,,False,1,22,1,1,1.32359748832283E+018,1.32359748832283E+018,False,False,si,,,,,"{'id': 1323597488322830337, 'id_str': '1323597488322830337'}",,,,,1,
5,1.14454311842066E+018,Fri Jun 28 09:48:38 +0000 2019,1.14454311842066E+018,1.14454311842066E+018,@nirmalaek පව් අනේ ඔයාගෙ අම්මා. එයාගෙ චරිතෙ හොඳට පේනව ඔයාගෙ කමෙන්ට්වලින්. 😆😆,False,"[11, 76]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'nirmalaek', 'name': 'ℕ𝕚𝕣𝕞𝕒𝕝𝕒 ( කිං රාවණා ❤️❤️)©️', 'id': 2923047584, 'id_str': '2923047584', 'indices': [0, 10]}], 'urls': []}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.14454297030304E+018,1.14454297030304E+018,2923047584,2923047584,nirmalaek,3189031129,3189031129,,,,,False,0,0,1,0,1.14427176550344E+018,1.14427176550344E+018,False,False,si,,,,,,,,,,0,
6,6.00947101615452E+017,Wed May 20 08:52:08 +0000 2015,6.00947101615452E+017,6.00947101615452E+017,අපෝ මේ ගෑනුන්ට කට පාලනේ කරගෙන ඉන්න බැරි හැටියක්...  නෙදකින් හුත්ති...   -_-,False,"[0, 75]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>",,,,,,3081775646,3081775646,,,,,False,0,0,0,0,6.00947101615452E+017,6.00947101615452E+017,False,False,si,,,,,,,,,,1,
7,1.19467763774835E+018,Wed Nov 13 18:05:19 +0000 2019,1.19467763774835E+018,1.19467763774835E+018,@Saylaoforos මේ උඹේ මිනිහට කියපන් හරියට කතාකරන්න කියල පයිය ගැනයි පොන්නද නැද්ස කියල බලන එකද උගේ ගේම හුකන කතා නැතුව පාඩුවෙ හිටපන් හුත්ති,False,"[13, 134]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Saylaoforos', 'name': 'Sayla 🐯', 'id': 1064609664309043202, 'id_str': '1064609664309043202', 'indices': [0, 12]}], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.1945981032335E+018,1.1945981032335E+018,1.06460966430904E+018,1.06460966430904E+018,Saylaoforos,1.11020364369594E+018,1.11020364369594E+018,,,"{'id': '01b984d319b42814', 'url': 'https://api.twitter.com/1.1/geo/id/01b984d319b42814.json', 'place_type': 'admin', 'name': 'Ras Al Khaimah', 'full_name': 'Ras Al Khaimah, United Arab Emirates', 'country_code': 'AE', 'country': 'United Arab Emirates', 'contained_within': [], 'bounding_box': {'type': 'Polygon', 'coordinates': [[[55.7414877, 24.8517657], [56.3489937, 24.8517657], [56.3489937, 26.0841599], [55.7414877, 26.0841599]]]}, 'attributes': {}}",,False,0,0,0,0,1.1945981032335E+018,1.1945981032335E+018,False,False,si,,,,,,,,,,1,
8,1.36338672929457E+018,Sun Feb 21 07:15:01 +0000 2021,1.36338672929457E+018,1.36338672929457E+018,මේ හුත්ති ලස්සනයි නම් RT කරන්න ❤️ https://t.co/GgNJt1XHNO,False,"[0, 33]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1363386719828017156, 'id_str': '1363386719828017156', 'indices': [34, 57], 'media_url': 'http://pbs.twimg.com/media/Euu4_4bVgAQrHtJ.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Euu4_4bVgAQrHtJ.jpg', 'url': 'https://t.co/GgNJt1XHNO', 'display_url': 'pic.twitter.com/GgNJt1XHNO', 'expanded_url': 'https://twitter.com/imNaviya/status/1363386729294569476/photo/1', 'type': 'photo', 'original_info': {'width': 1080, 'height': 1249, 'focus_rects': [{'x': 0, 'y': 0, 'h': 605, 'w': 1080}, {'x': 0, 'y': 0, 'h': 1080, 'w': 1080}, {'x': 0, 'y': 0, 'h': 1231, 'w': 1080}, {'x': 0, 'y': 0, 'h': 1249, 'w': 625}, {'x': 0, 'y': 0, 'h': 1249, 'w': 1080}]}, 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1038, 'h': 1200, 'resize': 'fit'}, 'small': {'w': 588, 'h': 680, 'resize': 'fit'}, 'large': {'w': 1080, 'h': 1249, 'resize': 'fit'}}, 'features': {'orig': {'faces': [{'x': 509, 'y': 534, 'h': 309, 'w': 309}]}, 'medium': {'faces': [{'x': 489, 'y': 513, 'h': 296, 'w': 296}]}, 'small': {'faces': [{'x': 277, 'y': 290, 'h': 168, 'w': 168}]}, 'large': {'faces': [{'x': 509, 'y': 534, 'h': 309, 'w': 309}]}}}]}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,3089536357,3089536357,,,,,False,2,23,3,1,1.36338672929457E+018,1.36338672929457E+018,False,False,si,,"{'media': [{'id': 1363386719828017156, 'id_str': '1363386719828017156', 'indices': [34, 57], 'media_url': 'http://pbs.twimg.com/media/Euu4_4bVgAQrHtJ.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Euu4_4bVgAQrHtJ.jpg', 'url': 'https://t.co/GgNJt1XHNO', 'display_url': 'pic.twitter.com/GgNJt1XHNO', 'expanded_url': 'https://twitter.com/imNaviya/status/1363386729294569476/photo/1', 'type': 'photo', 'original_info': {'width': 1080, 'height': 1249, 'focus_rects': [{'x': 0, 'y': 0, 'h': 605, 'w': 1080}, {'x': 0, 'y': 0, 'h': 1080, 'w': 1080}, {'x': 0, 'y': 0, 'h': 1231, 'w': 1080}, {'x': 0, 'y': 0, 'h': 1249, 'w': 625}, {'x': 0, 'y': 0, 'h': 1249, 'w': 1080}]}, 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 1038, 'h': 1200, 'resize': 'fit'}, 'small': {'w': 588, 'h': 680, 'resize': 'fit'}, 'large': {'w': 1080, 'h': 1249, 'resize': 'fit'}}, 'features': {'orig': {'faces': [{'x': 509, 'y': 534, 'h': 309, 'w': 309}]}, 'medium': {'faces': [{'x': 489, 'y': 513, 'h': 296, 'w': 296}]}, 'small': {'faces': [{'x': 277, 'y': 290, 'h': 168, 'w': 168}]}, 'large': {'faces': [{'x': 509, 'y': 534, 'h': 309, 'w': 309}]}}, 'media_key': '3_1363386719828017156', 'ext_alt_text': None, 'ext_media_availability': {'status': 'available'}, 'ext_media_color': {'palette': [{'rgb': {'red': 255, 'green': 255, 'blue': 255}, 'percentage': 54.79}, {'rgb': {'red': 43, 'green': 48, 'blue': 61}, 'percentage': 7.92}, {'rgb': {'red': 165, 'green': 7, 'blue': 25}, 'percentage': 7.47}, {'rgb': {'red': 202, 'green': 151, 'blue': 130}, 'percentage': 7.03}, {'rgb': {'red': 25, 'green': 42, 'blue': 99}, 'percentage': 3.76}]}, 'ext': {'mediaStats': {'r': 'Missing', 'ttl': -1}}}]}",False,True,,,,,,1,
9,1.21912497590426E+018,Mon Jan 20 05:10:19 +0000 2020,1.21912497590426E+018,1.21912497590426E+018,"කෞද බං මේ පො#$% මැසේජ් එකකුත් දාලා බ්ලොක් කරලා 😂

වැලලියන් පොන්නයා https://t.co/EDBOYX4eRn",False,"[0, 66]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1219124961249394688, 'id_str': '1219124961249394688', 'indices': [67, 90], 'media_url': 'http://pbs.twimg.com/media/EOszsWwVAAA2sMY.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EOszsWwVAAA2sMY.jpg', 'url': 'https://t.co/EDBOYX4eRn', 'display_url': 'pic.twitter.com/EDBOYX4eRn', 'expanded_url': 'https://twitter.com/imtutuu/status/1219124975904256000/photo/1', 'type': 'photo', 'original_info': {'width': 945, 'height': 2048, 'focus_rects': [{'x': 0, 'y': 297, 'h': 529, 'w': 945}, {'x': 0, 'y': 89, 'h': 945, 'w': 945}, {'x': 0, 'y': 23, 'h': 1077, 'w': 945}, {'x': 0, 'y': 0, 'h': 1890, 'w': 945}, {'x': 0, 'y': 0, 'h': 2048, 'w': 945}]}, 'sizes': {'medium': {'w': 554, 'h': 1200, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 314, 'h': 680, 'resize': 'fit'}, 'large': {'w': 945, 'h': 2048, 'resize': 'fit'}}, 'features': {'medium': {'faces': [{'x': 35, 'y': 213, 'h': 58, 'w': 58}]}, 'small': {'faces': [{'x': 19, 'y': 120, 'h': 33, 'w': 33}]}, 'orig': {'faces': [{'x': 60, 'y': 364, 'h': 100, 'w': 100}]}, 'large': {'faces': [{'x': 60, 'y': 364, 'h': 100, 'w': 100}]}}}, {'id': 1219124970279723009, 'id_str': '1219124970279723009', 'indices': [67, 90], 'media_url': 'http://pbs.twimg.com/media/EOszs4ZU4AERoWS.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EOszs4ZU4AERoWS.jpg', 'url': 'https://t.co/EDBOYX4eRn', 'display_url': 'pic.twitter.com/EDBOYX4eRn', 'expanded_url': 'https://twitter.com/imtutuu/status/1219124975904256000/photo/1', 'type': 'photo', 'original_info': {'width': 945, 'height': 2048, 'focus_rects': [{'x': 0, 'y': 1519, 'h': 529, 'w': 945}, {'x': 0, 'y': 1103, 'h': 945, 'w': 945}, {'x': 0, 'y': 971, 'h': 1077, 'w': 945}, {'x': 0, 'y': 158, 'h': 1890, 'w': 945}, {'x': 0, 'y': 0, 'h': 2048, 'w': 945}]}, 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 945, 'h': 2048, 'resize': 'fit'}, 'small': {'w': 314, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 554, 'h': 1200, 'resize': 'fit'}}, 'features': {'orig': {'faces': [{'x': 838, 'y': 112, 'h': 88, 'w': 88}]}, 'large': {'faces': [{'x': 838, 'y': 112, 'h': 88, 'w': 88}]}, 'small': {'faces': [{'x': 278, 'y': 37, 'h': 29, 'w': 29}]}, 'medium': {'faces': [{'x': 491, 'y': 65, 'h': 51, 'w': 51}]}}}]}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,4691793109,4691793109,,,"{'id': '173c2bb9d42baaa5', 'url': 'https://api.twitter.com/1.1/geo/id/173c2bb9d42baaa5.json', 'place_type': 'country', 'name': 'Sri Lanka', 'full_name': 'Sri Lanka', 'country_code': 'LK', 'country': 'Sri Lanka', 'contained_within': [], 'bounding_box': {'type': 'Polygon', 'coordinates': [[[79.6505263, 5.9213829], [81.8787816, 5.9213829], [81.8787816, 9.8359375], [79.6505263, 9.8359375]]]}, 'attributes': {}}",,False,1,96,34,0,1.21912497590426E+018,1.21912497590426E+018,False,False,si,,"{'media': [{'id': 1219124961249394688, 'id_str': '1219124961249394688', 'indices': [67, 90], 'media_url': 'http://pbs.twimg.com/media/EOszsWwVAAA2sMY.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EOszsWwVAAA2sMY.jpg', 'url': 'https://t.co/EDBOYX4eRn', 'display_url': 'pic.twitter.com/EDBOYX4eRn', 'expanded_url': 'https://twitter.com/imtutuu/status/1219124975904256000/photo/1', 'type': 'photo', 'original_info': {'width': 945, 'height': 2048, 'focus_rects': [{'x': 0, 'y': 297, 'h': 529, 'w': 945}, {'x': 0, 'y': 89, 'h': 945, 'w': 945}, {'x': 0, 'y': 23, 'h': 1077, 'w': 945}, {'x': 0, 'y': 0, 'h': 1890, 'w': 945}, {'x': 0, 'y': 0, 'h': 2048, 'w': 945}]}, 'sizes': {'medium': {'w': 554, 'h': 1200, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'small': {'w': 314, 'h': 680, 'resize': 'fit'}, 'large': {'w': 945, 'h': 2048, 'resize': 'fit'}}, 'features': {'medium': {'faces': [{'x': 35, 'y': 213, 'h': 58, 'w': 58}]}, 'small': {'faces': [{'x': 19, 'y': 120, 'h': 33, 'w': 33}]}, 'orig': {'faces': [{'x': 60, 'y': 364, 'h': 100, 'w': 100}]}, 'large': {'faces': [{'x': 60, 'y': 364, 'h': 100, 'w': 100}]}}, 'media_key': '3_1219124961249394688', 'ext_media_color': {'palette': [{'rgb': {'red': 0, 'green': 0, 'blue': 0}, 'percentage': 84.2}, {'rgb': {'red': 152, 'green': 171, 'blue': 178}, 'percentage': 9.3}, {'rgb': {'red': 92, 'green': 111, 'blue': 137}, 'percentage': 2.4}, {'rgb': {'red': 29, 'green': 161, 'blue': 243}, 'percentage': 0.7}, {'rgb': {'red': 76, 'green': 169, 'blue': 46}, 'percentage': 0.28}]}, 'ext_alt_text': None, 'ext_media_availability': {'status': 'available'}, 'ext': {'mediaStats': {'r': 'Missing', 'ttl': -1}}}, {'id': 1219124970279723009, 'id_str': '1219124970279723009', 'indices': [67, 90], 'media_url': 'http://pbs.twimg.com/media/EOszs4ZU4AERoWS.jpg', 'media_url_https': 'https://pbs.twimg.com/media/EOszs4ZU4AERoWS.jpg', 'url': 'https://t.co/EDBOYX4eRn', 'display_url': 'pic.twitter.com/EDBOYX4eRn', 'expanded_url': 'https://twitter.com/imtutuu/status/1219124975904256000/photo/1', 'type': 'photo', 'original_info': {'width': 945, 'height': 2048, 'focus_rects': [{'x': 0, 'y': 1519, 'h': 529, 'w': 945}, {'x': 0, 'y': 1103, 'h': 945, 'w': 945}, {'x': 0, 'y': 971, 'h': 1077, 'w': 945}, {'x': 0, 'y': 158, 'h': 1890, 'w': 945}, {'x': 0, 'y': 0, 'h': 2048, 'w': 945}]}, 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 945, 'h': 2048, 'resize': 'fit'}, 'small': {'w': 314, 'h': 680, 'resize': 'fit'}, 'medium': {'w': 554, 'h': 1200, 'resize': 'fit'}}, 'features': {'orig': {'faces': [{'x': 838, 'y': 112, 'h': 88, 'w': 88}]}, 'large': {'faces': [{'x': 838, 'y': 112, 'h': 88, 'w': 88}]}, 'small': {'faces': [{'x': 278, 'y': 37, 'h': 29, 'w': 29}]}, 'medium': {'faces': [{'x': 491, 'y': 65, 'h': 51, 'w': 51}]}}, 'media_key': '3_1219124970279723009', 'ext_alt_text': None, 'ext_media_availability': {'status': 'available'}, 'ext_media_color': {'palette': [{'rgb': {'red': 0, 'green': 0, 'blue': 0}, 'percentage': 98.77}, {'rgb': {'red': 116, 'green': 116, 'blue': 116}, 'percentage': 0.75}, {'rgb': {'red': 76, 'green': 73, 'blue': 56}, 'percentage': 0.11}]}, 'ext': {'mediaStats': {'r': 'Missing', 'ttl': -1}}}]}",False,True,,,,,,1,
10,1.23955725575579E+018,Mon Mar 16 14:20:54 +0000 2020,1.23955725575579E+018,1.23955725575579E+018,@SLchathu @Sujith_Ayya ගොන් හුත්ති 😡,False,"[23, 36]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'SLchathu', 'name': 'CHATHU 🇱🇰', 'id': 710564595585318912, 'id_str': '710564595585318912', 'indices': [0, 9]}, {'screen_name': 'Sujith_Ayya', 'name': 'සුජිත් අයියා', 'id': 1854407280, 'id_str': '1854407280', 'indices': [10, 22]}], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.23944492607448E+018,1.23944492607448E+018,7.10564595585319E+017,7.10564595585319E+017,SLchathu,2911831267,2911831267,,,,,False,0,2,0,0,1.23944492607448E+018,1.23944492607448E+018,False,False,si,,,,,,,,,,1,
11,1.29669650963582E+018,Fri Aug 21 06:31:54 +0000 2020,1.29669650963582E+018,1.29669650963582E+018,"හුත්තිගේ පුතා"" දන්නවාද?

සයන්න වෙනුවට හයන්න කියවීමක් අප බසේ පවතී ඒ නිසා සදුන් හදුන් කියා වහරයි. සඳ හඳ කියා වහරයි. සුතන්න ඇත්ති, සුත්ති [මව] යනු පුතුන් ඇත්තීය. හෙළ බස මරා දැමීමෙන් පසු අද එය පිළිගන්නේ කුණු කතාවක් ලෙසිනි. [සුතන් ඇත්ති සුත්ති, සයන්න ඉවත් වී හුත්ති වේ. - https://t.co/dV7UWL72be",False,"[0, 266]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1296696503151411201, 'id_str': '1296696503151411201', 'indices': [267, 290], 'media_url': 'http://pbs.twimg.com/media/Ef7KmXPUwAE5oUW.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Ef7KmXPUwAE5oUW.jpg', 'url': 'https://t.co/dV7UWL72be', 'display_url': 'pic.twitter.com/dV7UWL72be', 'expanded_url': 'https://twitter.com/sandunendika/status/1296696509635821568/photo/1', 'type': 'photo', 'original_info': {'width': 1280, 'height': 744, 'focus_rects': [{'x': 0, 'y': 27, 'h': 717, 'w': 1280}, {'x': 236, 'y': 0, 'h': 744, 'w': 744}, {'x': 282, 'y': 0, 'h': 744, 'w': 653}, {'x': 422, 'y': 0, 'h': 744, 'w': 372}, {'x': 0, 'y': 0, 'h': 744, 'w': 1280}]}, 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1280, 'h': 744, 'resize': 'fit'}, 'small': {'w': 680, 'h': 395, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 698, 'resize': 'fit'}}, 'features': {'large': {'faces': []}, 'small': {'faces': []}, 'orig': {'faces': []}, 'medium': {'faces': []}}}]}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,717881136,717881136,,,,,False,34,102,4,9,1.29669650963582E+018,1.29669650963582E+018,False,False,si,,"{'media': [{'id': 1296696503151411201, 'id_str': '1296696503151411201', 'indices': [267, 290], 'media_url': 'http://pbs.twimg.com/media/Ef7KmXPUwAE5oUW.jpg', 'media_url_https': 'https://pbs.twimg.com/media/Ef7KmXPUwAE5oUW.jpg', 'url': 'https://t.co/dV7UWL72be', 'display_url': 'pic.twitter.com/dV7UWL72be', 'expanded_url': 'https://twitter.com/sandunendika/status/1296696509635821568/photo/1', 'type': 'photo', 'original_info': {'width': 1280, 'height': 744, 'focus_rects': [{'x': 0, 'y': 27, 'h': 717, 'w': 1280}, {'x': 236, 'y': 0, 'h': 744, 'w': 744}, {'x': 282, 'y': 0, 'h': 744, 'w': 653}, {'x': 422, 'y': 0, 'h': 744, 'w': 372}, {'x': 0, 'y': 0, 'h': 744, 'w': 1280}]}, 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 1280, 'h': 744, 'resize': 'fit'}, 'small': {'w': 680, 'h': 395, 'resize': 'fit'}, 'medium': {'w': 1200, 'h': 698, 'resize': 'fit'}}, 'features': {'large': {'faces': []}, 'small': {'faces': []}, 'orig': {'faces': []}, 'medium': {'faces': []}}, 'media_key': '3_1296696503151411201', 'ext_alt_text': None, 'ext_media_availability': {'status': 'available'}, 'ext_media_color': {'palette': [{'rgb': {'red': 4, 'green': 4, 'blue': 4}, 'percentage': 93.34}, {'rgb': {'red': 181, 'green': 165, 'blue': 165}, 'percentage': 5.25}]}, 'ext': {'mediaStats': {'r': 'Missing', 'ttl': -1}}}]}",True,True,"{'id': 1296696509635821568, 'id_str': '1296696509635821568'}",,,,,1,
