,Unnamed: 0,created_at,id,id_str,full_text,truncated,display_text_range,entities,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,user_id,user_id_str,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,reply_count,quote_count,conversation_id,conversation_id_str,favorited,retweeted,lang,supplemental_language,extended_entities,possibly_sensitive,possibly_sensitive_editable,self_thread,quoted_status_id,quoted_status_id_str,quoted_status_permalink,card,label,
0,9.97689622716142E+017,Sat May 19 04:05:16 +0000 2018,9.97689622716142E+017,9.97689622716142E+017,@eurekagangabada ලබන අවුරැද්දෙ මේ පොන්නයො දෙන්න හමුදාවට පිරිබාහරන්ට ඉටිපන්දම් පත්තුකරන්න කියලා නියෝග කරොත් පුදුම වෙන්න එපා...😡😡,False,"[17, 127]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'eurekagangabada', 'name': 'Eureka De Silva🇱🇰 🇦🇺', 'id': 1600251336, 'id_str': '1600251336', 'indices': [0, 16]}], 'urls': []}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",9.97518265164317E+017,9.97518265164317E+017,1600251336,1600251336,eurekagangabada,2683641581,2683641581,,,"{'id': '7d588036fe12e124', 'url': 'https://api.twitter.com/1.1/geo/id/7d588036fe12e124.json', 'place_type': 'city', 'name': 'Rome', 'full_name': 'Rome, Lazio', 'country_code': 'IT', 'country': 'Italy', 'contained_within': [], 'bounding_box': {'type': 'Polygon', 'coordinates': [[[12.2344266, 41.6558738], [12.8558641, 41.6558738], [12.8558641, 42.140959], [12.2344266, 42.140959]]]}, 'attributes': {}}",,False,1,5,1,0,9.97518265164317E+017,9.97518265164317E+017,False,False,si,,,,,,,,,,1,
1,9.12900248917434E+017,Wed Sep 27 04:42:34 +0000 2017,9.12900248917434E+017,9.12900248917434E+017,"@kazZtr_ කාට කියන්නද බං මේවා?
මුන් වගේ කොතල හිඹුටු පොන්නයො නිසා Govt Campus වලින් out වෙලා හොඳ රස්සාවක් හොයාගෙන ඉන්න උන් බහුතරයත් චා වෙනවා",False,"[9, 138]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'kazZtr_', 'name': 'kasun', 'id': 195013676, 'id_str': '195013676', 'indices': [0, 8]}], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",9.12889136524096E+017,9.12889136524096E+017,195013676,195013676,kazZtr_,199129412,199129412,,,,,False,0,1,1,0,9.12710048253592E+017,9.12710048253592E+017,False,False,si,,,,,,,,,,1,
2,1.23811545932252E+018,Thu Mar 12 14:51:43 +0000 2020,1.23811545932252E+018,1.23811545932252E+018,"බූරු පුතානෝ;
ගෝටට චන්දෙ දීපු රට විරුවො තාම ඒ රටවල්වල ඉන්නෙ.ඔය ඇවිත් ඉන්නෙ බොලාගෙ වැසිකිලි පොන්නයො සෙටි එකයි ,3% එවුන් 
එකනෙ රන විරුවට ගරහන්නෙ. https://t.co/B9T35pCpdw",False,"[0, 142]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1238114964172398598, 'id_str': '1238114964172398598', 'indices': [143, 166], 'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/1238114964172398598/pu/img/CN66AYxVhgUnEJNC.jpg', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/1238114964172398598/pu/img/CN66AYxVhgUnEJNC.jpg', 'url': 'https://t.co/B9T35pCpdw', 'display_url': 'pic.twitter.com/B9T35pCpdw', 'expanded_url': 'https://twitter.com/ranjanieguruge/status/1238115459322523651/video/1', 'type': 'photo', 'original_info': {'width': 266, 'height': 400}, 'sizes': {'medium': {'w': 266, 'h': 400, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 266, 'h': 400, 'resize': 'fit'}, 'small': {'w': 266, 'h': 400, 'resize': 'fit'}}, 'features': {}}]}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.23811262343621E+018,1.23811262343621E+018,2683641581,2683641581,ranjanieguruge,2683641581,2683641581,,,,,False,1,6,3,2,1.23811262343621E+018,1.23811262343621E+018,False,False,si,,"{'media': [{'id': 1238114964172398598, 'id_str': '1238114964172398598', 'indices': [143, 166], 'media_url': 'http://pbs.twimg.com/ext_tw_video_thumb/1238114964172398598/pu/img/CN66AYxVhgUnEJNC.jpg', 'media_url_https': 'https://pbs.twimg.com/ext_tw_video_thumb/1238114964172398598/pu/img/CN66AYxVhgUnEJNC.jpg', 'url': 'https://t.co/B9T35pCpdw', 'display_url': 'pic.twitter.com/B9T35pCpdw', 'expanded_url': 'https://twitter.com/ranjanieguruge/status/1238115459322523651/video/1', 'type': 'video', 'original_info': {'width': 266, 'height': 400}, 'sizes': {'medium': {'w': 266, 'h': 400, 'resize': 'fit'}, 'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'large': {'w': 266, 'h': 400, 'resize': 'fit'}, 'small': {'w': 266, 'h': 400, 'resize': 'fit'}}, 'video_info': {'aspect_ratio': [133, 200], 'duration_millis': 130049, 'variants': [{'bitrate': 632000, 'content_type': 'video/mp4', 'url': 'https://video.twimg.com/ext_tw_video/1238114964172398598/pu/vid/266x400/1o9T6mUMzJ9f1TW5.mp4?tag=10'}, {'content_type': 'application/x-mpegURL', 'url': 'https://video.twimg.com/ext_tw_video/1238114964172398598/pu/pl/FzBkcSthYXpkL7-E.m3u8?tag=10'}]}, 'features': {}, 'media_key': '7_1238114964172398598', 'ext_alt_text': None, 'ext_media_availability': {'status': 'available'}, 'ext_media_color': None, 'ext': {'mediaStats': {'r': {'ok': {'viewCount': '128'}}, 'ttl': -1}}, 'additional_media_info': {'monetizable': False}}]}",False,True,"{'id': 1238112623436206080, 'id_str': '1238112623436206080'}",,,,,1,
3,1.12027437237847E+018,Mon Apr 22 10:33:18 +0000 2019,1.12027437237847E+018,1.12027437237847E+018,@Now_u_see_meeee @noodles1191 තොපි වරෙව් චන්දෙ ඉල්ලගෙන පොන්නයො ටික රෙදි ලිහල යවන්නෙ,False,"[30, 83]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Noodles1191', 'name': '🌼අනාගතය🌼', 'id': 1285895007254257665, 'id_str': '1285895007254257665', 'indices': [17, 29]}], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.12027275104502E+018,1.12027275104502E+018,1.09788994420116E+018,1.09788994420116E+018,WhalesNew,1.09788994420116E+018,1.09788994420116E+018,,,,,False,0,1,0,0,1.12023412844676E+018,1.12023412844676E+018,False,False,si,,,,,,,,,,1,
4,1.0669562307139E+018,Mon Nov 26 07:26:03 +0000 2018,1.0669562307139E+018,1.0669562307139E+018,දකුන සමග ඇරගැනීමට නියමිතයි😂😂😂😂😂😂😂 කීබොඩ්  හොදට කෙටෙනවා  අපෙත්  ඒ කියලා බොරුවට ෆේක් පොන්නයො එක්ක කීබොඩ් වලි නම් යන්නෙ නෑ😕😕😙😙,False,"[0, 123]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>",,,,,,8.91470428685848E+017,8.91470428685848E+017,,,,,False,0,0,0,0,1.0669562307139E+018,1.0669562307139E+018,False,False,si,,,,,,,,,,1,
5,1.16075777383287E+018,Mon Aug 12 03:39:53 +0000 2019,1.16075777383287E+018,1.16075777383287E+018,@MangalaLK පොන්නයො කලබල උනාට ජනතා කැමැත්ත ඒක. තමුං ප්‍රාදේශීය සභා මන්ත්‍රී තනතුරකටවත් ආයෙ තෝරන්නෙ නෑ මාතර මිනිස්සු.  හරියට හොරගොල්ලෙ බටකොළ ආච්චි වගේ.,False,"[11, 149]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'MangalaLK', 'name': 'Mangala Samaraweera', 'id': 3032260688, 'id_str': '3032260688', 'indices': [0, 10]}], 'urls': []}","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.16051631117415E+018,1.16051631117415E+018,3032260688,3032260688,MangalaLK,620582014,620582014,,,,,False,0,0,0,0,1.16051631117415E+018,1.16051631117415E+018,False,False,si,,,,,,,,,,1,
6,1.16079829098568E+018,Mon Aug 12 06:20:53 +0000 2019,1.16079829098568E+018,1.16079829098568E+018,"2015 මෛත්‍රීට වැඩ කරා කියල
මට ගහන තරමක් මඩ දෙයියනේ...සමහරුනම් කෙලින්ම කිව්ව අපේ ආන්ඩුවක් එනකං ඉඳපන් කියල. සමහරු නම් කෙලින් එන්නෙ නැතුව ෆේක් වලින් කොන්දක් නැතුව පොන්නයො වගේ හැසිරෙනව කාලකන්නි දෙයක් කරගන්න බැරුව. 

දේශපාලකයින්ට වඩා රිදුනේ එදා උන්ගෙ කටු කන එවුන්ටනෙ උන් තමා ගේමට එන්නෙ",False,"[0, 280]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,189878124,189878124,,,"{'id': '7efb0fd5276fdda5', 'url': 'https://api.twitter.com/1.1/geo/id/7efb0fd5276fdda5.json', 'place_type': 'city', 'name': 'Toshima-ku', 'full_name': 'Toshima-ku, Tokyo', 'country_code': 'JP', 'country': 'Japan', 'contained_within': [], 'bounding_box': {'type': 'Polygon', 'coordinates': [[[139.677525, 35.712228], [139.752663, 35.712228], [139.752663, 35.745989], [139.677525, 35.745989]]]}, 'attributes': {}}",,True,0,6,0,0,1.16079829098568E+018,1.16079829098568E+018,False,False,si,,,,,,1.16077321224381E+018,1.16077321224381E+018,"{'url': 'https://t.co/5Okp8VGI0h', 'expanded': 'https://twitter.com/Sansajran/status/1160773212243812356', 'display': 'twitter.com/Sansajran/stat…'}",,1,
7,1.1265018610102E+018,Thu May 09 14:59:07 +0000 2019,1.1265018610102E+018,1.1265018610102E+018,@Prashan741 @irajonline ඔව් ඉතින් රැඩිකල් වෙන්න ඔය තරම් පුකවල් ලෙවකන තමුසෙල වගේ ලොද පොන්නයො එක්ක බලද්දි නම් හොදයි.,False,"[24, 114]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Prashan741', 'name': 'Prashan74', 'id': 854019091874562048, 'id_str': '854019091874562048', 'indices': [0, 11]}, {'screen_name': 'irajonline', 'name': 'IRAJ', 'id': 124982587, 'id_str': '124982587', 'indices': [12, 23]}], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.12648282661695E+018,1.12648282661695E+018,8.54019091874562E+017,8.54019091874562E+017,Prashan741,155507951,155507951,,,,,False,0,18,2,0,1.12645369898756E+018,1.12645369898756E+018,False,False,si,,,,,,,,,,1,
8,1.12033277541902E+018,Mon Apr 22 14:25:23 +0000 2019,1.12033277541902E+018,1.12033277541902E+018,"ලංකාවෙ දේශපාලුවෝ වගේ කාලකණ්නි පොන්නයො දැකල නෑ කොහෙවත් !!
#EasterSundayAttacksLK #EasterAttackSL",False,"[0, 95]","{'hashtags': [{'text': 'EasterSundayAttacksLK', 'indices': [57, 79]}, {'text': 'EasterAttackSL', 'indices': [80, 95]}], 'symbols': [], 'user_mentions': [], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,4829912481,4829912481,,,,,False,0,6,0,0,1.12033277541902E+018,1.12033277541902E+018,False,False,si,,,,,,,,,,1,
9,5.7667704902638E+017,Sat Mar 14 09:31:37 +0000 2015,5.7667704902638E+017,5.7667704902638E+017,ෆේක් උන් කියන්නේ පොන්නයො ටිකක් – looking for New option to delete my fb account ,),False,"[0, 82]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>",,,,,,609322869,609322869,,,,,False,0,0,0,0,5.7667704902638E+017,5.7667704902638E+017,False,False,en,,,,,,,,,,1
