,Unnamed: 0,created_at,id,id_str,full_text,truncated,display_text_range,entities,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,user_id,user_id_str,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,reply_count,quote_count,conversation_id,conversation_id_str,favorited,retweeted,lang,supplemental_language,possibly_sensitive,possibly_sensitive_editable,quoted_status_id,quoted_status_id_str,quoted_status_permalink,self_thread,extended_entities,label
0,2.93739868608147E+017,Tue Jan 22 15:20:16 +0000 2013,2.93739868608147E+017,2.93739868608147E+017,"පුංචි පවුල රත්තරන්? බැල්ලි, කරුණාකරළ.",False,"[0, 37]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","<a href=""https://dabr.co.uk"" rel=""nofollow"">Dabr</a>",,,,,,31069427,31069427,,,,,False,4,3,0,0,2.93739868608147E+017,2.93739868608147E+017,False,False,si,,,,,,,,,1
1,1.20202352599497E+018,Wed Dec 04 00:35:15 +0000 2019,1.20202352599497E+018,1.20202352599497E+018,@lankacnews අනේ ඔය බැල්ලි නිට්ටබුව පාර හදද්දි තප්පය කැඩුනා කියලා වන්දි ගත්තා පාරට දිපු ඉඩම් වලින් දැනට වැඩිම වටිනාකමක් ගත්තේ ඔය බැල්ලි,False,"[12, 134]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'lankacnews', 'name': 'lanka C news', 'id': 230640891, 'id_str': '230640891', 'indices': [0, 11]}], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.20173092108423E+018,1.20173092108423E+018,230640891,230640891,lankacnews,1.19603895100323E+018,1.19603895100323E+018,,,,,False,0,0,0,0,1.20173092108423E+018,1.20173092108423E+018,False,False,si,,,,,,,,,1
2,1.32328946878322E+018,Mon Nov 02 15:42:49 +0000 2020,1.32328946878322E+018,1.32328946878322E+018,"සොන්ගුල් මෙරාල්ගේ කනට ගහපු එක හොදයි.

මෙරාල් කලේ අහස පොළව නුහුලන අපරාදයක්..පරට්ට බැල්ලි.. 

ලැජ්ජ නැතිකම තමා  ඉතින්...ගෑනුනේ 😖",False,"[0, 126]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,3089536357,3089536357,,,,,False,0,9,1,1,1.32328946878322E+018,1.32328946878322E+018,False,False,si,,,,,,,,,1
4,1.54984096592953E+017,Thu Jan 05 17:54:22 +0000 2012,1.54984096592953E+017,1.54984096592953E+017,@PhuckYou_ බැල්ලි :P,False,"[0, 20]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'PhuckYou_', 'name': 'Sav', 'id': 212221864, 'id_str': '212221864', 'indices': [0, 10]}], 'urls': []}","<a href=""https://chrome.google.com/extensions/detail/encaiiljifbdbjlphpgpiimidegddhic"" rel=""nofollow"">Silver Bird</a>",1.54983773451207E+017,1.54983773451207E+017,212221864,212221864,PhuckYou_,71809949,71809949,,,,,False,0,0,1,0,1.54983773451207E+017,1.54983773451207E+017,False,False,si,,,,,,,,,1
5,1.30862833023349E+018,Wed Sep 23 04:44:41 +0000 2020,1.30862833023349E+018,1.30862833023349E+018,@Nikshazz අපේ කාඩිනල් හිමි පානන්ට මගේ ජේසුට අපහස කරන්න එපා කැරි හුත්ති බැල්ලි පට්ට වෙසියේ. හෙන ගහපිය.,False,"[10, 101]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Nikshazz', 'name': 'Shanika Somatilake', 'id': 873393660833837057, 'id_str': '873393660833837057', 'indices': [0, 9]}], 'urls': []}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.3086026952892E+018,1.3086026952892E+018,8.73393660833837E+017,8.73393660833837E+017,Nikshazz,1.25328910914716E+018,1.25328910914716E+018,,,,,False,0,0,0,0,1.3086026952892E+018,1.3086026952892E+018,False,False,si,,,,,,,,,1
7,1.25973281259851E+018,Mon May 11 06:31:21 +0000 2020,1.25973281259851E+018,1.25973281259851E+018,@Hkrish92 ඔව් බැල්ලි පිට යනවද නැද්ද කියලා අවදානයෙන් ඉන්නවාට වඩා ලෙහෙසියි නේද වද සැත්කම.,False,"[10, 87]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Hkrish92', 'name': 'Mahesh®️', 'id': 4358023575, 'id_str': '4358023575', 'indices': [0, 9]}], 'urls': []}","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.25967583971046E+018,1.25967583971046E+018,4358023575,4358023575,Hkrish92,150624162,150624162,,,,,False,0,6,1,0,1.25967583971046E+018,1.25967583971046E+018,False,False,si,,,,,,,,,1
9,7.3165211847861E+017,Sun May 15 01:07:13 +0000 2016,7.3165211847861E+017,7.3165211847861E+017,@DeVindula පට්ට බැල්ලි..,False,"[11, 24]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",7.31347617876038E+017,7.31347617876038E+017,2990685931,2990685931,Buri_Bunis,150624162,150624162,,,,,False,0,1,1,0,7.31347617876038E+017,7.31347617876038E+017,False,False,si,,,,,,,,,1
10,1.12413590818417E+018,Fri May 03 02:17:40 +0000 2019,1.12413590818417E+018,1.12413590818417E+018,"දෙසිකා අක්කාගෙ බැල්ලි නම් හා
@Wind_Desika",False,"[0, 41]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Wind_Desika', 'name': 'WinD', 'id': 2533578847, 'id_str': '2533578847', 'indices': [29, 41]}], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,9.02818658757386E+017,9.02818658757386E+017,,,,,True,0,10,1,0,1.12413590818417E+018,1.12413590818417E+018,False,False,si,,,,1.12361787624881E+018,1.12361787624881E+018,"{'url': 'https://t.co/ssQEzRH0Fn', 'expanded': 'https://twitter.com/Sanju_Live/status/1123617876248805376', 'display': 'twitter.com/Sanju_Live/sta…'}",,,1
11,8.34354812401701E+017,Wed Feb 22 10:51:03 +0000 2017,8.34354812401701E+017,8.34354812401701E+017,Lokuma bitch thamai Dhanya 😩😩 මහ බැල්ලි 🐶🐕,False,"[0, 42]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,7.27767441892315E+017,7.27767441892315E+017,,,,,False,0,1,2,0,8.34354812401701E+017,8.34354812401701E+017,False,False,et,,,,,,,,,1
12,9.45649237408203E+017,Tue Dec 26 13:35:22 +0000 2017,9.45649237408203E+017,9.45649237408203E+017,වල් බැල්ලි ගහනවා තොට වැලි @ sorry  😐 i got that name shit shot shit  head shot 😂 https://t.co/cZVIUGpIIW,False,"[0, 80]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [{'url': 'https://t.co/cZVIUGpIIW', 'expanded_url': 'https://twitter.com/amisosweet/status/945640091669499907', 'display_url': 'twitter.com/amisosweet/sta…', 'indices': [81, 104]}]}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,401184754,401184754,,,"{'id': '173c2bb9d42baaa5', 'url': 'https://api.twitter.com/1.1/geo/id/173c2bb9d42baaa5.json', 'place_type': 'country', 'name': 'Sri Lanka', 'full_name': 'Sri Lanka', 'country_code': 'LK', 'country': 'Sri Lanka', 'contained_within': [], 'bounding_box': {'type': 'Polygon', 'coordinates': [[[79.6505263, 5.9213829], [81.8787816, 5.9213829], [81.8787816, 9.8359375], [79.6505263, 9.8359375]]]}, 'attributes': {}}",,True,0,1,0,0,9.45649237408203E+017,9.45649237408203E+017,False,False,en,,False,True,9.456400916695E+017,9.456400916695E+017,"{'url': 'https://t.co/cZVIUGpIIW', 'expanded': 'https://twitter.com/amisosweet/status/945640091669499907', 'display': 'twitter.com/amisosweet/sta…'}",,,1
