,Unnamed: 0,created_at,id,id_str,full_text,truncated,display_text_range,entities,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,user_id,user_id_str,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,reply_count,quote_count,conversation_id,conversation_id_str,favorited,retweeted,lang,supplemental_language,extended_entities,possibly_sensitive,possibly_sensitive_editable,conversation_control,limited_actions,self_thread,quoted_status_id,quoted_status_id_str,quoted_status_permalink,card,label,
0,1.27358502069155E+018,Thu Jun 18 11:55:05 +0000 2020,1.27358502069155E+018,1.27358502069155E+018,@Chandu_original @GaurawaLakshan කවුද මෙතනින් කැරියා,False,"[33, 52]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Chandu_original', 'name': '🅒🅗🅐🅝🅓🅤ᵅ💫', 'id': 1181169304877879297, 'id_str': '1181169304877879297', 'indices': [0, 16]}, {'screen_name': 'GaurawaLakshan', 'name': 'Mr.Gauwa | 🇱🇰', 'id': 1217387594415296513, 'id_str': '1217387594415296513', 'indices': [17, 32]}], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.27356936440352E+018,1.27356936440352E+018,1.18116930487788E+018,1.18116930487788E+018,Chandu_original,1.05788519463031E+018,1.05788519463031E+018,,,,,False,0,0,1,0,1.27351986532466E+018,1.27351986532466E+018,False,False,si,,,,,,,,,,,,1,
1,1.13624345823303E+018,Wed Jun 05 12:08:45 +0000 2019,1.13624345823303E+018,1.13624345823303E+018,@MangalaLK කැරියා දෙහිවල පැත්තේ වරෙන්කෝ....... බල්ලොන්ට කියවලා පුකේ අරින්නේ,False,"[11, 75]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'MangalaLK', 'name': 'Mangala Samaraweera', 'id': 3032260688, 'id_str': '3032260688', 'indices': [0, 10]}], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.13624167804867E+018,1.13624167804867E+018,3032260688,3032260688,MangalaLK,8.17375090610315E+017,8.17375090610315E+017,,,,,False,0,9,0,0,1.13624167804867E+018,1.13624167804867E+018,False,False,si,,,,,,,,,,,,1,
2,1.24941623037869E+018,Sun Apr 12 19:16:57 +0000 2020,1.24941623037869E+018,1.24941623037869E+018,දෙනෝ දාහන් දෙනා හදන පෝස්ට් දාන එක හොදයි මං දැම්මම තමයි හෙලාදකින්නෙ 😂 බෞකාපන් හුත්තො 🤣,False,"[0, 85]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,4691793109,4691793109,,,,,False,1,33,3,0,1.24941623037869E+018,1.24941623037869E+018,False,False,si,,,,,,,,,,,,1,
3,1.24793410796904E+018,Wed Apr 08 17:07:31 +0000 2020,1.24793410796904E+018,1.24793410796904E+018,"කියන්න දෙයක් තියෙනවනම් මූනට කියපන් හුත්තෝ. බොරැ කේලම් වලට මල්ජංගි ඇදගෙන ලිං කටවල් ගානෙ අනුන්ගෙ රෙදි අපුල්ලන්නෙපා පොන්න කැරියා

#පකේපිරිමි",False,"[0, 137]","{'hashtags': [{'text': 'පකේපිරිමි', 'indices': [127, 137]}], 'symbols': [], 'user_mentions': [], 'urls': []}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,1510693087,1510693087,,,,,False,0,11,2,0,1.24793410796904E+018,1.24793410796904E+018,False,False,si,,,,,,,,,,,,1,
4,1.23881035830057E+018,Sat Mar 14 12:53:00 +0000 2020,1.23881035830057E+018,1.23881035830057E+018,@ImrazAJ @Chandu_original චන්දු හෙන කැරියා. ඔකා බර්ත්ඩෙෙක බොරුවක් දාලනෙ ටෞකන්ඩ. . ඔකාගෙ බර්ත්ඩෙෙක අද.,False,"[26, 101]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'ImrazAJ', 'name': 'Imraz Azeez 🇱🇰', 'id': 3033137011, 'id_str': '3033137011', 'indices': [0, 8]}, {'screen_name': 'Chandu_original', 'name': '🅒🅗🅐🅝🅓🅤ᵅ💫', 'id': 1181169304877879297, 'id_str': '1181169304877879297', 'indices': [9, 25]}], 'urls': []}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.23880841998269E+018,1.23880841998269E+018,3033137011,3033137011,ImrazAJ,8.62693278356865E+017,8.62693278356865E+017,,,"{'id': '173c2bb9d42baaa5', 'url': 'https://api.twitter.com/1.1/geo/id/173c2bb9d42baaa5.json', 'place_type': 'country', 'name': 'Sri Lanka', 'full_name': 'Sri Lanka', 'country_code': 'LK', 'country': 'Sri Lanka', 'contained_within': [], 'bounding_box': {'type': 'Polygon', 'coordinates': [[[79.6505263, 5.9213829], [81.8787816, 5.9213829], [81.8787816, 9.8359375], [79.6505263, 9.8359375]]]}, 'attributes': {}}",,False,0,4,2,0,1.23880794876104E+018,1.23880794876104E+018,False,False,si,,,,,,,,,,,,1,
6,1.08558338112598E+018,Wed Jan 16 17:03:41 +0000 2019,1.08558338112598E+018,1.08558338112598E+018,"ඔය වලියක් ගියාම මං තමයි කැරියා කියන උන් ඉන්නව නේද
ඕකුන් තමයි වලිය පටන් ගන්නත් කලින් කිලෝමීටර් ගාණක් එහාට දුවලත් කලිසම තෙමාගන්නේ :3",False,"[0, 130]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,2991695292,2991695292,,,,,False,1,7,0,0,1.08558338112598E+018,1.08558338112598E+018,False,False,si,,,,,,,,,,,,1,
7,1.28054119205313E+018,Tue Jul 07 16:36:26 +0000 2020,1.28054119205313E+018,1.28054119205313E+018,@maalupaan අන්න එහෙම එන්න.පොඩි කැරියා දුවපං,False,"[11, 43]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'maalupaan', 'name': 'Jerry 🇱🇰', 'id': 4632654077, 'id_str': '4632654077', 'indices': [0, 10]}], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.28054095348949E+018,1.28054095348949E+018,4632654077,4632654077,maalupaan,7.21058516958519E+017,7.21058516958519E+017,,,,,False,0,0,0,0,1.28052916504579E+018,1.28052916504579E+018,False,False,si,,,,,,,,,,,,1,
8,1.29461276971138E+018,Sat Aug 15 12:31:51 +0000 2020,1.29461276971138E+018,1.29461276971138E+018,@MahelaJay නියම නිහතමානි කම. මූට මල් චීත්තයක් පේන්න බෑ. අපි ඉල්ලුවට එවා පේන්නේ නෑ. මෝඩ කැරියා.,False,"[11, 94]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'MahelaJay', 'name': 'Mahela Jayawardena', 'id': 350334760, 'id_str': '350334760', 'indices': [0, 10]}], 'urls': []}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.2933782874697E+018,1.2933782874697E+018,350334760,350334760,MahelaJay,1.29162477367654E+018,1.29162477367654E+018,,,,,False,0,0,0,0,1.2933782874697E+018,1.2933782874697E+018,False,False,si,,,,,,,,,,,,1,
9,9.13464202378977E+017,Thu Sep 28 18:03:31 +0000 2017,9.13464202378977E+017,9.13464202378977E+017,"Spielberg අමු කැරියා 😋💪 — watching Jurassic Park, The Lost World",False,"[0, 64]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>",,,,,,3186309132,3186309132,,,,,False,0,0,0,0,9.13464202378977E+017,9.13464202378977E+017,False,False,en,,,,,,,,,,,,1,
10,1.09710660463208E+018,Sun Feb 17 12:12:52 +0000 2019,1.09710660463208E+018,1.09710660463208E+018,"@Rasthiyaduwa @tharu__ උනුත් එදා කැපිටලයිස් කරගත්තේ උන්ට වෙච්ච දෙවල්....මුකුත් කරන්නේ ඒක ...හැබැයි උන් ඒවා මෙහෙම දැම්මේ නැහැ...මුලින්ම කරන්න ඕන ,ඕක දාපු එකාව එලවන එක...",False,"[23, 168]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Rasthiyaduwa', 'name': 'රස්තියාදුකාරයා', 'id': 166556379, 'id_str': '166556379', 'indices': [0, 13]}, {'screen_name': 'tharu__', 'name': 'STAR-LORD 🇱🇰🏳', 'id': 395035548, 'id_str': '395035548', 'indices': [14, 22]}], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.09709895804688E+018,1.09709895804688E+018,166556379,166556379,Rasthiyaduwa,147841545,147841545,,,,,False,0,2,1,0,1.09709895804688E+018,1.09709895804688E+018,False,False,si,,,,,,,,,,,,0,
