,Unnamed: 0,created_at,id,id_str,full_text,truncated,display_text_range,entities,extended_entities,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,user_id,user_id_str,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,reply_count,quote_count,conversation_id,conversation_id_str,favorited,retweeted,possibly_sensitive,possibly_sensitive_editable,lang,supplemental_language,quoted_status_id,quoted_status_id_str,quoted_status_permalink,self_thread,card,label
0,1.39306761120259E+018,Fri May 14 04:56:15 +0000 2021,1.39306761120259E+018,1.39306761120259E+018,"පොඩි එකා උදේ එලියට ගිහින් කෑ ගහනවා..
""අම්මා මේං සීය දඹල ගහ සුන්කොරල.. ඒක වැටිලා"" https://t.co/EQVdhbDdMU",False,"[0, 80]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1393067601551499266, 'id_str': '1393067601551499266', 'indices': [81, 104], 'media_url': 'http://pbs.twimg.com/media/E1UrmlKVIAI3acy.jpg', 'media_url_https': 'https://pbs.twimg.com/media/E1UrmlKVIAI3acy.jpg', 'url': 'https://t.co/EQVdhbDdMU', 'display_url': 'pic.twitter.com/EQVdhbDdMU', 'expanded_url': 'https://twitter.com/indika27/status/1393067611202588680/photo/1', 'type': 'photo', 'original_info': {'width': 1536, 'height': 2048, 'focus_rects': [{'x': 0, 'y': 440, 'h': 860, 'w': 1536}, {'x': 0, 'y': 102, 'h': 1536, 'w': 1536}, {'x': 0, 'y': 0, 'h': 1751, 'w': 1536}, {'x': 512, 'y': 0, 'h': 2048, 'w': 1024}, {'x': 0, 'y': 0, 'h': 2048, 'w': 1536}]}, 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 900, 'h': 1200, 'resize': 'fit'}, 'large': {'w': 1536, 'h': 2048, 'resize': 'fit'}, 'small': {'w': 510, 'h': 680, 'resize': 'fit'}}, 'features': {'orig': {'faces': [{'x': 498, 'y': 668, 'h': 218, 'w': 218}]}, 'medium': {'faces': [{'x': 291, 'y': 391, 'h': 127, 'w': 127}]}, 'large': {'faces': [{'x': 498, 'y': 668, 'h': 218, 'w': 218}]}, 'small': {'faces': [{'x': 165, 'y': 221, 'h': 72, 'w': 72}]}}}]}","{'media': [{'id': 1393067601551499266, 'id_str': '1393067601551499266', 'indices': [81, 104], 'media_url': 'http://pbs.twimg.com/media/E1UrmlKVIAI3acy.jpg', 'media_url_https': 'https://pbs.twimg.com/media/E1UrmlKVIAI3acy.jpg', 'url': 'https://t.co/EQVdhbDdMU', 'display_url': 'pic.twitter.com/EQVdhbDdMU', 'expanded_url': 'https://twitter.com/indika27/status/1393067611202588680/photo/1', 'type': 'photo', 'original_info': {'width': 1536, 'height': 2048, 'focus_rects': [{'x': 0, 'y': 440, 'h': 860, 'w': 1536}, {'x': 0, 'y': 102, 'h': 1536, 'w': 1536}, {'x': 0, 'y': 0, 'h': 1751, 'w': 1536}, {'x': 512, 'y': 0, 'h': 2048, 'w': 1024}, {'x': 0, 'y': 0, 'h': 2048, 'w': 1536}]}, 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 900, 'h': 1200, 'resize': 'fit'}, 'large': {'w': 1536, 'h': 2048, 'resize': 'fit'}, 'small': {'w': 510, 'h': 680, 'resize': 'fit'}}, 'features': {'orig': {'faces': [{'x': 498, 'y': 668, 'h': 218, 'w': 218}]}, 'medium': {'faces': [{'x': 291, 'y': 391, 'h': 127, 'w': 127}]}, 'large': {'faces': [{'x': 498, 'y': 668, 'h': 218, 'w': 218}]}, 'small': {'faces': [{'x': 165, 'y': 221, 'h': 72, 'w': 72}]}}, 'media_key': '3_1393067601551499266', 'ext_alt_text': None, 'ext_media_color': {'palette': [{'rgb': {'red': 67, 'green': 86, 'blue': 46}, 'percentage': 36.5}, {'rgb': {'red': 115, 'green': 101, 'blue': 92}, 'percentage': 22.26}, {'rgb': {'red': 155, 'green': 157, 'blue': 147}, 'percentage': 11.03}, {'rgb': {'red': 90, 'green': 125, 'blue': 40}, 'percentage': 7.54}, {'rgb': {'red': 54, 'green': 59, 'blue': 47}, 'percentage': 4.2}]}, 'ext_media_availability': {'status': 'available'}, 'ext': {'mediaStats': {'r': 'Missing', 'ttl': -1}}}]}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,150624162,150624162,,,"{'id': '07d9ec686ec87000', 'url': 'https://api.twitter.com/1.1/geo/id/07d9ec686ec87000.json', 'place_type': 'poi', 'name': 'Buckingham Place', 'full_name': 'Buckingham Place', 'country_code': 'LK', 'country': 'Sri Lanka', 'contained_within': [], 'bounding_box': {'type': 'Polygon', 'coordinates': [[[80.85510630409615, 6.0471824790289395], [80.85510630409615, 6.0471824790289395], [80.85510630409615, 6.0471824790289395], [80.85510630409615, 6.0471824790289395]]]}, 'attributes': {}}",,False,0,31,1,0,1.39306761120259E+018,1.39306761120259E+018,False,False,False,True,si,,,,,,,0
1,1.39357365697914E+018,Sat May 15 14:27:05 +0000 2021,1.39357365697914E+018,1.39357365697914E+018,"කවුරුත් උගන්නලා නෙමෙයි , බබා මට කියන්නේ අම්මියා කියලා. පුදුම විදියට ආදරණීයයි ❤️",False,"[0, 79]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,3266860562,3266860562,,,"{'id': 'b28838c9654b8c4a', 'url': 'https://api.twitter.com/1.1/geo/id/b28838c9654b8c4a.json', 'place_type': 'city', 'name': 'Joso-shi', 'full_name': 'Joso-shi, Ibaraki', 'country_code': 'JP', 'country': 'Japan', 'contained_within': [], 'bounding_box': {'type': 'Polygon', 'coordinates': [[[139.8939, 35.968713], [140.029052, 35.968713], [140.029052, 36.146776], [139.8939, 36.146776]]]}, 'attributes': {}}",,False,0,9,2,0,1.39357365697914E+018,1.39357365697914E+018,False,False,,,si,,,,,,,0
2,1.39458849506313E+018,Tue May 18 09:39:42 +0000 2021,1.39458849506313E+018,1.39458849506313E+018,"පොඩි උන් ෆෝන්ට තඩියක් අරන් දීලා ඒකෙන් ෆේස්බුක් යන එක, පබ්ජී ගහන එක, කම්පියුටර් එක දාන් වැල බල බල ගේම් ගහන එක දිහා බලලා මහ ගෑණු කියන්නෙ...

""අනේ බලන්න අනේ, එයා දන්න දේවල්... ෆෝන් එකෙන් කරන වැඩ, ඉන්ටනෙට් එකේමයි එයා. ලෝකෙම දේවල් එයා දන්නවනෙ. එයා මාර ස්මාට්...""

😂😂😂",False,"[0, 262]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,178606641,178606641,,,,,True,10,40,6,2,1.39458849506313E+018,1.39458849506313E+018,False,False,,,si,,1.39458671828884E+018,1.39458671828884E+018,"{'url': 'https://t.co/WsdVqBflQx', 'expanded': 'https://twitter.com/thegallerybitch/status/1394586718288838661', 'display': 'twitter.com/thegallerybitc…'}",,,0
3,1.39536780602831E+018,Thu May 20 13:16:24 +0000 2021,1.39536780602831E+018,1.39536780602831E+018,@SKathriarachc @praveen071_ @imKawshalya @Sanjivakkuk @DevinSirinama @TLkshan @SanjeewaniRath2 @unknown_lankan @RakzzMaduOnline @daughterislife @YohanClifford @Sp08775973 @madushi_pavi @SKathriarachc ඔව් නංගි අපි පුළුවන් විදියට වැඩ කරගෙන ඉන්නවා... 💓🌸👍,False,"[185, 251]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'SKathriarachc', 'name': '💙\U0001f9da නිෂාදි \U0001f9da💙🇱🇰', 'id': 4695571118, 'id_str': '4695571118', 'indices': [0, 14]}, {'screen_name': 'praveen071_', 'name': 'Praveen Samarajeewa', 'id': 447692680, 'id_str': '447692680', 'indices': [15, 27]}, {'screen_name': 'imKawshalya', 'name': 'кαωѕнαℓуα ρєяєяα', 'id': 1136812725638615040, 'id_str': '1136812725638615040', 'indices': [28, 40]}, {'screen_name': 'Sanjivakkuk', 'name': 'Sanjeewa | Sanju', 'id': 1312290377685229569, 'id_str': '1312290377685229569', 'indices': [41, 53]}, {'screen_name': 'DevinSirinama', 'name': 'D E V I N', 'id': 68113514, 'id_str': '68113514', 'indices': [54, 68]}, {'screen_name': 'TLkshan', 'name': '@Tharanga Lakshan', 'id': 1243441032655593472, 'id_str': '1243441032655593472', 'indices': [69, 77]}, {'screen_name': 'SanjeewaniRath2', 'name': 'Sanjeewani Rathnayake', 'id': 940792606052765697, 'id_str': '940792606052765697', 'indices': [78, 94]}, {'screen_name': 'unknown_lankan', 'name': 'ස්ලොතා \U0001f9a5', 'id': 3591912206, 'id_str': '3591912206', 'indices': [95, 110]}, {'screen_name': 'RakzzMaduOnline', 'name': '🐾️Baby Koala 🖤🐨🐾️ 💤', 'id': 1014093357318934529, 'id_str': '1014093357318934529', 'indices': [111, 127]}, {'screen_name': 'daughterislife', 'name': 'මාෂි 🎀🇱🇰', 'id': 2380919498, 'id_str': '2380919498', 'indices': [128, 143]}, {'screen_name': 'YohanClifford', 'name': 'ﾘのんﾑ刀 ᄃﾚﾉｷｷの尺り 丂ｱﾑ尺ズｲの刀 ᄃﾑﾶ乇尺の刀', 'id': 129547277, 'id_str': '129547277', 'indices': [144, 158]}, {'screen_name': 'Sp08775973', 'name': '💖🌻SP🌻💖🇱🇰', 'id': 1331445758998941698, 'id_str': '1331445758998941698', 'indices': [159, 170]}, {'screen_name': 'madushi_pavi', 'name': '🍥මාශ්මෙලෝස්🍥', 'id': 697353419720241152, 'id_str': '697353419720241152', 'indices': [171, 184]}, {'screen_name': 'SKathriarachc', 'name': '💙\U0001f9da නිෂාදි \U0001f9da💙🇱🇰', 'id': 4695571118, 'id_str': '4695571118', 'indices': [185, 199]}], 'urls': []}",,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.39536712139619E+018,1.39536712139619E+018,4695571118,4695571118,SKathriarachc,3405656644,3405656644,,,,,False,0,5,2,0,1.39514783679104E+018,1.39514783679104E+018,False,False,,,si,,,,,,,0
4,1.39468692524875E+018,Tue May 18 16:10:49 +0000 2021,1.39468692524875E+018,1.39468692524875E+018,"@Na_na_Ba_Nana අපේ අම්මා අහු වුනා. සෑහෙන කාලයක් කායිකවත්, මානසිකවත් දුක් වින්ද. පොඩිකාලෙ විඳපු භයානකම අත්දැකීමක්.",False,"[15, 113]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Na_na_Ba_Nana', 'name': 'Dil Nur', 'id': 1181872908, 'id_str': '1181872908', 'indices': [0, 14]}], 'urls': []}",,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",1.3946841941151E+018,1.3946841941151E+018,1181872908,1181872908,Na_na_Ba_Nana,2607440251,2607440251,,,,,False,0,5,2,0,1.3946841941151E+018,1.3946841941151E+018,False,False,,,si,,,,,,,0
5,1.39357437734659E+018,Sat May 15 14:29:57 +0000 2021,1.39357437734659E+018,1.39357437734659E+018,@MrsNimma අම්මියෝ 🤗😍,False,"[10, 20]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'MrsNimma', 'name': 'අසමිගෙ අම්මා🌸 🇱🇰', 'id': 3266860562, 'id_str': '3266860562', 'indices': [0, 9]}], 'urls': []}",,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.39357365697914E+018,1.39357365697914E+018,3266860562,3266860562,MrsNimma,7.99647378374423E+017,7.99647378374423E+017,,,,,False,0,1,1,0,1.39357365697914E+018,1.39357365697914E+018,False,False,,,si,,,,,,,0
6,1.3945352183679E+018,Tue May 18 06:07:59 +0000 2021,1.3945352183679E+018,1.3945352183679E+018,සත් සමුදුර ගොඩ කරන්න ශිව දෙවියන්ටත් බැරි වුනා. ඒ වුනාට හෙලයා ලොව මවිත කෙරූ මහා රවනා බලයෙන් මුහුද ගොඩ කරලා පෝට් සිටිය හැදුවා. පෝයට-සිටිය-යුතු-තැන තමයී අද පෝට්-සිටිය වෙලා තියෙන්නේ. මහාචාර්‍ය අහවලා මේ ගැන කියාපු යූටූබ් වීඩියෝවක් ලඟදීම. එතකම් අපේ-අම්මා චැනලය නරබන්න.,False,"[0, 262]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,1.26937563388645E+018,1.26937563388645E+018,,,,,False,0,5,0,0,1.3945352183679E+018,1.3945352183679E+018,False,False,,,si,,,,,,,0
10,1.39527065257201E+018,Thu May 20 06:50:21 +0000 2021,1.39527065257201E+018,1.39527065257201E+018,"පිනා සර්ලට බැනලා ඔන්ලයින් කරන්න පටන් ගන්න කියලා. අපේ 6 ඉන්න කොල්ලා කැමතිම නැහැ ඔන්ලයින් ලෙක්චර වලට. ඔන්න උගේ අම්මා ඇවිත් මරන්න ගෙනියන හරකා වගේ තල්ලු කරන් ගියා.. යමං.."" සෙර්ල ගොඩක් වැඩ දීලලු. උඹ මෙහෙ නට නට හිටපං කිය කිය""",False,"[0, 219]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}",,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",,,,,,150624162,150624162,,,,,False,0,8,0,0,1.39527065257201E+018,1.39527065257201E+018,False,False,,,si,,,,,,,0
11,1.39357480426806E+018,Sat May 15 14:31:39 +0000 2021,1.39357480426806E+018,1.39357480426806E+018,දුවෙක් ඉන්නවා කියන්නේ ඉතිං කෝලන් කන්ටේනරයක් තමයි ❤️ #NewProfilePic https://t.co/kYOFyxwcTy,False,"[0, 66]","{'hashtags': [{'text': 'NewProfilePic', 'indices': [52, 66]}], 'symbols': [], 'user_mentions': [], 'urls': [], 'media': [{'id': 1393574800694464514, 'id_str': '1393574800694464514', 'indices': [67, 90], 'media_url': 'http://pbs.twimg.com/media/E1b45dNUUAI6dOB.jpg', 'media_url_https': 'https://pbs.twimg.com/media/E1b45dNUUAI6dOB.jpg', 'url': 'https://t.co/kYOFyxwcTy', 'display_url': 'pic.twitter.com/kYOFyxwcTy', 'expanded_url': 'https://twitter.com/MrsNimma/status/1393574804268060672/photo/1', 'type': 'photo', 'original_info': {'width': 400, 'height': 400, 'focus_rects': [{'x': 0, 'y': 38, 'h': 224, 'w': 400}, {'x': 0, 'y': 0, 'h': 400, 'w': 400}, {'x': 49, 'y': 0, 'h': 400, 'w': 351}, {'x': 150, 'y': 0, 'h': 400, 'w': 200}, {'x': 0, 'y': 0, 'h': 400, 'w': 400}]}, 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 400, 'h': 400, 'resize': 'fit'}, 'large': {'w': 400, 'h': 400, 'resize': 'fit'}, 'small': {'w': 400, 'h': 400, 'resize': 'fit'}}, 'features': {'medium': {'faces': [{'x': 220, 'y': 115, 'h': 61, 'w': 61}, {'x': 158, 'y': 115, 'h': 81, 'w': 81}]}, 'orig': {'faces': [{'x': 220, 'y': 115, 'h': 61, 'w': 61}, {'x': 158, 'y': 115, 'h': 81, 'w': 81}]}, 'large': {'faces': [{'x': 220, 'y': 115, 'h': 61, 'w': 61}, {'x': 158, 'y': 115, 'h': 81, 'w': 81}]}, 'small': {'faces': [{'x': 220, 'y': 115, 'h': 61, 'w': 61}, {'x': 158, 'y': 115, 'h': 81, 'w': 81}]}}}]}","{'media': [{'id': 1393574800694464514, 'id_str': '1393574800694464514', 'indices': [67, 90], 'media_url': 'http://pbs.twimg.com/media/E1b45dNUUAI6dOB.jpg', 'media_url_https': 'https://pbs.twimg.com/media/E1b45dNUUAI6dOB.jpg', 'url': 'https://t.co/kYOFyxwcTy', 'display_url': 'pic.twitter.com/kYOFyxwcTy', 'expanded_url': 'https://twitter.com/MrsNimma/status/1393574804268060672/photo/1', 'type': 'photo', 'original_info': {'width': 400, 'height': 400, 'focus_rects': [{'x': 0, 'y': 38, 'h': 224, 'w': 400}, {'x': 0, 'y': 0, 'h': 400, 'w': 400}, {'x': 49, 'y': 0, 'h': 400, 'w': 351}, {'x': 150, 'y': 0, 'h': 400, 'w': 200}, {'x': 0, 'y': 0, 'h': 400, 'w': 400}]}, 'sizes': {'thumb': {'w': 150, 'h': 150, 'resize': 'crop'}, 'medium': {'w': 400, 'h': 400, 'resize': 'fit'}, 'large': {'w': 400, 'h': 400, 'resize': 'fit'}, 'small': {'w': 400, 'h': 400, 'resize': 'fit'}}, 'features': {'medium': {'faces': [{'x': 220, 'y': 115, 'h': 61, 'w': 61}, {'x': 158, 'y': 115, 'h': 81, 'w': 81}]}, 'orig': {'faces': [{'x': 220, 'y': 115, 'h': 61, 'w': 61}, {'x': 158, 'y': 115, 'h': 81, 'w': 81}]}, 'large': {'faces': [{'x': 220, 'y': 115, 'h': 61, 'w': 61}, {'x': 158, 'y': 115, 'h': 81, 'w': 81}]}, 'small': {'faces': [{'x': 220, 'y': 115, 'h': 61, 'w': 61}, {'x': 158, 'y': 115, 'h': 81, 'w': 81}]}}, 'media_key': '3_1393574800694464514', 'ext_alt_text': None, 'ext_media_color': {'palette': [{'rgb': {'red': 218, 'green': 204, 'blue': 183}, 'percentage': 39.23}, {'rgb': {'red': 63, 'green': 42, 'blue': 28}, 'percentage': 17.96}, {'rgb': {'red': 180, 'green': 121, 'blue': 74}, 'percentage': 14.9}, {'rgb': {'red': 191, 'green': 124, 'blue': 29}, 'percentage': 3.97}, {'rgb': {'red': 208, 'green': 181, 'blue': 128}, 'percentage': 3.64}]}, 'ext_media_availability': {'status': 'available'}, 'ext': {'mediaStats': {'r': 'Missing', 'ttl': -1}}}]}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,3266860562,3266860562,,,"{'id': 'b28838c9654b8c4a', 'url': 'https://api.twitter.com/1.1/geo/id/b28838c9654b8c4a.json', 'place_type': 'city', 'name': 'Joso-shi', 'full_name': 'Joso-shi, Ibaraki', 'country_code': 'JP', 'country': 'Japan', 'contained_within': [], 'bounding_box': {'type': 'Polygon', 'coordinates': [[[139.8939, 35.968713], [140.029052, 35.968713], [140.029052, 36.146776], [139.8939, 36.146776]]]}, 'attributes': {}}",,False,1,83,5,0,1.39357480426806E+018,1.39357480426806E+018,False,False,True,True,si,,,,,,,0
12,1.39357784527688E+018,Sat May 15 14:43:44 +0000 2021,1.39357784527688E+018,1.39357784527688E+018,#TokyoOlympics  මෙදාපාරත් කැන්සල් වෙයිද 🙄,False,"[0, 41]","{'hashtags': [{'text': 'TokyoOlympics', 'indices': [0, 14]}], 'symbols': [], 'user_mentions': [], 'urls': []}",,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,3266860562,3266860562,,,"{'id': 'b28838c9654b8c4a', 'url': 'https://api.twitter.com/1.1/geo/id/b28838c9654b8c4a.json', 'place_type': 'city', 'name': 'Joso-shi', 'full_name': 'Joso-shi, Ibaraki', 'country_code': 'JP', 'country': 'Japan', 'contained_within': [], 'bounding_box': {'type': 'Polygon', 'coordinates': [[[139.8939, 35.968713], [140.029052, 35.968713], [140.029052, 36.146776], [139.8939, 36.146776]]]}, 'attributes': {}}",,False,0,6,0,0,1.39357784527688E+018,1.39357784527688E+018,False,False,,,si,,,,,,,0
