,Unnamed: 0,created_at,id,id_str,full_text,truncated,display_text_range,entities,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,user_id,user_id_str,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,reply_count,quote_count,conversation_id,conversation_id_str,favorited,retweeted,possibly_sensitive,possibly_sensitive_editable,card,lang,supplemental_language,quoted_status_id,quoted_status_id_str,quoted_status_permalink,extended_entities,self_thread,label
1,1.38832562980908E+018,Sat May 01 02:53:18 +0000 2021,1.38832562980908E+018,1.38832562980908E+018,@Thish_D ඉස්පංචියා 😂,False,"[9, 20]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'Thish_D', 'name': 'පරාර්තකාමී කරුණාවන්ත යාලුවා', 'id': 623929922, 'id_str': '623929922', 'indices': [0, 8]}], 'urls': []}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.38832506711791E+018,1.38832506711791E+018,623929922,623929922,Thish_D,480050024,480050024,,,,,False,0,0,1,0,1.38832297673987E+018,1.38832297673987E+018,False,False,,,,si,,,,,,,0
2,1.38848903787952E+018,Sat May 01 13:42:38 +0000 2021,1.38848903787952E+018,1.38848903787952E+018,ඉන්න තැන රෙදි ගලෝනවා නම් ඌ තමා හොදම යාලුවා 😌❤️,False,"[0, 46]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",,,,,,1.37924724578297E+018,1.37924724578297E+018,,,,,True,0,1,0,0,1.38848903787952E+018,1.38848903787952E+018,False,False,,,,si,,1.38848215590328E+018,1.38848215590328E+018,"{'url': 'https://t.co/PnElzvHIMI', 'expanded': 'https://twitter.com/Thush_Bro/status/1388482155903275009', 'display': 'twitter.com/Thush_Bro/stat…'}",,,0
3,1.38836996393777E+018,Sat May 01 05:49:28 +0000 2021,1.38836996393777E+018,1.38836996393777E+018,"@TropicalNuri හොඳට තිබ්බ රටක්, උඹ වැටිච්ච තැනක් 🥲",False,"[14, 49]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'TropicalNuri', 'name': 'Nuri', 'id': 940934855507845121, 'id_str': '940934855507845121', 'indices': [0, 13]}], 'urls': []}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.38836339011698E+018,1.38836339011698E+018,9.40934855507845E+017,9.40934855507845E+017,TropicalNuri,623929922,623929922,,,,,False,0,1,1,0,1.38836339011698E+018,1.38836339011698E+018,False,False,,,,si,,,,,,,0
4,1.38836147904535E+018,Sat May 01 05:15:45 +0000 2021,1.38836147904535E+018,1.38836147904535E+018,"@nandanamihindu ඔයාගේ අම්මටයි , තාත්තටයි ස්තූති කරන්න 🙂 . කැම්පස් එකේ යාලුවෙක් වෙනුවෙන් ඔහොම හිටියා . Assignment ගොඩක් තිබුනා deadline වැටිලා . ඒත් ඒ යාලුවා වෙනුවෙන්ම සතියක් කැකිරාවේ . අවසන් කටයුතු ඉවරවුන දවසේ හවස අනුරාධපුරය බස් ස්ටෑන්ඩ් එකට ඇවිත් කොළඹට ආවා 🙂 . #මනුස්සකම .",False,"[16, 273]","{'hashtags': [{'text': 'මනුස්සකම', 'indices': [262, 271]}], 'symbols': [], 'user_mentions': [{'screen_name': 'nandanamihindu', 'name': 'ɳαɳԃαɳα (නන්දන) 🇱🇰 🇪🇸 🇺🇲', 'id': 15287607, 'id_str': '15287607', 'indices': [0, 15]}], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.38832955907501E+018,1.38832955907501E+018,15287607,15287607,nandanamihindu,212784092,212784092,,,,,False,0,14,0,0,1.38832955907501E+018,1.38832955907501E+018,False,False,,,,si,,,,,,,0
6,1.38982478910413E+018,Wed May 05 06:10:26 +0000 2021,1.38982478910413E+018,1.38982478910413E+018,"නිහතමානී ශ්‍රී ලාංකිකයා!
බුදුසරනයි කියාගෙන මාර දේශප්‍රේයක් පෙන්නගෙන රේසිං කාර් අයියා ගැන ජාපනේ එවුන් හොඳට දන්නවා! ෆේස්බුක් එකේ  තමන්ගෙ කාර් එකේ ලංකා කොඩිය් ගහගෙන අහිංසක විදිහට නිහතමානීකම පෙන්නගෙන ඉන්නෙ ඉතින් ලෝක හොරෙක් තමා! අපි නොදන්න නිහතමානී දේශප්‍රේමී රේසිං අයියා අනේ",False,"[0, 270]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,189878124,189878124,,,,,True,9,26,12,0,1.38982478910413E+018,1.38982478910413E+018,False,False,,,,si,,1.38980819975102E+018,1.38980819975102E+018,"{'url': 'https://t.co/DtYblafLq8', 'expanded': 'https://twitter.com/prasadjsen/status/1389808199751016449', 'display': 'twitter.com/prasadjsen/sta…'}",,,0
7,1.38942311607023E+018,Tue May 04 03:34:19 +0000 2021,1.38942311607023E+018,1.38942311607023E+018,@donweer7 මට මොනම හේතුවක් නිසාවත් මගේ හොඳම යාලුවා නැති කරගන්න ඕන නැති නිසා...,False,"[10, 77]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'donweer7', 'name': 'DonWeer', 'id': 70366634, 'id_str': '70366634', 'indices': [0, 9]}], 'urls': []}","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.38942168413899E+018,1.38942168413899E+018,70366634,70366634,donweer7,9.7321268300782E+017,9.7321268300782E+017,,,,,False,0,2,1,0,1.38942101803326E+018,1.38942101803326E+018,False,False,,,,si,,,,,,,0
14,1.38835097957416E+018,Sat May 01 04:34:02 +0000 2021,1.38835097957416E+018,1.38835097957416E+018,@25ShadesOfBrown @NightWingzzz @maalupaan වෙඩිම zoom ගත්ත කියමුකො. ඉතුරු වැඩ ටික? 👀,False,"[42, 83]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': '25ShadesOfBrown', 'name': 'chichiᥫ᭡🇨🇦', 'id': 480050024, 'id_str': '480050024', 'indices': [0, 16]}, {'screen_name': 'NightWingzzz', 'name': 'Nightwing®🇱🇰', 'id': 2369956382, 'id_str': '2369956382', 'indices': [17, 30]}, {'screen_name': 'maalupaan', 'name': 'Jerry 🇱🇰', 'id': 4632654077, 'id_str': '4632654077', 'indices': [31, 41]}], 'urls': []}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.38835065811027E+018,1.38835065811027E+018,480050024,480050024,25ShadesOfBrown,623929922,623929922,,,,,False,0,0,1,0,1.38834444036063E+018,1.38834444036063E+018,False,False,,,,si,,,,,,,0
15,1.38840737436543E+018,Sat May 01 08:18:08 +0000 2021,1.38840737436543E+018,1.38840737436543E+018,ජාතික ගීය aka අහස ගුගුරා,False,"[0, 24]","{'hashtags': [], 'symbols': [], 'user_mentions': [], 'urls': []}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",,,,,,623929922,623929922,,,,,True,2,8,1,0,1.38840737436543E+018,1.38840737436543E+018,False,False,,,,si,,1.38820599549974E+018,1.38820599549974E+018,"{'url': 'https://t.co/ASXkBLFtku', 'expanded': 'https://twitter.com/_oshadhee_/status/1388205995499741185', 'display': 'twitter.com/_oshadhee_/sta…'}",,,0
16,1.38835002720291E+018,Sat May 01 04:30:15 +0000 2021,1.38835002720291E+018,1.38835002720291E+018,@maalupaan @NightWingzzz @25ShadesOfBrown ලැජ්ජයි 🥲,False,"[42, 51]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'maalupaan', 'name': 'Jerry 🇱🇰', 'id': 4632654077, 'id_str': '4632654077', 'indices': [0, 10]}, {'screen_name': 'NightWingzzz', 'name': 'Nightwing®🇱🇰', 'id': 2369956382, 'id_str': '2369956382', 'indices': [11, 24]}, {'screen_name': '25ShadesOfBrown', 'name': 'chichiᥫ᭡🇨🇦', 'id': 480050024, 'id_str': '480050024', 'indices': [25, 41]}], 'urls': []}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.38834679750914E+018,1.38834679750914E+018,4632654077,4632654077,maalupaan,623929922,623929922,,,,,False,0,1,1,0,1.38834444036063E+018,1.38834444036063E+018,False,False,,,,si,,,,,,,0
17,1.38835130920449E+018,Sat May 01 04:35:21 +0000 2021,1.38835130920449E+018,1.38835130920449E+018,@uruzikal මෙලඩිය ටොප්. ලිරික්ස් ටික සෙට් නෑ,False,"[10, 43]","{'hashtags': [], 'symbols': [], 'user_mentions': [{'screen_name': 'uruzikal', 'name': 'රු 🇱🇰', 'id': 1057457915777507329, 'id_str': '1057457915777507329', 'indices': [0, 9]}], 'urls': []}","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.38835032285942E+018,1.38835032285942E+018,1.05745791577751E+018,1.05745791577751E+018,uruzikal,623929922,623929922,,,,,False,0,2,0,0,1.38835032285942E+018,1.38835032285942E+018,False,False,,,,si,,,,,,,0
